stop_id,stop_name,stop_lat,stop_lon
prayagraj-22.56872-88.37410,Prayagraj stop,22.568722,88.374095
prayagraj-23.49476-87.31836,Prayagraj stop,23.494763,87.318362
prayagraj-23.69121-86.97518,Prayagraj stop,23.691206,86.975176
prayagraj-23.79172-86.42867,Prayagraj stop,23.791724,86.428669
prayagraj-24.80412-84.99985,Prayagraj stop,24.804124,84.999848
prayagraj-25.27917-83.12071,Prayagraj stop,25.279166,83.12071
prayagraj-26.45426-80.35194,Prayagraj stop,26.454261,80.351936
prayagraj-28.64109-77.22113,Prayagraj stop,28.641087,77.221133
prayagraj-28.64257-77.22113,Prayagraj stop,28.642571,77.221134
prayagraj-28.64080-77.22143,Prayagraj stop,28.640803,77.221431
prayagraj-26.45435-80.35093,Prayagraj stop,26.454355,80.350925
prayagraj-25.27933-83.12035,Prayagraj stop,25.279329,83.120352
prayagraj-24.80189-84.99921,Prayagraj stop,24.80189,84.99921
prayagraj-23.79159-86.42947,Prayagraj stop,23.791589,86.429471
prayagraj-23.69147-86.97491,Prayagraj stop,23.691472,86.974907
prayagraj-23.49503-87.31839,Prayagraj stop,23.495028,87.318392
