route_id,service_id,trip_id,trip_headsign
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d0-t1,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d0-t2,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d0-t3,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d0-t4,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d0-t5,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d1-t1,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d1-t2,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d1-t3,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d1-t4,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r1,daily,prayagraj-north-easter-r1-1d1-t5,Train Express 15018: Gorakhpur → Mumbai LTT
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d0-t1,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d0-t2,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d0-t3,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d0-t4,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d0-t5,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d1-t1,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d1-t2,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d1-t3,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d1-t4,Train Express 15017: Mumbai LTT → Gorakhpur
prayagraj-north-easter-r2,daily,prayagraj-north-easter-r2-2d1-t5,Train Express 15017: Mumbai LTT → Gorakhpur
