trip_id,arrival_time,departure_time,stop_id,stop_sequence
pune-pmpml-r1-1d0-t1,06:00:00,06:00:00,pune-18.57513-73.76678,1
pune-pmpml-r1-1d0-t1,06:01:32,06:01:32,pune-18.57472-73.77120,2
pune-pmpml-r1-1d0-t1,06:02:42,06:02:42,pune-18.57373-73.77381,3
pune-pmpml-r1-1d0-t1,06:04:47,06:04:47,pune-18.57621-73.77976,4
pune-pmpml-r1-1d0-t1,06:06:53,06:06:53,pune-18.57012-73.78118,5
pune-pmpml-r1-1d0-t1,06:09:12,06:09:12,pune-18.56342-73.78323,6
pune-pmpml-r1-1d0-t1,06:10:22,06:10:22,pune-18.56167-73.78570,7
pune-pmpml-r1-1d0-t1,06:12:23,06:12:23,pune-18.55881-73.79121,8
pune-pmpml-r1-1d0-t1,06:13:33,06:13:33,pune-18.55894-73.79163,9
pune-pmpml-r1-1d0-t1,06:14:54,06:14:54,pune-18.55658-73.79451,10
pune-pmpml-r1-1d0-t1,06:16:04,06:16:04,pune-18.55525-73.79594,11
pune-pmpml-r1-1d0-t1,06:17:14,06:17:14,pune-18.55507-73.79871,12
pune-pmpml-r1-1d0-t1,06:19:37,06:19:37,pune-18.55111-73.80508,13
pune-pmpml-r1-1d0-t1,06:21:20,06:21:20,pune-18.54997-73.81008,14
pune-pmpml-r1-1d0-t1,06:22:59,06:22:59,pune-18.54813-73.81458,15
pune-pmpml-r1-1d0-t1,06:24:09,06:24:09,pune-18.54746-73.81628,16
pune-pmpml-r1-1d0-t1,06:25:21,06:25:21,pune-18.54660-73.81936,17
pune-pmpml-r1-1d0-t1,06:26:55,06:26:55,pune-18.54480-73.82351,18
pune-pmpml-r1-1d0-t1,06:28:05,06:28:05,pune-18.54293-73.82570,19
pune-pmpml-r1-1d0-t1,06:29:37,06:29:37,pune-18.54159-73.82993,20
pune-pmpml-r1-1d0-t1,06:33:02,06:33:02,pune-18.53491-73.83893,21
pune-pmpml-r1-1d0-t1,06:34:12,06:34:12,pune-18.53385-73.84047,22
pune-pmpml-r1-1d0-t1,06:36:41,06:36:41,pune-18.53078-73.84779,23
pune-pmpml-r1-1d0-t1,06:38:22,06:38:22,pune-18.52758-73.85148,24
pune-pmpml-r1-1d0-t1,06:39:32,06:39:32,pune-18.52620-73.85295,25
pune-pmpml-r1-1d0-t1,06:40:47,06:40:47,pune-18.52375-73.85517,26
pune-pmpml-r1-1d0-t1,06:43:52,06:43:52,pune-18.52702-73.86478,27
pune-pmpml-r1-1d0-t1,06:46:06,06:46:06,pune-18.52505-73.87155,28
pune-pmpml-r1-1d0-t1,06:47:16,06:47:16,pune-18.52717-73.87291,29
pune-pmpml-r1-1d0-t2,08:00:00,08:00:00,pune-18.57513-73.76678,1
pune-pmpml-r1-1d0-t2,08:01:32,08:01:32,pune-18.57472-73.77120,2
pune-pmpml-r1-1d0-t2,08:02:42,08:02:42,pune-18.57373-73.77381,3
pune-pmpml-r1-1d0-t2,08:04:47,08:04:47,pune-18.57621-73.77976,4
pune-pmpml-r1-1d0-t2,08:06:53,08:06:53,pune-18.57012-73.78118,5
pune-pmpml-r1-1d0-t2,08:09:12,08:09:12,pune-18.56342-73.78323,6
pune-pmpml-r1-1d0-t2,08:10:22,08:10:22,pune-18.56167-73.78570,7
pune-pmpml-r1-1d0-t2,08:12:23,08:12:23,pune-18.55881-73.79121,8
pune-pmpml-r1-1d0-t2,08:13:33,08:13:33,pune-18.55894-73.79163,9
pune-pmpml-r1-1d0-t2,08:14:54,08:14:54,pune-18.55658-73.79451,10
pune-pmpml-r1-1d0-t2,08:16:04,08:16:04,pune-18.55525-73.79594,11
pune-pmpml-r1-1d0-t2,08:17:14,08:17:14,pune-18.55507-73.79871,12
pune-pmpml-r1-1d0-t2,08:19:37,08:19:37,pune-18.55111-73.80508,13
pune-pmpml-r1-1d0-t2,08:21:20,08:21:20,pune-18.54997-73.81008,14
pune-pmpml-r1-1d0-t2,08:22:59,08:22:59,pune-18.54813-73.81458,15
pune-pmpml-r1-1d0-t2,08:24:09,08:24:09,pune-18.54746-73.81628,16
pune-pmpml-r1-1d0-t2,08:25:21,08:25:21,pune-18.54660-73.81936,17
pune-pmpml-r1-1d0-t2,08:26:55,08:26:55,pune-18.54480-73.82351,18
pune-pmpml-r1-1d0-t2,08:28:05,08:28:05,pune-18.54293-73.82570,19
pune-pmpml-r1-1d0-t2,08:29:37,08:29:37,pune-18.54159-73.82993,20
pune-pmpml-r1-1d0-t2,08:33:02,08:33:02,pune-18.53491-73.83893,21
pune-pmpml-r1-1d0-t2,08:34:12,08:34:12,pune-18.53385-73.84047,22
pune-pmpml-r1-1d0-t2,08:36:41,08:36:41,pune-18.53078-73.84779,23
pune-pmpml-r1-1d0-t2,08:38:22,08:38:22,pune-18.52758-73.85148,24
pune-pmpml-r1-1d0-t2,08:39:32,08:39:32,pune-18.52620-73.85295,25
pune-pmpml-r1-1d0-t2,08:40:47,08:40:47,pune-18.52375-73.85517,26
pune-pmpml-r1-1d0-t2,08:43:52,08:43:52,pune-18.52702-73.86478,27
pune-pmpml-r1-1d0-t2,08:46:06,08:46:06,pune-18.52505-73.87155,28
pune-pmpml-r1-1d0-t2,08:47:16,08:47:16,pune-18.52717-73.87291,29
pune-pmpml-r1-1d0-t3,12:00:00,12:00:00,pune-18.57513-73.76678,1
pune-pmpml-r1-1d0-t3,12:01:32,12:01:32,pune-18.57472-73.77120,2
pune-pmpml-r1-1d0-t3,12:02:42,12:02:42,pune-18.57373-73.77381,3
pune-pmpml-r1-1d0-t3,12:04:47,12:04:47,pune-18.57621-73.77976,4
pune-pmpml-r1-1d0-t3,12:06:53,12:06:53,pune-18.57012-73.78118,5
pune-pmpml-r1-1d0-t3,12:09:12,12:09:12,pune-18.56342-73.78323,6
pune-pmpml-r1-1d0-t3,12:10:22,12:10:22,pune-18.56167-73.78570,7
pune-pmpml-r1-1d0-t3,12:12:23,12:12:23,pune-18.55881-73.79121,8
pune-pmpml-r1-1d0-t3,12:13:33,12:13:33,pune-18.55894-73.79163,9
pune-pmpml-r1-1d0-t3,12:14:54,12:14:54,pune-18.55658-73.79451,10
pune-pmpml-r1-1d0-t3,12:16:04,12:16:04,pune-18.55525-73.79594,11
pune-pmpml-r1-1d0-t3,12:17:14,12:17:14,pune-18.55507-73.79871,12
pune-pmpml-r1-1d0-t3,12:19:37,12:19:37,pune-18.55111-73.80508,13
pune-pmpml-r1-1d0-t3,12:21:20,12:21:20,pune-18.54997-73.81008,14
pune-pmpml-r1-1d0-t3,12:22:59,12:22:59,pune-18.54813-73.81458,15
pune-pmpml-r1-1d0-t3,12:24:09,12:24:09,pune-18.54746-73.81628,16
pune-pmpml-r1-1d0-t3,12:25:21,12:25:21,pune-18.54660-73.81936,17
pune-pmpml-r1-1d0-t3,12:26:55,12:26:55,pune-18.54480-73.82351,18
pune-pmpml-r1-1d0-t3,12:28:05,12:28:05,pune-18.54293-73.82570,19
pune-pmpml-r1-1d0-t3,12:29:37,12:29:37,pune-18.54159-73.82993,20
pune-pmpml-r1-1d0-t3,12:33:02,12:33:02,pune-18.53491-73.83893,21
pune-pmpml-r1-1d0-t3,12:34:12,12:34:12,pune-18.53385-73.84047,22
pune-pmpml-r1-1d0-t3,12:36:41,12:36:41,pune-18.53078-73.84779,23
pune-pmpml-r1-1d0-t3,12:38:22,12:38:22,pune-18.52758-73.85148,24
pune-pmpml-r1-1d0-t3,12:39:32,12:39:32,pune-18.52620-73.85295,25
pune-pmpml-r1-1d0-t3,12:40:47,12:40:47,pune-18.52375-73.85517,26
pune-pmpml-r1-1d0-t3,12:43:52,12:43:52,pune-18.52702-73.86478,27
pune-pmpml-r1-1d0-t3,12:46:06,12:46:06,pune-18.52505-73.87155,28
pune-pmpml-r1-1d0-t3,12:47:16,12:47:16,pune-18.52717-73.87291,29
pune-pmpml-r1-1d0-t4,17:00:00,17:00:00,pune-18.57513-73.76678,1
pune-pmpml-r1-1d0-t4,17:01:32,17:01:32,pune-18.57472-73.77120,2
pune-pmpml-r1-1d0-t4,17:02:42,17:02:42,pune-18.57373-73.77381,3
pune-pmpml-r1-1d0-t4,17:04:47,17:04:47,pune-18.57621-73.77976,4
pune-pmpml-r1-1d0-t4,17:06:53,17:06:53,pune-18.57012-73.78118,5
pune-pmpml-r1-1d0-t4,17:09:12,17:09:12,pune-18.56342-73.78323,6
pune-pmpml-r1-1d0-t4,17:10:22,17:10:22,pune-18.56167-73.78570,7
pune-pmpml-r1-1d0-t4,17:12:23,17:12:23,pune-18.55881-73.79121,8
pune-pmpml-r1-1d0-t4,17:13:33,17:13:33,pune-18.55894-73.79163,9
pune-pmpml-r1-1d0-t4,17:14:54,17:14:54,pune-18.55658-73.79451,10
pune-pmpml-r1-1d0-t4,17:16:04,17:16:04,pune-18.55525-73.79594,11
pune-pmpml-r1-1d0-t4,17:17:14,17:17:14,pune-18.55507-73.79871,12
pune-pmpml-r1-1d0-t4,17:19:37,17:19:37,pune-18.55111-73.80508,13
pune-pmpml-r1-1d0-t4,17:21:20,17:21:20,pune-18.54997-73.81008,14
pune-pmpml-r1-1d0-t4,17:22:59,17:22:59,pune-18.54813-73.81458,15
pune-pmpml-r1-1d0-t4,17:24:09,17:24:09,pune-18.54746-73.81628,16
pune-pmpml-r1-1d0-t4,17:25:21,17:25:21,pune-18.54660-73.81936,17
pune-pmpml-r1-1d0-t4,17:26:55,17:26:55,pune-18.54480-73.82351,18
pune-pmpml-r1-1d0-t4,17:28:05,17:28:05,pune-18.54293-73.82570,19
pune-pmpml-r1-1d0-t4,17:29:37,17:29:37,pune-18.54159-73.82993,20
pune-pmpml-r1-1d0-t4,17:33:02,17:33:02,pune-18.53491-73.83893,21
pune-pmpml-r1-1d0-t4,17:34:12,17:34:12,pune-18.53385-73.84047,22
pune-pmpml-r1-1d0-t4,17:36:41,17:36:41,pune-18.53078-73.84779,23
pune-pmpml-r1-1d0-t4,17:38:22,17:38:22,pune-18.52758-73.85148,24
pune-pmpml-r1-1d0-t4,17:39:32,17:39:32,pune-18.52620-73.85295,25
pune-pmpml-r1-1d0-t4,17:40:47,17:40:47,pune-18.52375-73.85517,26
pune-pmpml-r1-1d0-t4,17:43:52,17:43:52,pune-18.52702-73.86478,27
pune-pmpml-r1-1d0-t4,17:46:06,17:46:06,pune-18.52505-73.87155,28
pune-pmpml-r1-1d0-t4,17:47:16,17:47:16,pune-18.52717-73.87291,29
pune-pmpml-r1-1d0-t5,20:00:00,20:00:00,pune-18.57513-73.76678,1
pune-pmpml-r1-1d0-t5,20:01:32,20:01:32,pune-18.57472-73.77120,2
pune-pmpml-r1-1d0-t5,20:02:42,20:02:42,pune-18.57373-73.77381,3
pune-pmpml-r1-1d0-t5,20:04:47,20:04:47,pune-18.57621-73.77976,4
pune-pmpml-r1-1d0-t5,20:06:53,20:06:53,pune-18.57012-73.78118,5
pune-pmpml-r1-1d0-t5,20:09:12,20:09:12,pune-18.56342-73.78323,6
pune-pmpml-r1-1d0-t5,20:10:22,20:10:22,pune-18.56167-73.78570,7
pune-pmpml-r1-1d0-t5,20:12:23,20:12:23,pune-18.55881-73.79121,8
pune-pmpml-r1-1d0-t5,20:13:33,20:13:33,pune-18.55894-73.79163,9
pune-pmpml-r1-1d0-t5,20:14:54,20:14:54,pune-18.55658-73.79451,10
pune-pmpml-r1-1d0-t5,20:16:04,20:16:04,pune-18.55525-73.79594,11
pune-pmpml-r1-1d0-t5,20:17:14,20:17:14,pune-18.55507-73.79871,12
pune-pmpml-r1-1d0-t5,20:19:37,20:19:37,pune-18.55111-73.80508,13
pune-pmpml-r1-1d0-t5,20:21:20,20:21:20,pune-18.54997-73.81008,14
pune-pmpml-r1-1d0-t5,20:22:59,20:22:59,pune-18.54813-73.81458,15
pune-pmpml-r1-1d0-t5,20:24:09,20:24:09,pune-18.54746-73.81628,16
pune-pmpml-r1-1d0-t5,20:25:21,20:25:21,pune-18.54660-73.81936,17
pune-pmpml-r1-1d0-t5,20:26:55,20:26:55,pune-18.54480-73.82351,18
pune-pmpml-r1-1d0-t5,20:28:05,20:28:05,pune-18.54293-73.82570,19
pune-pmpml-r1-1d0-t5,20:29:37,20:29:37,pune-18.54159-73.82993,20
pune-pmpml-r1-1d0-t5,20:33:02,20:33:02,pune-18.53491-73.83893,21
pune-pmpml-r1-1d0-t5,20:34:12,20:34:12,pune-18.53385-73.84047,22
pune-pmpml-r1-1d0-t5,20:36:41,20:36:41,pune-18.53078-73.84779,23
pune-pmpml-r1-1d0-t5,20:38:22,20:38:22,pune-18.52758-73.85148,24
pune-pmpml-r1-1d0-t5,20:39:32,20:39:32,pune-18.52620-73.85295,25
pune-pmpml-r1-1d0-t5,20:40:47,20:40:47,pune-18.52375-73.85517,26
pune-pmpml-r1-1d0-t5,20:43:52,20:43:52,pune-18.52702-73.86478,27
pune-pmpml-r1-1d0-t5,20:46:06,20:46:06,pune-18.52505-73.87155,28
pune-pmpml-r1-1d0-t5,20:47:16,20:47:16,pune-18.52717-73.87291,29
pune-pmpml-r1-1d1-t1,06:00:00,06:00:00,pune-18.52717-73.87291,1
pune-pmpml-r1-1d1-t1,06:01:10,06:01:10,pune-18.52505-73.87155,2
pune-pmpml-r1-1d1-t1,06:03:24,06:03:24,pune-18.52702-73.86478,3
pune-pmpml-r1-1d1-t1,06:06:29,06:06:29,pune-18.52375-73.85517,4
pune-pmpml-r1-1d1-t1,06:07:44,06:07:44,pune-18.52620-73.85295,5
pune-pmpml-r1-1d1-t1,06:08:54,06:08:54,pune-18.52758-73.85148,6
pune-pmpml-r1-1d1-t1,06:10:35,06:10:35,pune-18.53078-73.84779,7
pune-pmpml-r1-1d1-t1,06:13:04,06:13:04,pune-18.53385-73.84047,8
pune-pmpml-r1-1d1-t1,06:14:14,06:14:14,pune-18.53491-73.83893,9
pune-pmpml-r1-1d1-t1,06:17:39,06:17:39,pune-18.54159-73.82993,10
pune-pmpml-r1-1d1-t1,06:19:11,06:19:11,pune-18.54293-73.82570,11
pune-pmpml-r1-1d1-t1,06:20:21,06:20:21,pune-18.54480-73.82351,12
pune-pmpml-r1-1d1-t1,06:21:55,06:21:55,pune-18.54660-73.81936,13
pune-pmpml-r1-1d1-t1,06:23:07,06:23:07,pune-18.54746-73.81628,14
pune-pmpml-r1-1d1-t1,06:24:17,06:24:17,pune-18.54813-73.81458,15
pune-pmpml-r1-1d1-t1,06:25:56,06:25:56,pune-18.54997-73.81008,16
pune-pmpml-r1-1d1-t1,06:27:39,06:27:39,pune-18.55111-73.80508,17
pune-pmpml-r1-1d1-t1,06:30:02,06:30:02,pune-18.55507-73.79871,18
pune-pmpml-r1-1d1-t1,06:31:12,06:31:12,pune-18.55525-73.79594,19
pune-pmpml-r1-1d1-t1,06:32:22,06:32:22,pune-18.55658-73.79451,20
pune-pmpml-r1-1d1-t1,06:33:43,06:33:43,pune-18.55894-73.79163,21
pune-pmpml-r1-1d1-t1,06:34:53,06:34:53,pune-18.55881-73.79121,22
pune-pmpml-r1-1d1-t1,06:36:54,06:36:54,pune-18.56167-73.78570,23
pune-pmpml-r1-1d1-t1,06:38:04,06:38:04,pune-18.56342-73.78323,24
pune-pmpml-r1-1d1-t1,06:40:23,06:40:23,pune-18.57012-73.78118,25
pune-pmpml-r1-1d1-t1,06:42:29,06:42:29,pune-18.57621-73.77976,26
pune-pmpml-r1-1d1-t1,06:44:34,06:44:34,pune-18.57373-73.77381,27
pune-pmpml-r1-1d1-t1,06:45:44,06:45:44,pune-18.57472-73.77120,28
pune-pmpml-r1-1d1-t1,06:47:16,06:47:16,pune-18.57513-73.76678,29
pune-pmpml-r1-1d1-t2,08:00:00,08:00:00,pune-18.52717-73.87291,1
pune-pmpml-r1-1d1-t2,08:01:10,08:01:10,pune-18.52505-73.87155,2
