trip_id,arrival_time,departure_time,stop_id,stop_sequence
pune-pune-mahanag-r1-1d0-t1,06:00:00,06:00:00,pune-18.57656-73.68818,1
pune-pune-mahanag-r1-1d0-t1,06:01:57,06:01:57,pune-18.57674-73.68216,2
pune-pune-mahanag-r1-1d0-t1,06:03:46,06:03:46,pune-18.58185-73.68112,3
pune-pune-mahanag-r1-1d0-t1,06:05:39,06:05:39,pune-18.58269-73.68682,4
pune-pune-mahanag-r1-1d0-t1,06:08:01,06:08:01,pune-18.58388-73.69427,5
pune-pune-mahanag-r1-1d0-t1,06:09:11,06:09:11,pune-18.58513-73.69639,6
pune-pune-mahanag-r1-1d0-t1,06:10:35,06:10:35,pune-18.58682-73.69995,7
pune-pune-mahanag-r1-1d0-t1,06:12:31,06:12:31,pune-18.58930-73.70527,8
pune-pune-mahanag-r1-1d0-t1,06:14:09,06:14:09,pune-18.59331-73.70765,9
pune-pune-mahanag-r1-1d0-t1,06:16:05,06:16:05,pune-18.59603-73.71284,10
pune-pune-mahanag-r1-1d0-t1,06:18:06,06:18:06,pune-18.59705-73.71903,11
pune-pune-mahanag-r1-1d0-t1,06:20:58,06:20:58,pune-18.59453-73.72808,12
pune-pune-mahanag-r1-1d0-t1,06:22:35,06:22:35,pune-18.59409-73.73284,13
pune-pune-mahanag-r1-1d0-t1,06:24:25,06:24:25,pune-18.59201-73.73798,14
pune-pune-mahanag-r1-1d0-t1,06:25:35,06:25:35,pune-18.59134-73.73912,15
pune-pune-mahanag-r1-1d0-t1,06:27:20,06:27:20,pune-18.59124-73.74438,16
pune-pune-mahanag-r1-1d0-t1,06:29:19,06:29:19,pune-18.59094-73.75048,17
pune-pune-mahanag-r1-1d0-t1,06:30:43,06:30:43,pune-18.59204-73.75430,18
pune-pune-mahanag-r1-1d0-t1,06:32:05,06:32:05,pune-18.59079-73.75792,19
pune-pune-mahanag-r1-1d0-t1,06:35:16,06:35:16,pune-18.58131-73.76138,20
pune-pune-mahanag-r1-1d0-t1,06:37:35,06:37:35,pune-18.57474-73.76386,21
pune-pune-mahanag-r1-1d0-t1,06:38:53,06:38:53,pune-18.57158-73.76519,22
pune-pune-mahanag-r1-1d0-t1,06:40:15,06:40:15,pune-18.56817-73.76651,23
pune-pune-mahanag-r1-1d0-t2,08:00:00,08:00:00,pune-18.57656-73.68818,1
pune-pune-mahanag-r1-1d0-t2,08:01:57,08:01:57,pune-18.57674-73.68216,2
pune-pune-mahanag-r1-1d0-t2,08:03:46,08:03:46,pune-18.58185-73.68112,3
pune-pune-mahanag-r1-1d0-t2,08:05:39,08:05:39,pune-18.58269-73.68682,4
pune-pune-mahanag-r1-1d0-t2,08:08:01,08:08:01,pune-18.58388-73.69427,5
pune-pune-mahanag-r1-1d0-t2,08:09:11,08:09:11,pune-18.58513-73.69639,6
pune-pune-mahanag-r1-1d0-t2,08:10:35,08:10:35,pune-18.58682-73.69995,7
pune-pune-mahanag-r1-1d0-t2,08:12:31,08:12:31,pune-18.58930-73.70527,8
pune-pune-mahanag-r1-1d0-t2,08:14:09,08:14:09,pune-18.59331-73.70765,9
pune-pune-mahanag-r1-1d0-t2,08:16:05,08:16:05,pune-18.59603-73.71284,10
pune-pune-mahanag-r1-1d0-t2,08:18:06,08:18:06,pune-18.59705-73.71903,11
pune-pune-mahanag-r1-1d0-t2,08:20:58,08:20:58,pune-18.59453-73.72808,12
pune-pune-mahanag-r1-1d0-t2,08:22:35,08:22:35,pune-18.59409-73.73284,13
pune-pune-mahanag-r1-1d0-t2,08:24:25,08:24:25,pune-18.59201-73.73798,14
pune-pune-mahanag-r1-1d0-t2,08:25:35,08:25:35,pune-18.59134-73.73912,15
pune-pune-mahanag-r1-1d0-t2,08:27:20,08:27:20,pune-18.59124-73.74438,16
pune-pune-mahanag-r1-1d0-t2,08:29:19,08:29:19,pune-18.59094-73.75048,17
pune-pune-mahanag-r1-1d0-t2,08:30:43,08:30:43,pune-18.59204-73.75430,18
pune-pune-mahanag-r1-1d0-t2,08:32:05,08:32:05,pune-18.59079-73.75792,19
pune-pune-mahanag-r1-1d0-t2,08:35:16,08:35:16,pune-18.58131-73.76138,20
pune-pune-mahanag-r1-1d0-t2,08:37:35,08:37:35,pune-18.57474-73.76386,21
pune-pune-mahanag-r1-1d0-t2,08:38:53,08:38:53,pune-18.57158-73.76519,22
pune-pune-mahanag-r1-1d0-t2,08:40:15,08:40:15,pune-18.56817-73.76651,23
pune-pune-mahanag-r1-1d0-t3,12:00:00,12:00:00,pune-18.57656-73.68818,1
pune-pune-mahanag-r1-1d0-t3,12:01:57,12:01:57,pune-18.57674-73.68216,2
pune-pune-mahanag-r1-1d0-t3,12:03:46,12:03:46,pune-18.58185-73.68112,3
pune-pune-mahanag-r1-1d0-t3,12:05:39,12:05:39,pune-18.58269-73.68682,4
pune-pune-mahanag-r1-1d0-t3,12:08:01,12:08:01,pune-18.58388-73.69427,5
pune-pune-mahanag-r1-1d0-t3,12:09:11,12:09:11,pune-18.58513-73.69639,6
