route_id,service_id,trip_id,trip_headsign
pune-south-centra-r1,daily,pune-south-centra-r1-1d0-t1,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d0-t2,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d0-t3,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d0-t4,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d0-t5,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d1-t1,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d1-t2,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d1-t3,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d1-t4,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r1,daily,pune-south-centra-r1-1d1-t5,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
pune-south-centra-r2,daily,pune-south-centra-r2-2d0-t1,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d0-t2,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d0-t3,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d0-t4,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d0-t5,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d1-t1,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d1-t2,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d1-t3,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d1-t4,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r2,daily,pune-south-centra-r2-2d1-t5,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
pune-south-centra-r3,daily,pune-south-centra-r3-3d0-t1,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d0-t2,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d0-t3,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d0-t4,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d0-t5,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d1-t1,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d1-t2,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d1-t3,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d1-t4,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r3,daily,pune-south-centra-r3-3d1-t5,Train Duronto Express 12220: Secunderabad → Mumbai LTT
pune-south-centra-r4,daily,pune-south-centra-r4-4d0-t1,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d0-t2,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d0-t3,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d0-t4,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d0-t5,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d1-t1,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d1-t2,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d1-t3,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d1-t4,Train Duronto Express 12219: Mumbai LTT → Secunderabad
pune-south-centra-r4,daily,pune-south-centra-r4-4d1-t5,Train Duronto Express 12219: Mumbai LTT → Secunderabad
