trip_id,arrival_time,departure_time,stop_id,stop_sequence
saharanpur-indian-railw-r1-1d0-t1,06:00:00,06:00:00,saharanpur-19.22961-72.85704,1
saharanpur-indian-railw-r1-1d0-t1,06:01:10,06:01:10,saharanpur-19.22824-72.85672,2
saharanpur-indian-railw-r1-1d0-t1,11:06:56,11:06:56,saharanpur-21.20599-72.84061,3
saharanpur-indian-railw-r1-1d0-t1,11:08:06,11:08:06,saharanpur-21.20520-72.84084,4
saharanpur-indian-railw-r1-1d0-t1,14:05:53,14:05:53,saharanpur-22.31009-73.18055,5
saharanpur-indian-railw-r1-1d0-t1,15:40:12,15:40:12,saharanpur-22.77710-73.60316,6
saharanpur-indian-railw-r1-1d0-t1,17:13:37,17:13:37,saharanpur-22.84414-74.25297,7
saharanpur-indian-railw-r1-1d0-t1,19:30:23,19:30:23,saharanpur-23.33837-75.04906,8
saharanpur-indian-railw-r1-1d0-t1,21:09:20,21:09:20,saharanpur-22.90622-74.53774,9
saharanpur-indian-railw-r1-1d0-t1,22:48:36,22:48:36,saharanpur-23.34029-75.05005,10
saharanpur-indian-railw-r1-1d0-t1,23:43:21,23:43:21,saharanpur-23.45629-75.41266,11
saharanpur-indian-railw-r1-1d0-t1,25:41:37,25:41:37,saharanpur-24.19047-75.64270,12
saharanpur-indian-railw-r1-1d0-t1,26:25:54,26:25:54,saharanpur-24.41884-75.82905,13
saharanpur-indian-railw-r1-1d0-t1,27:04:17,27:04:17,saharanpur-24.64391-75.93947,14
saharanpur-indian-railw-r1-1d0-t1,28:34:47,28:34:47,saharanpur-25.22539-75.88078,15
saharanpur-indian-railw-r1-1d0-t1,28:35:57,28:35:57,saharanpur-25.22435-75.88106,16
saharanpur-indian-railw-r1-1d0-t1,30:55:34,30:55:34,saharanpur-26.01805-76.35617,17
saharanpur-indian-railw-r1-1d0-t1,32:22:22,32:22:22,saharanpur-26.46830-76.72730,18
saharanpur-indian-railw-r1-1d0-t1,33:09:24,33:09:24,saharanpur-26.68248-76.96602,19
saharanpur-indian-railw-r1-1d0-t1,33:24:14,33:24:14,saharanpur-26.75610-77.03139,20
saharanpur-indian-railw-r1-1d0-t1,34:08:38,34:08:38,saharanpur-26.91587-77.29643,21
saharanpur-indian-railw-r1-1d0-t1,35:05:01,35:05:01,saharanpur-27.23727-77.48595,22
saharanpur-indian-railw-r1-1d0-t1,35:06:11,35:06:11,saharanpur-27.23695-77.48841,23
saharanpur-indian-railw-r1-1d0-t1,35:52:16,35:52:16,saharanpur-27.48346-77.67346,24
saharanpur-indian-railw-r1-1d0-t1,38:24:14,38:24:14,saharanpur-28.41058-77.30738,25
saharanpur-indian-railw-r1-1d0-t1,38:53:12,38:53:12,saharanpur-28.58996-77.25363,26
saharanpur-indian-railw-r1-1d0-t1,39:19:09,39:19:09,saharanpur-28.65323-77.42831,27
saharanpur-indian-railw-r1-1d0-t1,39:20:19,39:20:19,saharanpur-28.65357-77.42805,28
saharanpur-indian-railw-r1-1d0-t1,40:20:45,40:20:45,saharanpur-28.97727-77.67470,29
saharanpur-indian-railw-r1-1d0-t1,40:27:19,40:27:19,saharanpur-29.01633-77.68681,30
saharanpur-indian-railw-r1-1d0-t1,40:55:12,40:55:12,saharanpur-29.19261-77.71850,31
saharanpur-indian-railw-r1-1d0-t1,41:38:17,41:38:17,saharanpur-29.46934-77.70810,32
saharanpur-indian-railw-r1-1d0-t1,42:57:54,42:57:54,saharanpur-29.96160-77.54026,33
saharanpur-indian-railw-r1-1d0-t1,42:59:04,42:59:04,saharanpur-29.96113-77.54107,34
saharanpur-indian-railw-r1-1d0-t1,43:41:16,43:41:16,saharanpur-30.11813-77.28575,35
saharanpur-indian-railw-r1-1d0-t1,43:42:26,43:42:26,saharanpur-30.11783-77.28619,36
saharanpur-indian-railw-r1-1d0-t1,44:52:43,44:52:43,saharanpur-30.33830-76.82815,37
saharanpur-indian-railw-r1-1d0-t1,75:21:45,75:21:45,saharanpur-19.06170-72.84115,38
saharanpur-indian-railw-r1-1d0-t2,08:00:00,08:00:00,saharanpur-19.22961-72.85704,1
saharanpur-indian-railw-r1-1d0-t2,08:01:10,08:01:10,saharanpur-19.22824-72.85672,2
saharanpur-indian-railw-r1-1d0-t2,13:06:56,13:06:56,saharanpur-21.20599-72.84061,3
saharanpur-indian-railw-r1-1d0-t2,13:08:06,13:08:06,saharanpur-21.20520-72.84084,4
saharanpur-indian-railw-r1-1d0-t2,16:05:53,16:05:53,saharanpur-22.31009-73.18055,5
saharanpur-indian-railw-r1-1d0-t2,17:40:12,17:40:12,saharanpur-22.77710-73.60316,6
saharanpur-indian-railw-r1-1d0-t2,19:13:37,19:13:37,saharanpur-22.84414-74.25297,7
saharanpur-indian-railw-r1-1d0-t2,21:30:23,21:30:23,saharanpur-23.33837-75.04906,8
saharanpur-indian-railw-r1-1d0-t2,23:09:20,23:09:20,saharanpur-22.90622-74.53774,9
saharanpur-indian-railw-r1-1d0-t2,24:48:36,24:48:36,saharanpur-23.34029-75.05005,10
saharanpur-indian-railw-r1-1d0-t2,25:43:21,25:43:21,saharanpur-23.45629-75.41266,11
saharanpur-indian-railw-r1-1d0-t2,27:41:37,27:41:37,saharanpur-24.19047-75.64270,12
saharanpur-indian-railw-r1-1d0-t2,28:25:54,28:25:54,saharanpur-24.41884-75.82905,13
saharanpur-indian-railw-r1-1d0-t2,29:04:17,29:04:17,saharanpur-24.64391-75.93947,14
saharanpur-indian-railw-r1-1d0-t2,30:34:47,30:34:47,saharanpur-25.22539-75.88078,15
saharanpur-indian-railw-r1-1d0-t2,30:35:57,30:35:57,saharanpur-25.22435-75.88106,16
saharanpur-indian-railw-r1-1d0-t2,32:55:34,32:55:34,saharanpur-26.01805-76.35617,17
saharanpur-indian-railw-r1-1d0-t2,34:22:22,34:22:22,saharanpur-26.46830-76.72730,18
saharanpur-indian-railw-r1-1d0-t2,35:09:24,35:09:24,saharanpur-26.68248-76.96602,19
saharanpur-indian-railw-r1-1d0-t2,35:24:14,35:24:14,saharanpur-26.75610-77.03139,20
saharanpur-indian-railw-r1-1d0-t2,36:08:38,36:08:38,saharanpur-26.91587-77.29643,21
