stop_id,stop_name,stop_lat,stop_lon
S1,Koti Collector Office-1,22.303251,73.194941
S3,Circuit House-Rc Dutt Road,22.310053,73.177875
S4,Rc Dutt Road,22.310387,73.17758
S5,Rc Dutt Road-Bank Of Baroda,22.310896,73.171239
S6,Rc Dutt Road Circuit House,22.310643,73.169791
S8,Op Road(Abs Tower)-1,22.304757,73.165783
S9,Op Road(Abs Tower)-2,22.304472,73.165545
S10,Op Road Vidyut Nagar-1,22.29737,73.16488
S11,Op Road Vidyut Nagar-2,22.29629,73.16423
S12,Badamdi Baug,22.300721,73.195048
S23,Race Course Circle-2,22.309145,73.165038
S24,Harinagar Gotri Road,22.314719,73.159882
S27,Sardar Baug,22.315018,73.166149
S28,Baroda Central,22.317371,73.168721
S29,Baroda Central,22.316957,73.168753
S30,Sardar Baug,22.314543,73.165606
S31,Race Cource St Office,22.312807,73.164773
S39,Tb Hospital,22.312875,73.147756
S40,Alembic Ground-1,22.321679,73.168221
S41,Alembic Ground-2,22.322952,73.166459
S42,Gurwa Naka,22.331238,73.160666
S43,Panchavati Gurwa,22.339464,73.148186
S44,Petrofolis Nagar,22.343482,73.143883
S45,Kamati Baug Sayaji Gunj,22.309031,73.187105
S46,Lehripura,22.300034,73.206121
S47,Lehripura,22.300034,73.206121
S48,Baroda Dairy Circle,22.271925,73.203949
S49,Baroda Dairy Circle,22.272645,73.204189
S50,Kirti Stambh,22.295903,73.197826
S51,Kirti Stambh,22.295903,73.197826
S52,Khanderao Market,22.296591,73.200236
S54,Shreyas School,22.275738,73.198044
S55,S.S.G Hospital Gate,22.305045,73.192438
S56,S.S.G Hospital Gate,22.30519,73.192482
S57,Tulsidham Char Rasta,22.270767,73.197026
S59,Pratap Nagar Bridge,22.285525,73.208671
S60,Akashwani Makarpura,22.264293,73.201287
S61,Novino Makarpura,22.253302,73.197619
S62,Kothi Khadi Bhawan,22.303964,73.196038
S63,Makarpura Nh-8,22.245712,73.194734
S64,Tower Raopura,22.303962,73.199262
S66,Lal Court,22.29817,73.20329
S67,Pavitra Township,22.238017,73.188733
S68,S.S.G Hospital Panch Mukhi Hanuman Mandir,22.307656,73.189987
S69,Tulsidham Char Rasta,22.270763,73.196856
S70,Shreyas School,22.276835,73.198103
S71,Mandvi Darvaja,22.300304,73.210799
S72,Mandvi Darvaja,22.300304,73.210799
S73,Pani Gate Police Station,22.299922,73.215586
S85,Akshar Chowk,22.28229,73.165043
S86,Vidyutnagar,22.284676,73.164977
S87,Tube Company,22.292997,73.164245
S88,City Bus Stand,22.309807,73.182599
S89,Alkapuri Bharat Petrol Pump,22.310794,73.17143
S90,Xpress Hotel,22.310418,73.168895
S91,Race Course Circle,22.310444,73.165873
S92,St Office,22.313575,73.164344
S93,Ellora Park 3 Rasta,22.315262,73.161902
S94,Hari Nagar Gotri Amra Kunj,22.314599,73.159959
S95,Inox,22.312805,73.158377
S96,Natubhai Circle,22.310827,73.158628
S97,Harinagar,22.311151,73.153373
S98,Gokul Nagar,22.301748,73.12966
S99,Sarabhai,22.311691,73.151197
S100,Ambika Nagar,22.304988,73.130614
S102,Gayatri Nagar,22.308904,73.131115
S105,Chandramouleshwar Mandir,22.310076,73.131487
S107,Jalaram Mandir,22.311941,73.13224
S109,Gayatri School,22.313167,73.13274
S114,Gotri Pani Ni Tanki,22.314882,73.133408
S117,Gotri Talav,22.316018,73.13623
S122,Yash Complex,22.315537,73.13779
S124,Gotri Talav,22.31587,73.136196
S126,Gotri Pani Ni Tanki,22.315076,73.133677
S128,Gayatri School,22.313125,73.132872
S129,Jalaram Mandir,22.310989,73.131997
S130,Chandramouleshwar Mandir,22.309864,73.131527
S131,Gayatri Nagar,22.308817,73.131228
S132,Ambika Nagar,22.305217,73.130705
S133,Gokul Nagar,22.301644,73.129647
S134,City Bus Stand,22.31135,73.18231
S139,Race  Course  Circle,22.310607,73.165607
S143,Ellora Park 3 Rasta,22.315406,73.162109
S145,Inox,22.313744,73.15849
S147,Natubhai Circle,22.310239,73.158565
S148,Sarabhai,22.312036,73.150943
S149,Harinagar,22.311497,73.152782
S150,Tower,22.304013,73.198933
S151,Amdavadi Pole,22.303422,73.203502
S152,Gandhinagar Gruh,22.302194,73.20542
S153,Chokhandi,22.295866,73.21068
S154,Wadi Market,22.293742,73.210567
S155,Geeta Mandir,22.290554,73.210129
S156,Apsara Cinema,22.28647,73.20897
S157,Dabhoi Road,22.285266,73.20861
S158,Gokul Nagar Society,22.277104,73.20566
S160,Ongc,22.274242,73.204726
S161,Akashwani Makarpura,22.265019,73.201577
S162,Sushen,22.256805,73.198946
S163,Novino Makarpura,22.252733,73.197567
S164,Makarpura Depo,22.249904,73.196625
S165,Ram Baug,22.247933,73.195982
S166,Makarpura Nh-8,22.245778,73.194934
S167,Erda Gate,22.243299,73.189507
S168,Maneja Crossing,22.237489,73.188807
S169,Voltemp Company,22.232593,73.188098
S170,Gayatri  Nagar,22.228555,73.187521
S171,Jambuva Naka,22.224818,73.186813
S172,Jambuva Gam,22.217622,73.186154
S173,Jambuva Naka,22.225085,73.186934
S174,Gayatri  Nagar,22.228658,73.187416
S175,Voltemp Company,22.231932,73.187874
S176,Erda Gate,22.243156,73.189243
S177,Ram Baug,22.247974,73.195847
S178,Makarpura Depo,22.249686,73.196398
S179,Sushen,22.256794,73.198638
S180,Baroda  Dairy Circle,22.272434,73.204008
S181,Ongc,22.274229,73.204606
S183,Gokul Nagar Society,22.277297,73.205602
S184,Apsara Cinema,22.28647,73.2091
S185,Geeta Mandir,22.2903,73.210064
S186,Wadi Market,22.293446,73.210466
