stop_id,stop_name,stop_lat,stop_lon
varanasi-22.56872-88.37410,Varanasi stop,22.568722,88.374095
varanasi-23.49476-87.31836,Varanasi stop,23.494763,87.318362
varanasi-23.69121-86.97518,Varanasi stop,23.691206,86.975176
varanasi-23.79172-86.42867,Varanasi stop,23.791724,86.428669
varanasi-24.80412-84.99985,Varanasi stop,24.804124,84.999848
varanasi-25.27917-83.12071,Varanasi stop,25.279166,83.12071
varanasi-26.45426-80.35194,Varanasi stop,26.454261,80.351936
varanasi-28.64109-77.22113,Varanasi stop,28.641087,77.221133
varanasi-28.64257-77.22113,Varanasi stop,28.642571,77.221134
varanasi-28.64080-77.22143,Varanasi stop,28.640803,77.221431
varanasi-26.45435-80.35093,Varanasi stop,26.454355,80.350925
varanasi-25.27933-83.12035,Varanasi stop,25.279329,83.120352
varanasi-24.80189-84.99921,Varanasi stop,24.80189,84.99921
varanasi-23.79159-86.42947,Varanasi stop,23.791589,86.429471
varanasi-23.69147-86.97491,Varanasi stop,23.691472,86.974907
varanasi-23.49503-87.31839,Varanasi stop,23.495028,87.318392
