stop_id,stop_name,stop_lat,stop_lon
varanasi-23.34932-85.33486,Varanasi stop,23.349316,85.334857
varanasi-23.34925-85.33612,Varanasi stop,23.349252,85.336119
varanasi-23.65792-86.08408,Varanasi stop,23.657917,86.084079
varanasi-24.43495-85.52837,Varanasi stop,24.434949,85.528369
varanasi-24.43467-85.52910,Varanasi stop,24.434669,85.529103
varanasi-24.80412-84.99985,Varanasi stop,24.804124,84.999848
varanasi-24.80344-84.99953,Varanasi stop,24.803445,84.999526
varanasi-24.91546-84.18454,Varanasi stop,24.915456,84.184541
varanasi-24.91509-84.18483,Varanasi stop,24.915087,84.184833
varanasi-25.27816-83.11963,Varanasi stop,25.278161,83.119626
varanasi-25.27836-83.12002,Varanasi stop,25.278361,83.120024
varanasi-26.45418-80.35113,Varanasi stop,26.454177,80.35113
varanasi-28.64085-77.22161,Varanasi stop,28.640846,77.221609
varanasi-28.64260-77.22138,Varanasi stop,28.642599,77.221382
varanasi-28.64080-77.22143,Varanasi stop,28.640803,77.221431
varanasi-28.64257-77.22113,Varanasi stop,28.642571,77.221134
varanasi-26.45435-80.35093,Varanasi stop,26.454355,80.350925
varanasi-25.27933-83.12035,Varanasi stop,25.279329,83.120352
varanasi-25.27909-83.11959,Varanasi stop,25.279094,83.119593
varanasi-24.91516-84.18539,Varanasi stop,24.915156,84.185394
varanasi-24.80189-84.99921,Varanasi stop,24.80189,84.99921
varanasi-24.80347-84.99935,Varanasi stop,24.803466,84.999349
varanasi-24.43452-85.52900,Varanasi stop,24.434521,85.529
varanasi-23.65808-86.08434,Varanasi stop,23.658082,86.084342
varanasi-23.34914-85.33590,Varanasi stop,23.349144,85.335903
