trip_id,arrival_time,departure_time,stop_id,stop_sequence
varanasi-varanasi-cit-r1-1d0-t1,06:00:00,06:00:00,varanasi-27.15465-81.97672,1
varanasi-varanasi-cit-r1-1d0-t1,06:39:14,06:39:14,varanasi-27.03851-82.22784,2
varanasi-varanasi-cit-r1-1d0-t1,06:40:24,06:40:24,varanasi-27.03824-82.22828,3
varanasi-varanasi-cit-r1-1d0-t1,07:19:31,07:19:31,varanasi-26.78822-82.20132,4
varanasi-varanasi-cit-r1-1d0-t1,07:20:41,07:20:41,varanasi-26.78793-82.20040,5
varanasi-varanasi-cit-r1-1d0-t1,08:33:36,08:33:36,varanasi-26.42920-82.54002,6
varanasi-varanasi-cit-r1-1d0-t1,11:34:58,11:34:58,varanasi-25.32767-82.98595,7
varanasi-varanasi-cit-r1-1d0-t2,08:00:00,08:00:00,varanasi-27.15465-81.97672,1
varanasi-varanasi-cit-r1-1d0-t2,08:39:14,08:39:14,varanasi-27.03851-82.22784,2
varanasi-varanasi-cit-r1-1d0-t2,08:40:24,08:40:24,varanasi-27.03824-82.22828,3
varanasi-varanasi-cit-r1-1d0-t2,09:19:31,09:19:31,varanasi-26.78822-82.20132,4
varanasi-varanasi-cit-r1-1d0-t2,09:20:41,09:20:41,varanasi-26.78793-82.20040,5
varanasi-varanasi-cit-r1-1d0-t2,10:33:36,10:33:36,varanasi-26.42920-82.54002,6
varanasi-varanasi-cit-r1-1d0-t2,13:34:58,13:34:58,varanasi-25.32767-82.98595,7
varanasi-varanasi-cit-r1-1d0-t3,12:00:00,12:00:00,varanasi-27.15465-81.97672,1
varanasi-varanasi-cit-r1-1d0-t3,12:39:14,12:39:14,varanasi-27.03851-82.22784,2
varanasi-varanasi-cit-r1-1d0-t3,12:40:24,12:40:24,varanasi-27.03824-82.22828,3
varanasi-varanasi-cit-r1-1d0-t3,13:19:31,13:19:31,varanasi-26.78822-82.20132,4
varanasi-varanasi-cit-r1-1d0-t3,13:20:41,13:20:41,varanasi-26.78793-82.20040,5
varanasi-varanasi-cit-r1-1d0-t3,14:33:36,14:33:36,varanasi-26.42920-82.54002,6
varanasi-varanasi-cit-r1-1d0-t3,17:34:58,17:34:58,varanasi-25.32767-82.98595,7
varanasi-varanasi-cit-r1-1d0-t4,17:00:00,17:00:00,varanasi-27.15465-81.97672,1
varanasi-varanasi-cit-r1-1d0-t4,17:39:14,17:39:14,varanasi-27.03851-82.22784,2
varanasi-varanasi-cit-r1-1d0-t4,17:40:24,17:40:24,varanasi-27.03824-82.22828,3
varanasi-varanasi-cit-r1-1d0-t4,18:19:31,18:19:31,varanasi-26.78822-82.20132,4
varanasi-varanasi-cit-r1-1d0-t4,18:20:41,18:20:41,varanasi-26.78793-82.20040,5
varanasi-varanasi-cit-r1-1d0-t4,19:33:36,19:33:36,varanasi-26.42920-82.54002,6
varanasi-varanasi-cit-r1-1d0-t4,22:34:58,22:34:58,varanasi-25.32767-82.98595,7
varanasi-varanasi-cit-r1-1d0-t5,20:00:00,20:00:00,varanasi-27.15465-81.97672,1
varanasi-varanasi-cit-r1-1d0-t5,20:39:14,20:39:14,varanasi-27.03851-82.22784,2
varanasi-varanasi-cit-r1-1d0-t5,20:40:24,20:40:24,varanasi-27.03824-82.22828,3
varanasi-varanasi-cit-r1-1d0-t5,21:19:31,21:19:31,varanasi-26.78822-82.20132,4
varanasi-varanasi-cit-r1-1d0-t5,21:20:41,21:20:41,varanasi-26.78793-82.20040,5
varanasi-varanasi-cit-r1-1d0-t5,22:33:36,22:33:36,varanasi-26.42920-82.54002,6
varanasi-varanasi-cit-r1-1d0-t5,25:34:58,25:34:58,varanasi-25.32767-82.98595,7
