route_id,service_id,trip_id,trip_headsign
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d0-t1,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d0-t2,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d0-t3,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d0-t4,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d0-t5,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d1-t1,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d1-t2,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d1-t3,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d1-t4,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r1,daily,varanasi-varanasi-cit-r1-1d1-t5,Gonda - Varanasi Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d0-t1,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d0-t2,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d0-t3,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d0-t4,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d0-t5,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d1-t1,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d1-t2,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d1-t3,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d1-t4,Varanasi - Gonda Intercity Express
varanasi-varanasi-cit-r2,daily,varanasi-varanasi-cit-r2-2d1-t5,Varanasi - Gonda Intercity Express
