route_id,service_id,trip_id,trip_headsign
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d0-t1,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d0-t2,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d0-t3,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d0-t4,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d0-t5,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d1-t1,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d1-t2,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d1-t3,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d1-t4,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r1,daily,vijayawada-apsrtc-r1-1d1-t5,Guntur → Vijayawada (Pallevelugu)
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d0-t1,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d0-t2,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d0-t3,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d0-t4,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d0-t5,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d1-t1,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d1-t2,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d1-t3,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d1-t4,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r2,daily,vijayawada-apsrtc-r2-2d1-t5,5G: Kaleswara Rao Market → Auto Nagar
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d0-t1,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d0-t2,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d0-t3,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d0-t4,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d0-t5,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d1-t1,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d1-t2,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d1-t3,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d1-t4,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r3,daily,vijayawada-apsrtc-r3-3d1-t5,16RR: Kaleswara Rao Market → Rajarajeswari Peta
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d0-t1,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d0-t2,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d0-t3,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d0-t4,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d0-t5,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d1-t1,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d1-t2,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d1-t3,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d1-t4,16RR: Rajarajeswari Peta → Kaleswara Rao Market
vijayawada-apsrtc-r4,daily,vijayawada-apsrtc-r4-4d1-t5,16RR: Rajarajeswari Peta → Kaleswara Rao Market
