stop_id,stop_name,stop_lat,stop_lon
vijayawada-13.08353-80.27516,Vijayawada stop,13.083527,80.275157
vijayawada-13.08562-80.27477,Vijayawada stop,13.085618,80.274773
vijayawada-16.51807-80.61933,Vijayawada stop,16.518071,80.619328
vijayawada-16.51865-80.61968,Vijayawada stop,16.518649,80.619676
vijayawada-22.58155-88.34154,Vijayawada stop,22.581548,88.341543
vijayawada-22.58269-88.33944,Vijayawada stop,22.582695,88.339443
vijayawada-22.58118-88.34145,Vijayawada stop,22.58118,88.341448
vijayawada-22.58235-88.33951,Vijayawada stop,22.58235,88.33951
vijayawada-22.58255-88.33901,Vijayawada stop,22.582552,88.339012
vijayawada-16.50844-80.61621,Vijayawada stop,16.508444,80.61621
vijayawada-16.50088-80.63413,Vijayawada stop,16.500885,80.634133
vijayawada-16.48387-80.61982,Vijayawada stop,16.483868,80.619819
vijayawada-16.47994-80.61703,Vijayawada stop,16.479941,80.617026
vijayawada-16.48445-80.57532,Vijayawada stop,16.484455,80.575318
vijayawada-16.48851-80.55834,Vijayawada stop,16.488509,80.55834
vijayawada-16.51435-80.51668,Vijayawada stop,16.514348,80.516677
vijayawada-16.58043-80.35890,Vijayawada stop,16.58043,80.3589
