stop_id,stop_name,stop_lat,stop_lon
bari,BARI (p.zza Gramsci / Eroi del Mare),41.1257,16.862
bari_polic,BARI Policlinico,41.117,16.876
bari_japigia,BARI Polivalente Japigia,41.105,16.883
bari_sanpaolo,Bari San Paolo,41.129,16.81
bari_mungivacca,Bari Mungivacca,41.098,16.89
palese,Palese (Bari),41.1436,16.7683
santospirito,Santo Spirito (Bari),41.1489,16.7889
giovinazzo,Giovinazzo,41.1876,16.6684
molfetta,Molfetta (Cin Cin Bar / 167 Polivalente),41.201,16.599
molfetta_steresa,Molfetta S. Teresa,41.204,16.591
bisceglie,Bisceglie (p.zza Margherita di Savoia),41.243,16.506
trani,Trani Centro (via Imbriani),41.277,16.417
trani_osp,Trani Ospedale,41.283,16.426
trani_staz,Trani Stazione,41.274,16.412
barletta,Barletta (p.zza Manfredi / via A.Bruni),41.319,16.283
canosa,Canosa di Puglia,41.222,16.066
cerignola,Cerignola,41.266,15.896
spinazzola,Spinazzola,40.968,16.091
minervino,Minervino Murge,41.087,16.079
sanferdinando,San Ferdinando di Puglia,41.302,16.068
trinitapoli,Trinitapoli,41.362,16.088
margherita,Margherita di Savoia,41.373,16.149
andria,Andria (p.zza Marinai d'Italia),41.227,16.296
bitonto,Bitonto (via Urbano),41.109,16.69
palodelcolle,Palo del Colle,41.053,16.7
bitetto,Bitetto,41.039,16.746
binetto,Binetto,41.023,16.706
grumo,Grumo Appula,41.01,16.71
toritto,Toritto,40.997,16.682
sannicandro,Sannicandro di Bari,41,16.791
bitritto,Bitritto,41.043,16.835
adelfia,Adelfia,41.003,16.871
triggiano_osp,Triggiano Ospedale,41.064,16.926
bivio_triggiano,Bivio Triggiano,41.07,16.91
torreamare,Torre a Mare (Bari),41.063,16.964
parchitello,Parchitello,41.06,17.04
mola,Mola di Bari,41.057,17.09
cozze,Cozze (Mola di Bari),41.023,17.121
conversano,Conversano,40.967,17.113
rutigliano,Rutigliano (Centro / Ospedale),41.01,17.006
noicattaro,Noicattaro,41.035,16.987
poggiorsini,Poggiorsini,40.92,16.26
gravina,Gravina in Puglia,40.818,16.42
altamura,Altamura,40.828,16.551
cassano,Cassano delle Murge,40.889,16.77
acquaviva,Acquaviva delle Fonti (Miulli),40.898,16.842
santeramo,Santeramo in Colle,40.793,16.758
gioia,Gioia del Colle,40.798,16.925
sammichele,Sammichele di Bari,40.888,16.95
capurso,Capurso,41.049,16.92
casamassima,Casamassima,40.954,16.92
bivio_massafra,Bivio Massafra,40.59,17.114
taranto_ilva,Taranto ILVA,40.51,17.17
taranto_porto,Taranto Stazione Bus Porto Mercantile,40.47,17.232
