trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1_WD_nb_1,05:50:00,05:50:00,teb_albino,1
T1_WD_nb_1,05:52:00,05:52:00,teb_pradalunga,2
T1_WD_nb_1,05:54:00,05:54:00,teb_nembro_saletti,3
T1_WD_nb_1,05:55:00,05:55:00,teb_nembro_centro,4
T1_WD_nb_1,05:57:00,05:57:00,teb_nembro_camozzi,5
T1_WD_nb_1,05:59:00,05:59:00,teb_alzano_sopra,6
T1_WD_nb_1,06:01:00,06:01:00,teb_alzano_centro,7
T1_WD_nb_1,06:03:00,06:03:00,teb_ranica,8
T1_WD_nb_1,06:07:00,06:07:00,teb_torre_boldone,9
T1_WD_nb_1,06:09:00,06:09:00,teb_bg_martinella,10
T1_WD_nb_1,06:10:00,06:10:00,teb_bg_negrisoli,11
T1_WD_nb_1,06:12:00,06:12:00,teb_bg_redona,12
T1_WD_nb_1,06:14:00,06:14:00,teb_bg_bianzana,13
T1_WD_nb_1,06:15:00,06:15:00,teb_bg_san_fermo,14
T1_WD_nb_1,06:17:00,06:17:00,teb_bg_borgo_palazzo,15
T1_WD_nb_1,06:20:00,06:20:00,teb_bergamo_fs,16
T1_WD_sb_67,05:50:00,05:50:00,teb_bergamo_fs,1
T1_WD_sb_67,05:53:00,05:53:00,teb_bg_borgo_palazzo,2
T1_WD_sb_67,05:55:00,05:55:00,teb_bg_san_fermo,3
T1_WD_sb_67,05:56:00,05:56:00,teb_bg_bianzana,4
T1_WD_sb_67,05:58:00,05:58:00,teb_bg_redona,5
T1_WD_sb_67,06:00:00,06:00:00,teb_bg_negrisoli,6
T1_WD_sb_67,06:01:00,06:01:00,teb_bg_martinella,7
T1_WD_sb_67,06:03:00,06:03:00,teb_torre_boldone,8
T1_WD_sb_67,06:07:00,06:07:00,teb_ranica,9
T1_WD_sb_67,06:09:00,06:09:00,teb_alzano_centro,10
T1_WD_sb_67,06:11:00,06:11:00,teb_alzano_sopra,11
T1_WD_sb_67,06:13:00,06:13:00,teb_nembro_camozzi,12
T1_WD_sb_67,06:15:00,06:15:00,teb_nembro_centro,13
T1_WD_sb_67,06:16:00,06:16:00,teb_nembro_saletti,14
T1_WD_sb_67,06:18:00,06:18:00,teb_pradalunga,15
T1_WD_sb_67,06:20:00,06:20:00,teb_albino,16
T1_SAT_nb_133,05:50:00,05:50:00,teb_albino,1
