trip_id,arrival_time,departure_time,stop_id,stop_sequence
BLU_out_0900,09:00:00,09:00:00,camogli,1
BLU_out_0900,09:15:00,09:15:00,punta_chiappa,2
BLU_out_0900,09:30:00,09:30:00,san_fruttuoso,3
BLU_out_1100,11:00:00,11:00:00,camogli,1
BLU_out_1100,11:15:00,11:15:00,punta_chiappa,2
BLU_out_1100,11:30:00,11:30:00,san_fruttuoso,3
BLU_out_1500,15:00:00,15:00:00,camogli,1
BLU_out_1500,15:15:00,15:15:00,punta_chiappa,2
BLU_out_1500,15:30:00,15:30:00,san_fruttuoso,3
BLU_ret_0930,09:30:00,09:30:00,san_fruttuoso,1
BLU_ret_0930,09:45:00,09:45:00,punta_chiappa,2
BLU_ret_0930,10:00:00,10:00:00,camogli,3
BLU_ret_1130,11:30:00,11:30:00,san_fruttuoso,1
BLU_ret_1130,11:45:00,11:45:00,punta_chiappa,2
BLU_ret_1130,12:00:00,12:00:00,camogli,3
BLU_ret_1600,16:00:00,16:00:00,san_fruttuoso,1
BLU_ret_1600,16:15:00,16:15:00,punta_chiappa,2
BLU_ret_1600,16:30:00,16:30:00,camogli,3
2G_out_1400,14:00:00,14:00:00,genova_porto_antico,1
2G_out_1400,14:30:00,14:30:00,genova_nervi,2
2G_out_1400,14:45:00,14:45:00,recco,3
2G_out_1400,14:50:00,14:50:00,camogli,4
2G_out_1400,15:10:00,15:10:00,san_fruttuoso,5
2G_out_1400,15:30:00,15:30:00,portofino,6
2G_ret_1650,16:50:00,16:50:00,portofino,1
2G_ret_1650,17:10:00,17:10:00,san_fruttuoso,2
2G_ret_1650,17:30:00,17:30:00,camogli,3
