trip_id,arrival_time,departure_time,stop_id,stop_sequence
101o,07:30:00,07:30:00,s001,1
101o,07:32:00,07:32:00,s002,2
101o,07:34:00,07:34:00,s003,3
101o,07:37:00,07:37:00,s004,4
101o,07:40:00,07:40:00,s005,5
101o,07:45:00,07:45:00,s006,6
101o,07:51:00,07:51:00,s007,7
101o,07:54:00,07:54:00,s008,8
101o,08:08:00,08:08:00,s009,9
101o,08:12:00,08:12:00,s010,10
101o,08:14:00,08:14:00,s011,11
101o,08:16:00,08:16:00,s012,12
101o,08:19:00,08:19:00,s013,13
101o,08:21:00,08:21:00,s014,14
101o,08:26:00,08:26:00,s015,15
101o,08:30:00,08:30:00,s016,16
101o,08:34:00,08:34:00,s017,17
101o,08:37:00,08:37:00,s018,18
101o,08:42:00,08:42:00,s019,19
101o,08:45:00,08:45:00,s020,20
101o,08:50:00,08:50:00,s021,21
101o,08:55:00,08:55:00,s022,22
101o,09:00:00,09:00:00,s023,23
101o,09:06:00,09:06:00,s024,24
101o,09:14:00,09:14:00,s025,25
101r,09:00:00,09:00:00,s025,1
101r,09:08:00,09:08:00,s024,2
101r,09:14:00,09:14:00,s023,3
101r,09:19:00,09:19:00,s022,4
101r,09:24:00,09:24:00,s021,5
101r,09:29:00,09:29:00,s020,6
101r,09:32:00,09:32:00,s019,7
101r,09:37:00,09:37:00,s026,8
101r,09:40:00,09:40:00,s017,9
101r,09:44:00,09:44:00,s016,10
101r,09:48:00,09:48:00,s015,11
101r,09:53:00,09:53:00,s027,12
101r,09:55:00,09:55:00,s013,13
101r,09:58:00,09:58:00,s012,14
101r,10:00:00,10:00:00,s028,15
101r,10:02:00,10:02:00,s010,16
101r,10:06:00,10:06:00,s009,17
101r,10:20:00,10:20:00,s008,18
101r,10:23:00,10:23:00,s007,19
101r,10:29:00,10:29:00,s006,20
101r,10:34:00,10:34:00,s029,21
101r,10:37:00,10:37:00,s004,22
101r,10:40:00,10:40:00,s030,23
101r,10:42:00,10:42:00,s002,24
101r,10:44:00,10:44:00,s001,25
102o,08:00:00,08:00:00,s031,1
102o,08:01:00,08:01:00,s032,2
102o,08:16:00,08:16:00,s033,3
102o,08:31:00,08:31:00,s034,4
102o,08:43:00,08:43:00,s035,5
102o,08:47:00,08:47:00,s036,6
102o,08:48:00,08:48:00,s037,7
102o,08:52:00,08:52:00,s038,8
102o,09:02:00,09:02:00,s039,9
102o,09:08:00,09:08:00,s040,10
102o,09:22:00,09:22:00,s041,11
102r,11:25:00,11:25:00,s041,1
102r,11:39:00,11:39:00,s040,2
102r,11:45:00,11:45:00,s039,3
102r,11:55:00,11:55:00,s038,4
102r,11:59:00,11:59:00,s037,5
102r,12:00:00,12:00:00,s036,6
102r,12:04:00,12:04:00,s035,7
102r,12:16:00,12:16:00,s042,8
102r,12:31:00,12:31:00,s033,9
102r,12:46:00,12:46:00,s032,10
102r,12:47:00,12:47:00,s031,11
103o,09:20:00,09:20:00,s031,1
103o,09:21:00,09:21:00,s032,2
103o,09:27:00,09:27:00,s043,3
103o,09:33:00,09:33:00,s044,4
