trip_id,arrival_time,departure_time,stop_id,stop_sequence
177_out,05:40:00,05:40:00,lavezzola,1
177_out,05:42:00,05:42:00,frascata,2
177_out,05:44:00,05:44:00,giovecca,3
177_out,05:45:00,05:45:00,gardizza_unigra,4
177_out,05:51:00,05:51:00,conselice_battisti,5
177_out,05:55:00,05:55:00,san_patrizio,6
177_out,06:04:00,06:04:00,ml_stazione,7
177_out,06:05:00,06:05:00,ml_pl,8
177_out,06:08:00,06:08:00,santagata,9
177_out,06:15:00,06:15:00,lugo_garibaldi,10
177_out,06:18:00,06:18:00,lugo_fs,11
177_out,06:21:00,06:21:00,lugo_puntobus,12
177_out,06:30:00,06:30:00,cotignola,13
177_out,06:39:00,06:39:00,granarolo_fs,14
177_out,06:51:00,06:51:00,faenza_ivnov,15
177_out,06:52:00,06:52:00,faenza_fs,16
177_ret,07:00:00,07:00:00,faenza_fs,1
177_ret,07:02:00,07:02:00,faenza_ivnov,2
177_ret,07:14:00,07:14:00,granarolo_fs,3
177_ret,07:23:00,07:23:00,cotignola,4
177_ret,07:33:00,07:33:00,lugo_puntobus,5
177_ret,07:34:00,07:34:00,lugo_fs,6
177_ret,07:37:00,07:37:00,lugo_foroboario,7
177_ret,07:42:00,07:42:00,santagata,8
177_ret,07:46:00,07:46:00,ml_pl,9
177_ret,07:47:00,07:47:00,ml_stazione,10
177_ret,07:56:00,07:56:00,san_patrizio,11
177_ret,08:00:00,08:00:00,conselice_battisti,12
177_ret,08:05:00,08:05:00,gardizza_unigra,13
177_ret,08:07:00,08:07:00,giovecca,14
177_ret,08:09:00,08:09:00,frascata,15
177_ret,08:11:00,08:11:00,lavezzola,16
178_out,09:00:00,09:00:00,lavezzola,1
178_out,09:01:00,09:01:00,lavezzola_vstaz,2
178_out,09:03:00,09:03:00,frascata,3
178_out,09:04:00,09:04:00,passogatto,4
178_out,09:05:00,09:05:00,giovecca,5
178_out,09:06:00,09:06:00,gardizza_unigra,6
178_out,09:08:00,09:08:00,selice_sp59,7
178_out,09:13:00,09:13:00,conselice_battisti,8
178_out,09:18:00,09:18:00,san_patrizio,9
178_out,09:24:00,09:24:00,ponte_massa,10
178_out,09:26:00,09:26:00,fruges,11
178_out,09:29:00,09:29:00,ml_stazione,12
178_out,09:31:00,09:31:00,ml_zaganelli,13
178_out,09:35:00,09:35:00,santagata,14
178_out,09:39:00,09:39:00,lugo_cimitero,15
178_out,09:40:00,09:40:00,lugo_bardelmulino,16
178_out,09:42:00,09:42:00,lugo_garibaldi,17
178_out,09:45:00,09:45:00,lugo_ospedale,18
178_out,09:46:00,09:46:00,lugo_fs,19
178_out,09:48:00,09:48:00,lugo_puntobus,20
178_ret,10:00:00,10:00:00,lugo_puntobus,1
178_ret,10:01:00,10:01:00,lugo_fs,2
178_ret,10:03:00,10:03:00,lugo_ospedale,3
178_ret,10:05:00,10:05:00,lugo_foroboario,4
178_ret,10:08:00,10:08:00,lugo_bardelmulino,5
178_ret,10:10:00,10:10:00,lugo_cimitero,6
178_ret,10:13:00,10:13:00,santagata_arcobaleno,7
178_ret,10:14:00,10:14:00,santagata,8
178_ret,10:17:00,10:17:00,ml_zaganelli,9
178_ret,10:21:00,10:21:00,ml_stazione,10
178_ret,10:24:00,10:24:00,fruges,11
178_ret,10:25:00,10:25:00,ponte_massa,12
178_ret,10:31:00,10:31:00,san_patrizio,13
178_ret,10:35:00,10:35:00,conselice_battisti,14
178_ret,10:40:00,10:40:00,selice_sp59,15
178_ret,10:41:00,10:41:00,gardizza_unigra,16
178_ret,10:42:00,10:42:00,giovecca,17
178_ret,10:43:00,10:43:00,passogatto,18
178_ret,10:44:00,10:44:00,frascata,19
178_ret,10:45:00,10:45:00,lavezzola_vstaz,20
178_ret,10:46:00,10:46:00,lavezzola,21
59_loop,07:30:00,07:30:00,lugo_park_cimitero,1
59_loop,07:33:00,07:33:00,lugo_garibaldi,2
59_loop,07:36:00,07:36:00,lugo_ospedale,3
59_loop,07:39:00,07:39:00,lugo_park_stadio,4
59_loop,07:42:00,07:42:00,lugo_xiiigiugno,5
