trip_id,arrival_time,departure_time,stop_id,stop_sequence
528_out_100,06:00:00,06:00:00,RH020,1
528_out_100,06:01:00,06:01:00,RH005,2
528_out_100,06:02:00,06:02:00,RH004,3
528_out_100,06:03:00,06:03:00,RH003,4
528_out_100,06:05:00,06:05:00,RH002,5
528_out_100,06:07:00,06:07:00,RH001,6
528_out_100,06:13:00,06:13:00,PR002,7
528_out_100,06:15:00,06:15:00,PR001,8
528_out_100,06:17:00,06:17:00,PR010,9
528_out_100,06:26:00,06:28:00,MD001,10
528_out_100,06:29:00,06:29:00,ML006,11
528_out_100,06:30:00,06:30:00,ML008,12
528_out_100,06:30:00,06:30:00,ML010,13
528_out_100,06:31:00,06:31:00,ML012,14
528_out_100,06:31:00,06:31:00,ML014,15
528_out_100,06:32:00,06:32:00,ML036,16
528_out_100,06:33:00,06:33:00,ML038,17
528_out_100,06:36:00,06:36:00,ML040,18
528_in_101,06:56:00,06:56:00,ML039,1
528_in_101,06:57:00,06:57:00,ML037,2
528_in_101,06:58:00,06:58:00,ML035,3
528_in_101,06:59:00,06:59:00,ML033,4
528_in_101,07:00:00,07:00:00,ML031,5
528_in_101,07:01:00,07:01:00,ML029,6
528_in_101,07:02:00,07:02:00,ML027,7
528_in_101,07:04:00,07:10:00,MD002,8
528_in_101,07:12:00,07:12:00,PR017,9
528_in_101,07:14:00,07:14:00,PR041,10
528_in_101,07:19:00,07:19:00,PR019,11
528_in_101,07:24:00,07:24:00,RH027,12
528_in_101,07:27:00,07:27:00,RH022,13
528_in_101,07:30:00,07:30:00,RH023,14
528_in_101,07:32:00,07:32:00,RH024,15
528_in_101,07:34:00,07:34:00,RH025,16
528_in_101,07:36:00,07:36:00,RH020,17
542_pas_100,06:20:00,06:20:00,RH021,1
542_pas_100,06:21:00,06:21:00,PS001,2
542_pas_100,06:22:00,06:22:00,PS002,3
542_pas_100,06:23:00,06:23:00,PS003,4
542_pas_100,06:24:00,06:24:00,PS004,5
542_pas_100,06:25:00,06:25:00,TZ025,6
542_pas_100,06:26:00,06:26:00,TZ001,7
542_pas_100,06:28:00,06:28:00,TZ002,8
542_pas_100,06:29:00,06:29:00,MZ013,9
542_pas_100,06:30:00,06:30:00,MZ001,10
542_pas_100,06:31:00,06:31:00,MZ023,11
542_pas_100,06:33:00,06:33:00,MZ002,12
542_pas_100,06:36:00,06:36:00,RH294,13
542_pas_100,06:37:00,06:37:00,RH300,14
542_fie_101,06:45:00,06:45:00,RH300,1
542_fie_101,06:46:00,06:46:00,RH295,2
542_fie_101,06:49:00,06:49:00,MZ004,3
542_fie_101,06:51:00,06:51:00,MZ013,4
542_fie_101,06:52:00,06:52:00,MZ005,5
542_fie_101,06:53:00,06:53:00,MZ033,6
542_fie_101,06:54:00,06:54:00,TZ005,7
542_fie_101,06:56:00,06:56:00,TZ004,8
542_fie_101,06:57:00,06:57:00,TZ015,9
542_fie_101,07:00:00,07:00:00,PS024,10
542_fie_101,07:01:00,07:01:00,PS025,11
542_fie_101,07:02:00,07:02:00,PS023,12
542_fie_101,07:03:00,07:03:00,PS011,13
542_fie_101,07:06:00,07:06:00,RH119,14
542_fie_101,07:08:00,07:08:00,RH021,15
542c_bol_704,07:50:00,07:50:00,RH300,1
542c_bol_704,07:57:00,07:57:00,BT100,2
542c_bol_704,08:05:00,08:05:00,RH300,3
