trip_id,arrival_time,departure_time,stop_id,stop_sequence
5120_out,06:15:00,06:15:00,amalfi,1
5120_out,06:20:00,06:20:00,atrani,2
5120_out,06:30:00,06:30:00,minori,3
5120_out,06:35:00,06:35:00,maiori_centro,4
5120_out,06:55:00,06:55:00,maiori_erchie,5
5120_out,07:00:00,07:00:00,cetara,6
5120_out,07:15:00,07:15:00,vietri,7
5120_out,07:30:00,07:30:00,salerno_vinciprova,8
5120_in,05:55:00,05:55:00,salerno_vinciprova,1
5120_in,06:10:00,06:10:00,vietri,2
5120_in,06:25:00,06:25:00,cetara,3
5120_in,06:30:00,06:30:00,maiori_erchie,4
5120_in,06:50:00,06:50:00,maiori_centro,5
5120_in,06:55:00,06:55:00,minori,6
5120_in,07:05:00,07:05:00,atrani,7
5120_in,07:10:00,07:10:00,amalfi,8
5070_out,06:20:00,06:20:00,amalfi,1
5070_out,06:35:00,06:35:00,conca_smeraldo,2
5070_out,06:45:00,06:45:00,praiano,3
5070_out,07:00:00,07:00:00,positano_sponda,4
5070_out,07:10:00,07:10:00,positano_chiesanuova,5
5070_out,07:25:00,07:25:00,colli_spietro,6
5070_out,07:35:00,07:35:00,meta,7
5070_out,07:45:00,07:45:00,piano_sorrento,8
5070_out,07:48:00,07:48:00,sant_agnello,9
5070_out,08:00:00,08:00:00,sorrento,10
5070_in,06:30:00,06:30:00,sorrento,1
5070_in,06:32:00,06:32:00,sant_agnello,2
5070_in,06:35:00,06:35:00,piano_sorrento,3
5070_in,06:40:00,06:40:00,meta,4
5070_in,06:55:00,06:55:00,colli_spietro,5
5070_in,07:10:00,07:10:00,positano_chiesanuova,6
5070_in,07:20:00,07:20:00,positano_sponda,7
5070_in,07:35:00,07:35:00,praiano,8
5070_in,07:45:00,07:45:00,conca_smeraldo,9
5070_in,08:00:00,08:00:00,amalfi,10
5110_out,06:35:00,06:35:00,ravello,1
5110_out,06:30:00,06:30:00,scala,2
5110_out,06:55:00,06:55:00,atrani_castiglione,3
5110_out,07:00:00,07:00:00,amalfi,4
5110_in,07:05:00,07:05:00,amalfi,1
5110_in,07:10:00,07:10:00,atrani_castiglione,2
5110_in,07:25:00,07:25:00,pontone,3
5110_in,07:35:00,07:35:00,scala,4
5110_in,07:30:00,07:30:00,ravello,5
POG_out,06:00:00,06:00:00,pogerola,1
POG_out,06:20:00,06:20:00,amalfi,2
POG_in,06:00:00,06:00:00,amalfi,1
POG_in,06:20:00,06:20:00,pogerola,2
5001_out,05:45:00,05:45:00,amalfi,1
5001_out,05:50:00,05:50:00,atrani,2
5001_out,06:00:00,06:00:00,minori,3
5001_out,06:05:00,06:05:00,maiori_centro,4
5001_out,06:20:00,06:20:00,maiori_capodorso,5
5001_out,06:25:00,06:25:00,maiori_erchie,6
5001_out,06:30:00,06:30:00,cetara,7
5001_out,06:45:00,06:45:00,vietri,8
5001_out,06:55:00,06:55:00,cava_fs,9
5001_out,07:00:00,07:00:00,nocera_sup,10
5001_out,07:05:00,07:05:00,nocera_inf,11
5001_out,07:45:00,07:45:00,napoli_immacolatella,12
5001_in,09:00:00,09:00:00,napoli_immacolatella,1
5001_in,09:40:00,09:40:00,nocera_inf,2
5001_in,09:45:00,09:45:00,nocera_sup,3
5001_in,09:50:00,09:50:00,cava_fs,4
5001_in,10:00:00,10:00:00,vietri,5
5001_in,10:15:00,10:15:00,cetara,6
5001_in,10:20:00,10:20:00,maiori_erchie,7
5001_in,10:25:00,10:25:00,maiori_capodorso,8
5001_in,10:40:00,10:40:00,maiori_centro,9
5001_in,10:45:00,10:45:00,minori,10
5001_in,10:55:00,10:55:00,atrani,11
5001_in,11:00:00,11:00:00,amalfi,12
