trip_id,arrival_time,departure_time,stop_id,stop_sequence
R1_E1,07:00:00,07:00:00,VER,1
R1_E1,07:11:00,07:12:00,CAL,2
R1_E1,07:18:00,07:19:00,SBO,3
R1_E1,07:26:00,07:27:00,MTB,4
R1_E1,07:37:00,07:39:00,VIC,5
R1_E1,07:50:00,07:51:00,GRI,6
R1_E1,08:02:00,08:05:00,PAD,7
R1_E1,08:10:00,08:11:00,PBR,8
R1_E1,08:16:00,08:17:00,VGP,9
R1_E1,08:21:00,08:22:00,DOL,10
R1_E1,08:26:00,08:27:00,MIM,11
R1_E1,08:36:00,08:38:00,VEM,12
R1_E1,08:48:00,08:48:00,VSL,13
R1_W1,17:10:00,17:10:00,VSL,1
R1_W1,17:20:00,17:22:00,VEM,2
R1_W1,17:31:00,17:32:00,MIM,3
R1_W1,17:36:00,17:37:00,DOL,4
R1_W1,17:41:00,17:42:00,VGP,5
R1_W1,17:47:00,17:48:00,PBR,6
R1_W1,17:54:00,17:57:00,PAD,7
R1_W1,18:08:00,18:09:00,GRI,8
R1_W1,18:20:00,18:22:00,VIC,9
R1_W1,18:32:00,18:33:00,MTB,10
R1_W1,18:40:00,18:41:00,SBO,11
R1_W1,18:47:00,18:48:00,CAL,12
R1_W1,19:00:00,19:00:00,VER,13
R2_S1,09:15:00,09:15:00,PAD,1
R2_S1,09:27:00,09:28:00,TEA,2
R2_S1,09:38:00,09:40:00,MON,3
R2_S1,09:56:00,09:56:00,ROV,4
R2_N1,18:04:00,18:04:00,ROV,1
R2_N1,18:20:00,18:22:00,MON,2
R2_N1,18:33:00,18:34:00,TEA,3
R2_N1,18:46:00,18:46:00,PAD,4
