stop_id,stop_name,stop_lat,stop_lon
S_SALSO_STAZ,Salsomaggiore Stazione FS,44.81861,9.988
S_SALSO_SANTANT,Salsomaggiore Sant'Antonio,44.8156,9.9835
S_SALSO_CAMPORE,Salsomaggiore Campore,44.833,10.008
S_PONTEGHIARA,Ponte Ghiara,44.848,10.028
S_FIDENZA_VAIO,Fidenza Ospedale Vaio,44.8621,10.045
S_FIDENZA_FOROBOARIO,Fidenza Foro Boario,44.8676,10.0632
S_FIDENZA_SANLAZZARO,Fidenza qre San Lazzaro,44.865,10.075
S_PAROLA,Parola via Emilia,44.856,10.095
S_SANGUINARO,Sanguinaro Concordia,44.847,10.13
S_CASTELGUELFO,Castelguelfo Stazione,44.838,10.16
S_PONTETARO,Ponte Taro via Emilia,44.826,10.205
S_FRAORE,Fraore Corte Macchione,44.812,10.245
S_SANPANCRAZIO,San Pancrazio via Emilia,44.805,10.27
S_PR_CROCETTA,Parma Crocetta via Emilia O.,44.801,10.29
S_PR_OSPEDALE,Parma Ospedale via Gramsci,44.8055,10.305
S_PR_BIXIO,Parma barriera Bixio v.le Caprera,44.803,10.317
S_PR_MARIALUIGIA,Parma v.le Maria Luigia,44.8,10.322
S_PR_GHIAIA,Parma piazza Ghiaia,44.7995,10.324
S_PR_PILOTTA,Parma v.le Toschi Pilotta Autostazione,44.8028,10.3255
S_PR_STAZFS,Parma Stazione FS (terminal extraurbano),44.8118,10.3286
S_LANGH_CORRIDONI,Langhirano piazza Corridoni,44.6167,10.2667
S_LANGH_ROMA,Langhirano via Roma,44.62,10.263
S_CASCINAPIANO,Cascinapiano,44.635,10.28
S_TORRECHIARA,Torrechiara piazza Leoni,44.646,10.284
S_PILASTRO,Pilastro area artigianale,44.665,10.3
S_CORCAGNANO,Corcagnano p.le Municipio,44.72,10.32
S_FONTANINI,Fontanini posta,44.755,10.322
S_PR_FARINI,Parma barriera Farini,44.795,10.328
S_PR_TOSCANINI,Parma v.le Toscanini,44.8015,10.3225
S_MULAZZANO,Mulazzano Ponte,44.635,10.24
S_STADIRANO,Stadirano Castello,44.645,10.235
S_LESIGNANO,Lesignano Bagni municipio,44.6667,10.2833
S_SMARIAPIANO,Santa Maria del Piano,44.69,10.29
S_MAMIANO,Mamiano,44.705,10.295
S_BASILICANOVA,Basilicanova piazza Ferrari,44.735,10.35
S_MARANO,Marano Villanova,44.755,10.34
S_PORPORANO,Porporano str Argini,44.775,10.335
S_PR_BIZZOZERO,Parma v.le Bizzozero,44.797,10.32
S_PR_BIXIO_VILLETTA,Parma barriera Bixio Villetta,44.802,10.315
S_COLTARO,Coltaro via Roma posta,44.98,10.32
S_SANGUIGNA,Sanguigna,44.955,10.35
S_COLORNO_OSP,Colorno via Po ospedale,44.9289,10.3767
S_TORRILE_CHIESA,Torrile chiesa,44.917,10.317
S_RIVAROLO,Rivarolo strada Golese,44.89,10.31
S_VICOMERO,Vicomero La Rocca,44.86,10.3
S_BAGANZOLA,Baganzola Posta,44.83,10.305
S_CORNOCCHIO,Cornocchio San Donnino,44.815,10.305
S_PR_PIACENZA,Parma v.le Piacenza Autostazione,44.808,10.318
S_BORE,Bore centro,44.66,9.918
S_PELLEGRINO,Pellegrino Parmense,44.7167,9.9333
S_MONTAURO,Montauro,44.79,9.97
S_SALSO_PATRIOTI,Salsomaggiore via Patrioti,44.813,9.983
