route_id,service_id,trip_id,trip_headsign
1,feriali,1_wd_0_420,Stazione FS
1,feriali,1_wd_0_600,Stazione FS
1,feriali,1_wd_0_780,Stazione FS
1,feriali,1_wd_0_960,Stazione FS
1,feriali,1_wd_0_1140,Stazione FS
1,feriali,1_wd_0_1200,Stazione FS
1,feriali,1_wd_1_420,Parma Mia
1,feriali,1_wd_1_600,Parma Mia
1,feriali,1_wd_1_780,Parma Mia
1,feriali,1_wd_1_960,Parma Mia
1,feriali,1_wd_1_1140,Parma Mia
1,feriali,1_wd_1_1200,Parma Mia
1,festivi,1_hol_0_420,Stazione FS
1,festivi,1_hol_0_600,Stazione FS
1,festivi,1_hol_0_780,Stazione FS
1,festivi,1_hol_0_960,Stazione FS
1,festivi,1_hol_0_1140,Stazione FS
1,festivi,1_hol_0_1200,Stazione FS
1,festivi,1_hol_1_420,Parma Mia
1,festivi,1_hol_1_600,Parma Mia
1,festivi,1_hol_1_780,Parma Mia
1,festivi,1_hol_1_960,Parma Mia
1,festivi,1_hol_1_1140,Parma Mia
1,festivi,1_hol_1_1200,Parma Mia
3,feriali,3_wd_0_420,San Lazzaro
3,feriali,3_wd_0_660,San Lazzaro
3,feriali,3_wd_0_900,San Lazzaro
3,feriali,3_wd_0_1140,San Lazzaro
3,feriali,3_wd_1_420,Crocetta
3,feriali,3_wd_1_660,Crocetta
3,feriali,3_wd_1_900,Crocetta
3,feriali,3_wd_1_1140,Crocetta
3,festivi,3_hol_0_420,San Lazzaro
3,festivi,3_hol_0_660,San Lazzaro
3,festivi,3_hol_0_900,San Lazzaro
3,festivi,3_hol_0_1140,San Lazzaro
3,festivi,3_hol_1_420,Crocetta
3,festivi,3_hol_1_660,Crocetta
3,festivi,3_hol_1_900,Crocetta
3,festivi,3_hol_1_1140,Crocetta
