trip_id,arrival_time,departure_time,stop_id,stop_sequence
E001_0_1,07:50:00,07:50:00,fontivegge,1
E001_0_1,07:55:00,07:55:00,busterm_pg,2
E001_0_1,07:58:00,07:58:00,monteluce,3
E001_0_1,08:00:00,08:00:00,c_breccia,4
E001_0_1,08:07:00,08:07:00,p_felcino,5
E001_0_1,08:11:00,08:11:00,bosco,6
E001_0_1,08:17:00,08:17:00,colombella,7
E001_0_1,08:19:00,08:19:00,farneto,8
E001_0_1,08:22:00,08:22:00,piccione,9
E001_0_1,08:25:00,08:25:00,castellaccio,10
E001_0_1,08:30:00,08:30:00,casacce,11
E001_0_1,08:32:00,08:32:00,belvedere_gubbio,12
E001_0_1,08:37:00,08:37:00,scritto,13
E001_0_1,08:42:00,08:42:00,mengara,14
E001_0_1,08:52:00,08:52:00,pte_dassi,15
E001_0_1,08:53:00,08:53:00,cipolleto,16
E001_0_1,09:01:00,09:01:00,v_teatro_romano,17
E001_0_1,09:02:00,09:02:00,p40martiri_gubbio,18
E001_1_1,17:30:00,17:30:00,p40martiri_gubbio,1
E001_1_1,17:40:00,17:40:00,v_teatro_romano,2
E001_1_1,17:48:00,17:48:00,cipolleto,3
E001_1_1,17:49:00,17:49:00,pte_dassi,4
E001_1_1,17:59:00,17:59:00,mengara,5
E001_1_1,18:04:00,18:04:00,scritto,6
E001_1_1,18:09:00,18:09:00,belvedere_gubbio,7
E001_1_1,18:11:00,18:11:00,casacce,8
E001_1_1,18:32:00,18:32:00,piccione,9
E001_1_1,18:29:00,18:29:00,farneto,10
E001_1_1,18:34:00,18:34:00,colombella,11
E001_1_1,18:38:00,18:38:00,bosco,12
E001_1_1,18:42:00,18:42:00,p_felcino,13
E001_1_1,18:48:00,18:48:00,c_breccia,14
E001_1_1,18:52:00,18:52:00,monteluce,15
E001_1_1,18:58:00,18:58:00,busterm_pg,16
E001_1_1,19:02:00,19:02:00,fontivegge,17
E002_0_1,06:30:00,06:30:00,busterm_pg,1
E002_0_1,06:32:00,06:32:00,p_pesa,2
E002_0_1,06:34:00,06:34:00,monteluce,3
E002_0_1,06:40:00,06:40:00,c_breccia,4
E002_0_1,06:45:00,06:45:00,pretola,5
E002_0_1,06:49:00,06:49:00,p_valleceppi,6
E002_0_1,06:54:00,06:54:00,bv_segidio,7
E002_0_1,06:57:00,06:57:00,s_egidio,8
E002_0_1,07:00:00,07:00:00,bv_civitella_arna,9
E002_0_1,07:03:00,07:03:00,bv_ripa,10
E002_0_1,07:08:00,07:08:00,pianello,11
E002_0_1,07:13:00,07:13:00,valfabbrica,12
E002_0_1,07:19:00,07:19:00,barcaccia,13
E002_0_1,07:24:00,07:24:00,casacastalda,14
E002_0_1,07:31:00,07:31:00,schifanoia,15
E002_0_1,07:34:00,07:34:00,badia_rasina,16
E002_0_1,07:40:00,07:40:00,anguillara,17
E002_0_1,07:43:00,07:43:00,cerqueto_gtadino,18
E002_0_1,07:46:00,07:46:00,v_stazione_gtadino,19
E002_0_1,07:48:00,07:48:00,p_sbarretti_gtadino,20
E002_1_1,18:24:00,18:24:00,p_sbarretti_gtadino,1
E002_1_1,18:26:00,18:26:00,v_stazione_gtadino,2
E002_1_1,18:29:00,18:29:00,cerqueto_gtadino,3
E002_1_1,18:32:00,18:32:00,anguillara,4
E002_1_1,18:38:00,18:38:00,badia_rasina,5
E002_1_1,18:41:00,18:41:00,schifanoia,6
E002_1_1,18:48:00,18:48:00,casacastalda,7
E002_1_1,18:53:00,18:53:00,barcaccia,8
E002_1_1,18:59:00,18:59:00,valfabbrica,9
E002_1_1,19:04:00,19:04:00,pianello,10
E002_1_1,19:09:00,19:09:00,bv_ripa,11
E002_1_1,19:12:00,19:12:00,bv_civitella_arna,12
E002_1_1,19:15:00,19:15:00,s_egidio,13
E002_1_1,19:18:00,19:18:00,bv_segidio,14
E002_1_1,19:23:00,19:23:00,p_valleceppi,15
E002_1_1,19:27:00,19:27:00,pretola,16
E002_1_1,19:31:00,19:31:00,c_breccia,17
E002_1_1,19:35:00,19:35:00,monteluce,18
E002_1_1,19:37:00,19:37:00,p_pesa,19
E002_1_1,19:40:00,19:40:00,busterm_pg,20
E003_0_1,13:00:00,13:00:00,busterm_pg,1
E003_0_1,13:03:00,13:03:00,v_xx_settembre,2
E003_0_1,13:07:00,13:07:00,fontivegge,3
E003_0_1,13:11:00,13:11:00,v_pallotta,4
E003_0_1,13:15:00,13:15:00,str_tuderte,5
E003_0_1,13:19:00,13:19:00,montebello,6
E003_0_1,13:21:00,13:21:00,bv_s_vetturino,7
E003_0_1,13:24:00,13:24:00,s_fortunato,8
E003_0_1,13:29:00,13:29:00,s_m_in_colle,9
E003_0_1,13:33:00,13:33:00,s_enea,10
E003_0_1,13:46:00,13:46:00,s_valentino,11
E003_0_1,13:54:00,13:54:00,cerqueto_marsciano,12
E003_0_1,14:02:00,14:02:00,bv_collepepe,13
E003_0_1,14:04:00,14:04:00,pc_marx_marsciano,14
E003_1_1,06:35:00,06:35:00,pc_marx_marsciano,1
E003_1_1,06:37:00,06:37:00,bv_collepepe,2
E003_1_1,06:45:00,06:45:00,cerqueto_marsciano,3
E003_1_1,06:53:00,06:53:00,s_valentino,4
E003_1_1,06:57:00,06:57:00,s_enea,5
E003_1_1,07:00:00,07:00:00,s_m_in_colle,6
E003_1_1,07:05:00,07:05:00,s_fortunato,7
E003_1_1,07:08:00,07:08:00,bv_s_vetturino,8
E003_1_1,07:10:00,07:10:00,montebello,9
E003_1_1,07:14:00,07:14:00,str_tuderte,10
E003_1_1,07:18:00,07:18:00,v_pallotta,11
E003_1_1,07:22:00,07:22:00,fontivegge,12
E003_1_1,07:26:00,07:26:00,v_xx_settembre,13
E003_1_1,07:30:00,07:30:00,busterm_pg,14
E006_0_1,13:45:00,13:45:00,p_matteotti_assisi,1
E006_0_1,13:50:00,13:50:00,s_francesco_assisi,2
E006_0_1,13:51:00,13:51:00,vle_g_savoia,3
E006_0_1,13:57:00,13:57:00,assisi_stazione,4
E006_0_1,14:02:00,14:02:00,vl_angeles_basilica,5
E006_0_1,14:09:00,14:09:00,bastia_umbra,6
E006_0_1,14:24:00,14:24:00,bettona,7
E006_0_1,14:35:00,14:35:00,signoria,8
E006_0_1,14:39:00,14:39:00,torgiano,9
E006_0_1,15:03:00,15:03:00,piscille,10
E006_0_1,15:07:00,15:07:00,v_roma_pg,11
E006_0_1,15:09:00,15:09:00,busterm_pg,12
E006_1_1,06:48:00,06:48:00,busterm_pg,1
E006_1_1,06:50:00,06:50:00,v_roma_pg,2
E006_1_1,06:54:00,06:54:00,piscille,3
E006_1_1,07:06:00,07:06:00,torgiano,4
E006_1_1,07:12:00,07:12:00,signoria,5
E006_1_1,07:20:00,07:20:00,bettona,6
E006_1_1,07:35:00,07:35:00,bastia_umbra,7
E006_1_1,07:45:00,07:45:00,vl_angeles_basilica,8
E006_1_1,07:50:00,07:50:00,assisi_stazione,9
E006_1_1,07:55:00,07:55:00,vle_g_savoia,10
E006_1_1,07:57:00,07:57:00,s_francesco_assisi,11
E006_1_1,08:02:00,08:02:00,p_matteotti_assisi,12
E007_0_1,06:45:00,06:45:00,busterm_pg,1
E007_0_1,06:46:00,06:46:00,v_roma_pg,2
E007_0_1,06:53:00,06:53:00,piscille,3
E007_0_1,06:56:00,06:56:00,v_adriatica,4
E007_0_1,06:58:00,06:58:00,v_manzoni_psg,5
E007_0_1,07:06:00,07:06:00,collestrada,6
E007_0_1,07:09:00,07:09:00,ospedalicchio,7
E007_0_1,07:15:00,07:15:00,bastiola,8
E007_0_1,07:20:00,07:20:00,petrignano,9
E007_0_1,07:25:00,07:25:00,palazzo,10
E007_0_1,07:29:00,07:29:00,tordibetto,11
E007_0_1,07:34:00,07:34:00,vle_g_savoia,12
E007_0_1,07:35:00,07:35:00,s_francesco_assisi,13
E007_0_1,07:40:00,07:40:00,p_matteotti_assisi,14
E007_1_1,10:27:00,10:27:00,p_matteotti_assisi,1
E007_1_1,10:22:00,10:22:00,s_francesco_assisi,2
E007_1_1,10:31:00,10:31:00,vle_g_savoia,3
E007_1_1,10:35:00,10:35:00,assisi_stazione,4
E007_1_1,10:40:00,10:40:00,vl_angeles_basilica,5
E007_1_1,10:45:00,10:45:00,bastiola,6
E007_1_1,10:54:00,10:54:00,ospedalicchio,7
E007_1_1,10:57:00,10:57:00,collestrada,8
E007_1_1,11:05:00,11:05:00,v_manzoni_psg,9
E007_1_1,11:08:00,11:08:00,v_adriatica,10
E007_1_1,11:11:00,11:11:00,piscille,11
E007_1_1,11:18:00,11:18:00,v_roma_pg,12
E007_1_1,11:20:00,11:20:00,busterm_pg,13
E012_0_1,06:20:00,06:20:00,busterm_pg,1
E012_0_1,06:21:00,06:21:00,v_roma_pg,2
E012_0_1,06:28:00,06:28:00,piscille,3
E012_0_1,06:33:00,06:33:00,v_adriatica,4
E012_0_1,06:41:00,06:41:00,bv_torgiano,5
E012_0_1,06:47:00,06:47:00,p_nuovo,6
E012_0_1,06:52:00,06:52:00,deruta,7
E012_0_1,06:59:00,06:59:00,casalina,8
E012_0_1,07:01:00,07:01:00,ripabianca,9
E012_0_1,07:05:00,07:05:00,collepepe_b,10
E012_0_1,07:13:00,07:13:00,bv_pantalla,11
E012_0_1,07:15:00,07:15:00,pantalla,12
E012_0_1,07:26:00,07:26:00,s_m_maddalena,13
E012_0_1,07:28:00,07:28:00,pian_di_porto,14
E012_0_1,07:29:00,07:29:00,staz_todi,15
E012_0_1,07:41:00,07:41:00,p_orvietana_todi,16
E012_1_1,07:45:00,07:45:00,p_orvietana_todi,1
E012_1_1,07:55:00,07:55:00,staz_todi,2
E012_1_1,07:57:00,07:57:00,pian_di_porto,3
E012_1_1,08:00:00,08:00:00,s_m_maddalena,4
E012_1_1,08:10:00,08:10:00,pantalla,5
E012_1_1,08:12:00,08:12:00,bv_pantalla,6
E012_1_1,08:20:00,08:20:00,collepepe_b,7
E012_1_1,08:24:00,08:24:00,ripabianca,8
E012_1_1,08:26:00,08:26:00,casalina,9
E012_1_1,08:33:00,08:33:00,deruta,10
E012_1_1,08:38:00,08:38:00,p_nuovo,11
E012_1_1,08:44:00,08:44:00,bv_torgiano,12
E012_1_1,08:52:00,08:52:00,v_adriatica,13
E012_1_1,08:57:00,08:57:00,piscille,14
E012_1_1,09:04:00,09:04:00,v_roma_pg,15
E012_1_1,09:05:00,09:05:00,busterm_pg,16
E017_0_1,07:35:00,07:35:00,busterm_pg,1
E017_0_1,07:38:00,07:38:00,v_xx_settembre,2
E017_0_1,07:42:00,07:42:00,fontivegge,3
E017_0_1,07:44:00,07:44:00,v_cortonese,4
E017_0_1,07:47:00,07:47:00,v_firenze_cavallo,5
E017_0_1,07:51:00,07:51:00,ellera,6
E017_0_1,07:56:00,07:56:00,terrioli,7
E017_0_1,08:00:00,08:00:00,taverne,8
E017_0_1,08:06:00,08:06:00,villa,9
E017_0_1,08:09:00,08:09:00,soccorso,10
E017_0_1,08:12:00,08:12:00,bacanella,11
E017_0_1,08:15:00,08:15:00,bv_caserino,12
E017_0_1,08:17:00,08:17:00,magione,13
E017_0_1,08:28:00,08:28:00,s_vito,14
E017_0_1,08:31:00,08:31:00,ponte_tocci,15
