trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_WD_0,07:00:00,07:00:00,MM_MAS,1
T_WD_0,07:02:00,07:02:00,MM_COR,2
T_WD_0,07:04:00,07:04:00,MM_MAD,3
T_WD_0,07:06:00,07:06:00,MM_FON,4
T_WD_0,07:08:00,07:08:00,MM_CAB,5
T_WD_0,07:10:00,07:10:00,MM_CUP,6
T_WD_0,07:12:00,07:12:00,MM_PIN,7
T_WD_1,07:00:00,07:00:00,MM_PIN,1
T_WD_1,07:02:00,07:02:00,MM_CUP,2
T_WD_1,07:04:00,07:04:00,MM_CAB,3
T_WD_1,07:06:00,07:06:00,MM_FON,4
T_WD_1,07:08:00,07:08:00,MM_MAD,5
T_WD_1,07:10:00,07:10:00,MM_COR,6
T_WD_1,07:12:00,07:12:00,MM_MAS,7
T_SA_0,07:00:00,07:00:00,MM_MAS,1
T_SA_0,07:02:00,07:02:00,MM_COR,2
T_SA_0,07:04:00,07:04:00,MM_MAD,3
T_SA_0,07:06:00,07:06:00,MM_FON,4
T_SA_0,07:08:00,07:08:00,MM_CAB,5
T_SA_0,07:10:00,07:10:00,MM_CUP,6
T_SA_0,07:12:00,07:12:00,MM_PIN,7
T_SA_1,07:00:00,07:00:00,MM_PIN,1
T_SA_1,07:02:00,07:02:00,MM_CUP,2
T_SA_1,07:04:00,07:04:00,MM_CAB,3
T_SA_1,07:06:00,07:06:00,MM_FON,4
T_SA_1,07:08:00,07:08:00,MM_MAD,5
T_SA_1,07:10:00,07:10:00,MM_COR,6
T_SA_1,07:12:00,07:12:00,MM_MAS,7
T_SU_0,09:00:00,09:00:00,MM_MAS,1
T_SU_0,09:02:00,09:02:00,MM_COR,2
T_SU_0,09:04:00,09:04:00,MM_MAD,3
T_SU_0,09:06:00,09:06:00,MM_FON,4
T_SU_0,09:08:00,09:08:00,MM_CAB,5
T_SU_0,09:10:00,09:10:00,MM_CUP,6
T_SU_0,09:12:00,09:12:00,MM_PIN,7
T_SU_1,09:00:00,09:00:00,MM_PIN,1
T_SU_1,09:02:00,09:02:00,MM_CUP,2
T_SU_1,09:04:00,09:04:00,MM_CAB,3
T_SU_1,09:06:00,09:06:00,MM_FON,4
T_SU_1,09:08:00,09:08:00,MM_MAD,5
T_SU_1,09:10:00,09:10:00,MM_COR,6
T_SU_1,09:12:00,09:12:00,MM_MAS,7
