route_id,service_id,trip_id,trip_headsign
mm_line,svc_weekday,t_svc_weekday_0_0,Pincetto
mm_line,svc_weekday,t_svc_weekday_0_85,Pincetto
mm_line,svc_weekday,t_svc_weekday_0_169,Pincetto
mm_line,svc_weekday,t_svc_weekday_1_0,Pian di Massiano
mm_line,svc_weekday,t_svc_weekday_1_85,Pian di Massiano
mm_line,svc_weekday,t_svc_weekday_1_169,Pian di Massiano
mm_line,svc_saturday,t_svc_saturday_0_0,Pincetto
mm_line,svc_saturday,t_svc_saturday_0_109,Pincetto
mm_line,svc_saturday,t_svc_saturday_0_217,Pincetto
mm_line,svc_saturday,t_svc_saturday_1_0,Pian di Massiano
mm_line,svc_saturday,t_svc_saturday_1_109,Pian di Massiano
mm_line,svc_saturday,t_svc_saturday_1_217,Pian di Massiano
mm_line,svc_sunday,t_svc_sunday_0_0,Pincetto
mm_line,svc_sunday,t_svc_sunday_0_71,Pincetto
mm_line,svc_sunday,t_svc_sunday_0_141,Pincetto
mm_line,svc_sunday,t_svc_sunday_1_0,Pian di Massiano
mm_line,svc_sunday,t_svc_sunday_1_71,Pian di Massiano
mm_line,svc_sunday,t_svc_sunday_1_141,Pian di Massiano
