trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_4024_A_0505,05:05:00,05:05:00,S_ORTONA,1
T_4024_A_0505,05:09:00,05:09:00,S_ORT_LIBERTA,2
T_4024_A_0505,05:13:00,05:13:00,S_ORT_FONTEGRANDE,3
T_4024_A_0505,05:20:00,05:20:00,S_ORT_LIDORICCIO,4
T_4024_A_0505,05:25:00,05:25:00,S_ORT_TOLLOSTAZ,5
T_4024_A_0505,05:28:00,05:28:00,S_FRA_FORO,6
T_4024_A_0505,05:34:00,05:34:00,S_FRA_BARVITTORIA,7
T_4024_A_0505,05:35:00,05:35:00,S_FRA_SANTALIBERATA,8
T_4024_A_0505,05:37:00,05:37:00,S_FRANCAVILLA,9
T_4024_A_0505,05:51:00,05:51:00,S_PE_MARCONI_INAIL,10
T_4024_A_0505,05:53:00,05:53:00,S_PE_MARCONI103,11
T_4024_A_0505,05:54:00,05:54:00,S_PE_MARCONI43,12
T_4024_A_0505,05:55:00,05:55:00,S_PE_DUCADAOSTA_N,13
T_4024_A_0505,05:57:00,05:57:00,S_PE_VEMANUELE122,14
T_4024_A_0505,05:58:00,05:58:00,S_PE_VEMANUELE214,15
T_4024_A_0505,06:00:00,06:00:00,S_PE_TERMINAL,16
T_4024_A_1100,11:00:00,11:00:00,S_ORTONA,1
T_4024_A_1100,11:04:00,11:04:00,S_ORT_LIBERTA,2
T_4024_A_1100,11:09:00,11:09:00,S_ORT_FONTEGRANDE,3
T_4024_A_1100,11:14:00,11:14:00,S_ORT_LIDORICCIO,4
T_4024_A_1100,11:19:00,11:19:00,S_ORT_TOLLOSTAZ,5
T_4024_A_1100,11:24:00,11:24:00,S_FRA_FORO,6
T_4024_A_1100,11:30:00,11:30:00,S_FRA_BARVITTORIA,7
T_4024_A_1100,11:31:00,11:31:00,S_FRA_SANTALIBERATA,8
T_4024_A_1100,11:33:00,11:33:00,S_FRANCAVILLA,9
T_4024_A_1100,11:46:00,11:46:00,S_PE_MARCONI_INAIL,10
T_4024_A_1100,11:49:00,11:49:00,S_PE_MARCONI103,11
T_4024_A_1100,11:50:00,11:50:00,S_PE_MARCONI43,12
T_4024_A_1100,11:51:00,11:51:00,S_PE_DUCADAOSTA_N,13
T_4024_A_1100,11:53:00,11:53:00,S_PE_VEMANUELE122,14
T_4024_A_1100,11:53:00,11:53:00,S_PE_VEMANUELE214,15
T_4024_A_1100,11:55:00,11:55:00,S_PE_TERMINAL,16
T_4024_R_0600,06:00:00,06:00:00,S_PE_TERMINAL,1
T_4024_R_0600,06:03:00,06:03:00,S_PE_VEMANUELE121_S,2
T_4024_R_0600,06:04:00,06:04:00,S_PE_DUCADAOSTA_S,3
T_4024_R_0600,06:05:00,06:05:00,S_PE_MARCONI62_S,4
T_4024_R_0600,06:06:00,06:06:00,S_PE_MARCONI132_S,5
T_4024_R_0600,06:09:00,06:09:00,S_PE_MARCONI_AGIP_S,6
T_4024_R_0600,06:24:00,06:24:00,S_FRANCAVILLA,7
T_4024_R_0600,06:26:00,06:26:00,S_FRA_SANTALIBERATA,8
T_4024_R_0600,06:27:00,06:27:00,S_FRA_BARVITTORIA,9
T_4024_R_0600,06:32:00,06:32:00,S_FRA_FORO,10
T_4024_R_0600,06:36:00,06:36:00,S_ORT_TOLLOSTAZ,11
T_4024_R_0600,06:40:00,06:40:00,S_ORT_LIDORICCIO,12
T_4024_R_0600,06:51:00,06:51:00,S_ORT_LIBERTA,13
T_4024_R_0600,06:55:00,06:55:00,S_ORTONA,14
T_4024_R_1300,13:05:00,13:05:00,S_PE_TERMINAL,1
T_4024_R_1300,13:07:00,13:07:00,S_PE_VEMANUELE121_S,2
T_4024_R_1300,13:09:00,13:09:00,S_PE_DUCADAOSTA_S,3
T_4024_R_1300,13:10:00,13:10:00,S_PE_MARCONI62_S,4
T_4024_R_1300,13:11:00,13:11:00,S_PE_MARCONI132_S,5
T_4024_R_1300,13:14:00,13:14:00,S_PE_MARCONI_AGIP_S,6
T_4024_R_1300,13:29:00,13:29:00,S_FRANCAVILLA,7
T_4024_R_1300,13:31:00,13:31:00,S_FRA_SANTALIBERATA,8
T_4024_R_1300,13:32:00,13:32:00,S_FRA_BARVITTORIA,9
T_4024_R_1300,13:37:00,13:37:00,S_FRA_FORO,10
T_4024_R_1300,13:41:00,13:41:00,S_ORT_TOLLOSTAZ,11
T_4024_R_1300,13:45:00,13:45:00,S_ORT_LIDORICCIO,12
T_4024_R_1300,14:00:00,14:00:00,S_ORTONA,13
T_PENNE_0635,06:35:00,06:35:00,S_PN_TERMINAL,1
T_PENNE_0635,06:38:00,06:38:00,S_PN_VEMANUELE412,2
T_PENNE_0635,06:41:00,06:41:00,S_PN_CONSERVATORIO,3
T_PENNE_0635,06:44:00,06:44:00,S_PN_BOVIO160,4
T_PENNE_0635,06:48:00,06:48:00,S_PN_SABUCCHI,5
T_PENNE_0635,06:53:00,06:53:00,S_PN_DELFINO,6
T_PENNE_0635,06:58:00,06:58:00,S_PN_SVINCOLO,7
T_PENNE_0635,07:20:00,07:20:00,S_PN_CAPARRONE,8
T_PENNE_0635,07:28:00,07:28:00,S_PN_COLLECORVINO,9
T_PENNE_0635,07:50:00,07:50:00,S_PN_PENNE,10
