stop_id,stop_name,stop_lat,stop_lon
ferry_marina,Traghetto Marina di Ravenna,44.485172,12.278814
ferry_portocorsini,Traghetto Porto Corsini,44.493764,12.276911
l1_borgonuovo,Borgo Nuovo v. Larderello,44.393121,12.216221
l1_vicoli,v. Vicoli-Badiali,44.43,12.175
l1_cinemacity,Cinema City,44.4165,12.178
l1_baldini,v. Santucci Q. Nullo Baldini,44.423,12.185
l1_vacchi,v. Missiroli-p.za Vacchi,44.4155,12.197
l1_ospedale,Ospedale v. Missiroli,44.41078,12.188678
l1_caduti,p.za Caduti,44.415345,12.199799
l1_ravennafs,Ravenna FS-RadioTaxi,44.419167,12.20801
l1_trieste,v. Trieste Farmacia,44.435262,12.244542
l1_gulli,v. Gulli (fr. Pala De Andre),44.418088,12.229701
l1_ostello,v. Bellucci Ostello,44.4165,12.227
l1_anticamilizia,v. Antica Milizia,44.409,12.244
l1_poggi,v. dei Poggi PODIUM,44.407,12.247
l1_stradone,v. Stradone Ferrovia,44.406,12.249
l1_portofuori,Porto Fuori-v. Macrelli,44.405071,12.250191
l70_fornace,Fornace Zarattini,44.416001,12.137502
l70_ravennafs,Ravenna FS,44.419167,12.20801
l70_puntamarina,Punta Marina Terme,44.438736,12.290378
l70_marina,Marina di Ravenna,44.485172,12.278814
l90_ravennafs,Ravenna FS,44.419167,12.20801
l90_portocorsini,Porto Corsini,44.493764,12.276911
l90_marinaromea,Marina Romea,44.503,12.268
l90_casalborsetti,Casal Borsetti,44.554,12.283
l51_0,Faenza Piazza Bologna,44.282573,11.89538
l51_1,Faenza L51 stop 2,44.283377,11.896569
l51_2,Faenza L51 stop 3,44.283644,11.897812
l51_3,Faenza L51 stop 4,44.28236,11.899469
l51_4,Faenza L51 stop 5,44.281674,11.902214
l51_5,Faenza L51 stop 6,44.280206,11.904261
l51_6,Faenza L51 stop 7,44.279983,11.901641
l51_7,Faenza L51 stop 8,44.280997,11.899695
l51_8,Faenza L51 stop 9,44.281111,11.895101
l51_9,Faenza L51 stop 10,44.28261,11.8914
l51_10,Faenza L51 stop 11,44.283337,11.88965
l51_11,Faenza L51 stop 12,44.284418,11.886883
l51_12,Faenza L51 stop 13,44.285445,11.884209
l51_13,Faenza L51 stop 14,44.291764,11.88715
l51_14,Faenza L51 stop 15,44.292811,11.882715
l51_15,Faenza L51 stop 16,44.292283,11.880721
l51_16,Faenza L51 stop 17,44.293122,11.876844
l51_17,Faenza via Bertoni,44.284475,11.862656
l52_0,Faenza FS,44.292789,11.882789
l52_1,Faenza L52 stop 2,44.290755,11.882241
l52_2,Faenza L52 stop 3,44.297701,11.891963
l52_3,Faenza L52 stop 4,44.299637,11.894498
l52_4,Faenza L52 stop 5,44.301979,11.894146
l52_5,Faenza L52 stop 6,44.305232,11.894436
l52_6,Faenza L52 stop 7,44.309271,11.897051
l52_7,Faenza L52 stop 8,44.314659,11.900537
l52_8,Faenza L52 stop 9,44.327329,11.902212
l52_9,Faenza L52 stop 10,44.331304,11.912786
l52_10,Faenza L52 stop 11,44.335943,11.916315
l52_11,Granarolo FS,44.35748,11.937159
