route_id,route_short_name,route_long_name,route_type
L01,1,Cavriago - Foscato - Canali - Albinea - Botteghe,3
L01P,1+,Scandiano - Borzano - Bellarosa - Albinea - Puianello,3
L02,2,Rubiera - Reggio Emilia - S. Ilario,3
L03,3,Via Maroncelli - Istituti Penitenziari,3
L04,4,Coviolo - Via Curie,3
L04P,4+,Coviolo - Rubbianino,3
L05,5,Mancasale Fiere - Stazione AV - Rivalta Peep,3
L05P,5+,Rivalta Peep - Boschi - Puianello - Montecavolo,3
L06,6,Tribunale - Piazza Gioberti - Rivalta Via Oddone,3
L09,9,Stazione Mediopadana - Fogliano,3
L10,10,Via Tenni - Portella delle Ginestre - Deposito SETA,3
L11,11,Via Mascagni - Gavassa,3
L12,12,Roncocesi - Caserma Zucchi - Pratofontana,3
L13,13,Sesso - Caserma Zucchi - Polo Makallé,3
LE,E,P.le Funakoshi - Parcheggio Polveriera - Parcheggio Volo,3
LG,G,Parcheggio Foro Boario - Parcheggio Le Querce,3
LH,H,Ospedale - Parcheggio Stadio,3
