route_id,service_id,trip_id,trip_headsign
L01,WKD,L01_D0,Botteghe (Albinea)
L01,WKD,L01_D1,Cavriago
L01P,WKD,L01P_D0,Puianello
L01P,WKD,L01P_D1,Scandiano
L02,WKD,L02_D0,S. Ilario d'Enza
L02,WKD,L02_D1,Rubiera
L03,WKD,L03_D0,Istituti Penitenziari
L03,WKD,L03_D1,Via Maroncelli
L04,WKD,L04_D0,Via Curie
L04,WKD,L04_D1,Coviolo
L04P,WKD,L04P_D0,Rubbianino
L04P,WKD,L04P_D1,Coviolo
L05,WKD,L05_D0,Rivalta Peep
L05,WKD,L05_D1,Mancasale Centro Fieristico
L05P,WKD,L05P_D0,Montecavolo
L05P,WKD,L05P_D1,Rivalta Peep
L06,WKD,L06_D0,Rivalta Via Oddone
L06,WKD,L06_D1,Tribunale
L09,WKD,L09_D0,Fogliano
L09,WKD,L09_D1,Stazione AV Mediopadana
L10,WKD,L10_D0,Deposito SETA
L10,WKD,L10_D1,Via Tenni
L11,WKD,L11_D0,Gavassa
L11,WKD,L11_D1,Via Mascagni
L12,WKD,L12_D0,Pratofontana
L12,WKD,L12_D1,Roncocesi
L13,WKD,L13_D0,Polo Makallé
L13,WKD,L13_D1,Sesso
LE,WKD,LE_D0,Parcheggio Volo
LE,WKD,LE_D1,P.le Funakoshi
LG,WKD,LG_D0,Parcheggio Le Querce
LG,WKD,LG_D1,Parcheggio Foro Boario
LH,WKD,LH_D0,Parcheggio Stadio
LH,WKD,LH_D1,Ospedale Santa Maria Nuova
