route_id,service_id,trip_id,trip_headsign
FCO,DAILY,FCO_out_0315,Roma Termini
FCO,DAILY,FCO_out_0900,Roma Termini
FCO,DAILY,FCO_out_1300,Roma Termini
FCO,DAILY,FCO_out_1800,Roma Termini
FCO,DAILY,FCO_out_2355,Roma Termini
FCO,DAILY,FCO_in_0415,Fiumicino Airport
FCO,DAILY,FCO_in_0900,Fiumicino Airport
FCO,DAILY,FCO_in_1330,Fiumicino Airport
FCO,DAILY,FCO_in_1800,Fiumicino Airport
FCO,DAILY,FCO_in_2300,Fiumicino Airport
CIA,DAILY,CIA_out_0555,Roma Termini
CIA,DAILY,CIA_out_0930,Roma Termini
CIA,DAILY,CIA_out_1300,Roma Termini
CIA,DAILY,CIA_out_1730,Roma Termini
CIA,DAILY,CIA_out_2230,Roma Termini
CIA,DAILY,CIA_in_0400,Ciampino Airport
CIA,DAILY,CIA_in_0850,Ciampino Airport
CIA,DAILY,CIA_in_1355,Ciampino Airport
CIA,DAILY,CIA_in_1810,Ciampino Airport
CIA,DAILY,CIA_in_2300,Ciampino Airport
