trip_id,arrival_time,departure_time,stop_id,stop_sequence
L2_A_T1,06:10:00,06:10:00,S_VINCIPROVA,1
L2_A_T1,06:12:00,06:12:00,S_GARIBALDI_BARRELLA_STAZIONE_F_S,2
L2_A_T1,06:15:00,06:15:00,S_XXIV_MAGGIO,3
L2_A_T1,06:17:00,06:17:00,S_CASALBORE_STADIO_VESTUTI,4
L2_A_T1,06:19:00,06:19:00,S_S_FRANCESCO,5
L2_A_T1,06:20:00,06:20:00,S_MANGANARIO,6
L2_A_T1,06:21:00,06:21:00,S_S_GIOVANNI_BOSCO,7
L2_A_T1,06:25:00,06:25:00,S_COPPOLA_CEDISA,8
L2_A_T1,06:27:00,06:27:00,S_FRATTE,9
L2_A_T1,06:32:00,06:32:00,S_MATIERNO_CENTRO,10
L2_A_T1,06:42:00,06:42:00,S_OGLIARA,11
L2_A_T1,06:44:00,06:44:00,S_RUFOLI,12
L2_A_T1,06:46:00,06:46:00,S_S_ANGELO,13
L2_A_T1,06:50:00,06:50:00,S_SORDINA,14
L2_D_T1,06:20:00,06:20:00,S_SORDINA,1
L2_D_T1,06:22:00,06:22:00,S_RUFOLI,2
L2_D_T1,06:29:00,06:29:00,S_OGLIARA,3
L2_D_T1,06:40:00,06:40:00,S_MATIERNO_CENTRO,4
L2_D_T1,06:46:00,06:46:00,S_FRATTE,5
L2_D_T1,06:52:00,06:52:00,S_CARMINE_INPDAP,6
L2_D_T1,06:53:00,06:53:00,S_S_FRANCESCO,7
L2_D_T1,06:55:00,06:55:00,S_XXIV_MAGGIO,8
L2_D_T1,06:58:00,06:58:00,S_ROMA_PROVINCIA,9
L2_D_T1,07:00:00,07:00:00,S_ROMA_MUNICIPIO,10
L2_D_T1,07:02:00,07:02:00,S_TEATRO_VERDI,11
L2_D_T1,07:03:00,07:03:00,S_LIGEA_40,12
L2_D_T1,07:05:00,07:05:00,S_LIGEA_CAPOLINEA,13
L2_D_T1,07:06:00,07:06:00,S_LIGEA_VARCO_TRAPEZIO,14
L2_D_T1,07:09:00,07:09:00,S_PERTINI_SCUOLA_BARRA,15
L2_D_T1,07:10:00,07:10:00,S_LUNGOMARE_TRIESTE_MUNICIPIO,16
L2_D_T1,07:11:00,07:11:00,S_LUNGOMARE_TRIESTE_PROVINCIA,17
L2_D_T1,07:14:00,07:14:00,S_LUNGOMARE_TRIESTE_TRIBUNALE,18
L2_D_T1,07:15:00,07:15:00,S_CONCORDIA,19
L2_D_T1,07:20:00,07:20:00,S_VINCIPROVA,20
L11_A_T1,06:00:00,06:00:00,S_SETTEMBRINI_CAPOLINEA,1
L11_A_T1,06:04:00,06:04:00,S_PREMUDA_PODGORA,2
L11_A_T1,06:06:00,06:06:00,S_MARICONDA_POSTE,3
L11_A_T1,06:08:00,06:08:00,S_PARCO_ARBOSTELLA_BIVIO_MARICONDA,4
L11_A_T1,06:09:00,06:09:00,S_MERCATELLO_MONS_GRASSO,5
L11_A_T1,06:12:00,06:12:00,S_POSIDONIA_SANTELMO,6
