stop_id,stop_name,stop_lat,stop_lon
S_ASIAGO,Asiago,40.662,14.803
S_CAPOLINEA_PASTENA_ZANOTTI_BIANCO,Capolinea Pastena Zanotti Bianco,40.663073,14.796823
S_CARMINE_INPDAP,Carmine Inpdap,40.6805,14.761
S_CARSO,Carso,40.662,14.801
S_CASALBORE_IRNO,Casalbore Irno,40.679,14.773
S_CASALBORE_STADIO_VESTUTI,Casalbore Stadio Vestuti,40.6765,14.7705
S_CAVALIERO,Cavaliero,40.676,14.776
S_CONCORDIA,Concordia,40.673773,14.770305
S_COPPOLA_CEDISA,Coppola - Cedisa,40.692,14.778
S_CROCE_CAPOLINEA,Croce Capolinea,40.697344,14.740042
S_DEL_PEZZO,Del Pezzo,40.668,14.793
S_FRATTE,Fratte,40.695112,14.776153
S_FRATTE_PONTE_AUTOSTRADA_DIR_CENTRO,Fratte - Ponte Autostrada (Dir. Centro),40.697,14.774
S_FRATTE_GALDI,Fratte Galdi,40.698,14.775
S_FUORNI_CENTRALE_DEL_LATTE_PROVVEDITORATO,Fuorni Centrale Del Latte Provveditorato,40.643,14.852
S_GARIBALDI_BARRELLA_STAZIONE_F_S,Garibaldi Barrella (Stazione F.S.),40.674342,14.772331
S_GIOVI_CASA_D_AMATO_PIAZZA,Giovi Casa D'Amato - Piazza,40.682903,14.837923
S_GIOVI_PIEGOLELLE,Giovi Piegolelle,40.689265,14.821228
S_GIOVI_S_BARTOLOMEO_PIAZZETTA,Giovi S. Bartolomeo - Piazzetta,40.683619,14.818481
S_IRNO,Irno,40.682841,14.775888
S_IRNO_BIVIO_CIMITERO,Irno - Bivio Cimitero,40.686,14.779
S_LICEO_CLASSICO_DE_SANCTIS,Liceo Classico De Sanctis,40.673,14.779
S_LIGEA_CAPOLINEA,Ligea Capolinea,40.666,14.775
S_LIGEA_VARCO_TRAPEZIO,Ligea Varco Trapezio,40.665,14.773
S_LIGEA_40,"Ligea, 40",40.668,14.778
S_LUNGOMARE_COLOMBO_MERCATELLO,Lungomare Colombo Mercatello,40.663,14.79
S_LUNGOMARE_COLOMBO_PASTENA_1,Lungomare Colombo Pastena 1,40.6655,14.782
S_LUNGOMARE_MARCONI,Lungomare Marconi,40.6754,14.747
S_LUNGOMARE_TRIESTE_MUNICIPIO,Lungomare Trieste Municipio,40.678153,14.756181
S_LUNGOMARE_TRIESTE_PROVINCIA,Lungomare Trieste Provincia,40.6776,14.7547
S_LUNGOMARE_TRIESTE_TRIBUNALE,Lungomare Trieste Tribunale,40.6772,14.7536
S_MANGANARIO,Manganario,40.682,14.778
S_MARCHIAFAVA,Marchiafava,40.662,14.807
S_MARICONDA_POSTE,Mariconda Poste,40.657791,14.813074
S_MARICONDA_TUSCIANO,Mariconda Tusciano,40.656,14.818
S_MATIERNO_CENTRO,Matierno Centro,40.701298,14.786488
S_MAURI,Mauri,40.663,14.802
S_MERCATELLO_MONS_GRASSO,Mercatello (Mons. Grasso),40.658237,14.802305
S_MONTICELLI_CAPOLINEA,Monticelli - Capolinea,40.651,14.832
S_MOSCANI,Moscani,40.664,14.796
S_OGLIARA,Ogliara,40.704753,14.807419
S_OSPEDALE_S_LEONARDO,Ospedale S.Leonardo,40.648268,14.835218
S_PARCO_ARBOSTELLA,Parco Arbostella,40.654177,14.811636
S_PARCO_ARBOSTELLA_BIVIO_MARICONDA,Parco Arbostella Bivio Mariconda,40.6555,14.812
S_PERTINI_SCUOLA_BARRA,Pertini Scuola Barra,40.67758,14.752993
S_PIAZZA_CADUTI_DEL_TERRORISMO,Piazza Caduti Del Terrorismo,40.672,14.778
S_PIO_XI,Pio Xi,40.685,14.758
S_POSIDONIA_SANTELMO,Posidonia Santelmo,40.66,14.804
S_PREMUDA_PODGORA,Premuda Podgora,40.663,14.805
S_ROMA_MUNICIPIO,Roma Municipio,40.6798,14.759
S_ROMA_PROVINCIA,Roma Provincia,40.679,14.761
S_RUFOLI,Rufoli,40.696993,14.819618
S_S_ANGELO,S. Angelo,40.705436,14.821163
S_S_ANGELO_7,S. Angelo 7,40.706,14.8205
S_S_FRANCESCO,S. Francesco,40.6752,14.7656
S_S_GIOVANNI_BOSCO,S.Giovanni Bosco,40.687,14.779
S_SETTEMBRINI_CAPOLINEA,Settembrini Capolinea,40.664774,14.813674
S_SORDINA,Sordina,40.700731,14.82874
S_TEATRO_VERDI,Teatro Verdi,40.67921,14.752669
S_VINCIPROVA,Vinciprova,40.674199,14.776539
S_XXIV_MAGGIO,Xxiv Maggio,40.67466,14.7683
