route_id,service_id,trip_id,trip_headsign
SVT_1,WEEKDAY,T_1_0_0,Lerino / Torri di Quartesolo
SVT_1,WEEKDAY,T_1_1_0,Zona Pomari / Via Moneta
SVT_2,WEEKDAY,T_2_0_0,Polegge
SVT_2,WEEKDAY,T_2_1_0,Stazione FS
SVT_3,WEEKDAY,T_3_0_0,Parco Città
SVT_3,WEEKDAY,T_3_1_0,Autostazione SVT
SVT_4,WEEKDAY,T_4_0_0,Valmarana
SVT_4,WEEKDAY,T_4_1_0,Via Ferrarin
SVT_5,WEEKDAY,T_5_0_0,Lanzè
SVT_5,WEEKDAY,T_5_1_0,Villaggio del Sole
SVT_6,WEEKDAY,T_6_0_0,Motta di Costabissara
SVT_6,WEEKDAY,T_6_1_0,Via Ippodromo
SVT_7,WEEKDAY,T_7_0_0,San Pio X
SVT_7,WEEKDAY,T_7_1_0,Via del Carso
SVT_8,WEEKDAY,T_8_0_0,Lumignano
SVT_8,WEEKDAY,T_8_1_0,Autostazione SVT
SVT_9,WEEKDAY,T_9_0_0,Nordest
SVT_9,WEEKDAY,T_9_1_0,Via Stadio
SVT_10,WEEKDAY,T_10_0_0,Centro
SVT_10,WEEKDAY,T_10_1_0,Park Stadio
SVT_11,WEEKDAY,T_11_0_0,Monticello / Cavazzale
SVT_11,WEEKDAY,T_11_1_0,Via Stadio
SVT_12,WEEKDAY,T_12_0_0,Altavilla (SR 11)
SVT_12,WEEKDAY,T_12_1_0,Vicenza
SVT_13,WEEKDAY,T_13_0_0,Lago di Fimon
SVT_13,WEEKDAY,T_13_1_0,Autostazione SVT
SVT_14,WEEKDAY,T_14_0_0,Sovizzo
SVT_14,WEEKDAY,T_14_1_0,Vicenza
SVT_16,WEEKDAY,T_16_0_0,Gambugliano
SVT_16,WEEKDAY,T_16_1_0,Autostazione SVT
SVT_17,WEEKDAY,T_17_0_0,San Pietro Intrigogna
SVT_17,WEEKDAY,T_17_1_0,Via Giuriolo
SVT_18,WEEKDAY,T_18_0_0,Monte Berico
SVT_18,WEEKDAY,T_18_1_0,Stazione FS
SVT_19,WEEKDAY,T_19_0_0,Area Comm. Torri Q.
SVT_19,WEEKDAY,T_19_1_0,Autostazione SVT
SVT_20,WEEKDAY,T_20_0_0,Contrà Cantarane
SVT_20,WEEKDAY,T_20_1_0,Park Mercato
SVT_30,WEEKDAY,T_30_0_0,Contrà Santa Corona
SVT_30,WEEKDAY,T_30_1_0,Park Cricoli
