route_id,service_id,trip_id,trip_headsign
PPCB_10,DAILY,PPCB_10_8925680,Okhna Souy Sophan Bus Terminal
PPCB_10,DAILY,PPCB_10_8925941,Street 2004 / Russian Federation Boulevard
PPCB_11,DAILY,PPCB_11_8932542,Sleng Pagoda
PPCB_11,DAILY,PPCB_11_8932571,Veng Sreng Blvd. / Chamkar Doung Road
PPCB_12,DAILY,PPCB_12_8935641,Phnom Penh Railway Station
PPCB_12,DAILY,PPCB_12_8936476,Phnom Penh Railway Station
PPCB_13,DAILY,PPCB_13_8937423,Doeum Thkov Roundabout
PPCB_13,DAILY,PPCB_13_8937775,Old Stadium
PPCB_1B,DAILY,PPCB_1B_10056941,Veal Sbov Bus Station
PPCB_1B,DAILY,PPCB_1B_10056949,Prince Manor Center Station
PPCB_4,DAILY,PPCB_4_7617000,Canadia Water Supply
PPCB_4,DAILY,PPCB_4_7617008,Russey Keo Garden
PPCB_4A,DAILY,PPCB_4A_7621577,Son Ti Pheap II Bus Terminal
PPCB_4A,DAILY,PPCB_4A_7621584,Canadia Water Supply
PPCB_4B,DAILY,PPCB_4B_7621586,Canadia Water Supply
PPCB_4B,DAILY,PPCB_4B_7621587,Royal Gendarmerie School
PPCB_4C,DAILY,PPCB_4C_8923308,Kuo Saov Roundabout
PPCB_4C,DAILY,PPCB_4C_8923309,New Steung Meanchey Market
PPCB_6,DAILY,PPCB_6_7682825,Bus Depot Prek Pnov Bridge
PPCB_6,DAILY,PPCB_6_7682922,Old Stadium
PPCB_7,DAILY,PPCB_7_7636853,Okhna Souy Sophan Bus Terminal
PPCB_7,DAILY,PPCB_7_7636871,Kilometer No 9
PPCB_8,DAILY,PPCB_8_7681307,Old Stadium
PPCB_8,DAILY,PPCB_8_7682700,Century Plaza Market
PPCB_9,DAILY,PPCB_9_8055819,Son Ti Pheap II Bus Terminal
PPCB_9,DAILY,PPCB_9_8055859,PPSEZ Entrance
