stop_id,stop_name,stop_lat,stop_lon
FOT,Colombo Fort,6.93361,79.85083
MDN,Maradana,6.92917,79.86556
SLI,Kompanna Vidiya (Slave Island),6.92167,79.84944
SEC,Secretariat Halt,6.92639,79.84556
KOL,Kollupitiya,6.91056,79.84806
BAM,Bambalapitiya,6.89417,79.85556
WEL,Wellawatta,6.87556,79.86083
DEH,Dehiwala,6.86667,79.86444
MTL,Mount Lavinia,6.83875,79.86376
RML,Ratmalana,6.82167,79.87167
ANG,Angulana,6.81139,79.87472
LUN,Lunawa,6.80389,79.87639
MOR,Moratuwa,6.79907,79.87668
KRW,Koralawella,6.785,79.88
EGU,Egoda Uyana,6.76389,79.89
PDR,Panadura,6.71361,79.90694
WDW,Wadduwa,6.66528,79.92889
KLN,Kalutara North,6.59139,79.95944
KLS,Kalutara South,6.57944,79.95944
DMG,Dematagoda,6.93694,79.87333
KEL,Kelaniya,6.95556,79.88361
WNW,Wanawasala,6.96556,79.89111
HUN,Hunupitiya,6.97583,79.89861
EDR,Enderamulla,6.99083,79.91111
HOR,Horape,7.01778,79.91278
RGM,Ragama Junction,7.03001,79.92143
WLP,Walpola,7.04667,79.94528
BTW,Batuwatta,7.05528,79.95611
BLG,Bulugahagoda,7.06722,79.96556
GNM,Ganemulla,7.075,79.9725
GPH,Gampaha,7.09356,79.99369
DRL,Daraluwa,7.11,80.02556
MGL,Magalegoda,7.13,80.04
HPT,Heendeniya Pattiyagoda,7.14,80.05
VYG,Veyangoda,7.15528,80.06111
BLR,Baseline Road,6.92083,79.87611
CTR,Cotta Road,6.90889,79.88056
MTN,Manning Town,6.9,79.885
NRH,Narahenpita,6.89194,79.87889
KRL,Kirulapone,6.87639,79.88056
NGD,Nugegoda,6.86389,79.89889
PGW,Pangiriwatta,6.86,79.91
UDH,Udahamulla,6.85583,79.91556
NWN,Nawinna,6.85222,79.92222
MHR,Maharagama,6.84944,79.92361
PNP,Pannipitiya,6.84667,79.94722
KTW,Kottawa,6.84376,79.96811
MPL,Malapalle,6.845,79.985
HMG,Homagama,6.84328,80.00318
PGD,Panagoda,6.85,80.02
GDM,Godagama,6.85167,80.035
PDK,Padukka,6.84722,80.095
KSG,Kosgama,6.9,80.105
WGA,Waga,6.915,80.135
AVS,Avissawella,6.95361,80.20889
PLD,Peralanda,7.02167,79.9
KDN,Kandana,7.04667,79.89333
KPW,Kapuwatta,7.05833,79.89167
JEL,Ja-Ela,7.06667,79.89333
TDL,Thudella,7.08167,79.88833
KDH,Kudahakapola,7.095,79.885
ALW,Alawathupitiya,7.105,79.88333
SDW,Seeduwa,7.12444,79.88361
LYM,Liyanagemulla,7.145,79.88333
IPZ,Investment Promotion Zone (Free Trade Zone),7.165,79.88
KTK,Katunayake,7.16944,79.885
KRA,Kurana,7.185,79.865
NGB,Negombo,7.20889,79.83833
