stop_id,stop_name,stop_lat,stop_lon
ybs_18,Sae-Hnit Thama ((၁၂) သမ),16.882275,96.03623
ybs_19,Sae-Hnit Thama ((၁၂) သမ),16.882419,96.036169
ybs_141,Sule Myodaw Khan Ma (ဆူးလေမြို့တော်ခန်းမ),16.775754,96.158879
ybs_191,Bogyoke Zay (ဗိုလ်ချုပ်ဈေး),16.779395,96.154447
ybs_197,Bago Kalat (ပဲခူးကလပ်),16.787245,96.142052
ybs_202,Kyauk Taing (ကျောက်တိုင်),16.788753,96.157194
ybs_208,Bahan Thone Lan (ဗဟန်းသုံးလမ်း),16.79706,96.157028
ybs_269,Myaynigone (မြေနီကုန်း (ပြည်လမ်း)),16.805399,96.136748
ybs_320,Saik Pyoe Yay (စိုက်ပျိုးရေး),16.817303,96.133263
ybs_359,Kaw Set (ကော်စက်),16.813903,96.188372
ybs_372,Arthawka (အာသောက),16.80733,96.180163
ybs_374,Aung Mingalar (အောင်မင်္ဂလာ),16.796309,96.176624
ybs_379,Kyauk Myaung Zay (ကျောက်မြောင်းဈေး),16.804151,96.175646
ybs_380,Tamwe Bali (တာမွေဗလီ),16.80953,96.177036
ybs_385,Tamwe Zay/ Tamwe Bali (တာမွေဈေး/ တာမွေဗလီ),16.807725,96.176172
ybs_388,Thida (သီတာ),16.799387,96.175793
ybs_392,Zay Lay (ဈေးလေး),16.809926,96.183588
ybs_395,Tit Zay Kwae ((၁) ဈေးကွေ့),16.796412,96.195341
ybs_396,Tit Zay Kwae ((၁) ဈေးကွေ့),16.796488,96.195482
ybs_397,Anawmar (အနော်မာ),16.80388,96.201768
ybs_398,Anawmar (အနော်မာ),16.803926,96.201911
ybs_403,Kyauk Taing (ကျောက်တိုင်),16.804242,96.196145
ybs_404,Kyauk Taing (ကျောက်တိုင်),16.804258,96.196239
ybs_405,Kyauk Taing (ကျောက်တိုင်),16.803722,96.195947
ybs_407,Myayni Lan (မြေနီလမ်း),16.802389,96.19669
ybs_409,Tat Phwet (တပ်ဖွဲ့),16.799601,96.196862
ybs_444,Mingalar Zay (မင်္ဂလာဈေး),16.791778,96.174517
ybs_451,Warso (ဝါဆို),16.782555,96.182733
ybs_454,Yuzana Plaza/ Lan Kyal (ယုဇနပလာဇာ/လမ်းကျယ်),16.794463,96.175586
ybs_468,Thadar Yon (သဒ္ဓါရုံ),16.793775,96.194093
ybs_469,Thinbaw Kyin (သင်္ဘောကျင်း),16.781903,96.188016
ybs_471,Thinbaw Kyin (သင်္ဘောကျင်း),16.781965,96.187147
ybs_472,Thinbaw Kyin (သင်္ဘောကျင်း),16.781294,96.188718
ybs_473,Wet Su (ဝက်စု),16.789535,96.19194
ybs_475,Yan Aung (ရန်အောင်),16.785668,96.189918
ybs_521,Kyaung Kwae (ကျောင်းကွေ့),16.803613,96.206454
ybs_522,Kyaung Kwae (ကျောင်းကွေ့),16.803614,96.206572
ybs_523,Kyaung Kwae/ Htuu Par Yone (ကျောင်းကွေ့/ထူပါရုံ),16.803715,96.205867
ybs_524,Kyaung Kwae/ Htuu Par Yone (ကျောင်းကွေ့/ထူပါရုံ),16.80381,96.205891
ybs_525,Myayni (မြေနီ),16.803538,96.209864
ybs_526,Myayni (မြေနီ),16.803656,96.210097
ybs_529,Shit Gate ((၈) ဂိတ်),16.804751,96.213528
ybs_530,Shit Gate ((၈) ဂိတ်),16.804949,96.213742
ybs_535,Ta Sal Zay ((၁၀) ဈေး),16.808245,96.220304
ybs_536,Ta Sal Zay ((၁၀) ဈေး),16.808139,96.220355
ybs_537,Thone-Sae-Lay Kar Gyi Gate ((၃၄) ကားကြီးဂိတ်),16.809509,96.223124
ybs_538,Thone-Sae-Lay Kar Gyi Gate ((၃၄) ကားကြီးဂိတ်),16.810434,96.224488
ybs_553,Thaketa Awine (သာကေတအဝိုင်း),16.806115,96.216272
