trip_id,arrival_time,departure_time,stop_id,stop_sequence
cz_t_copala_0600,06:00:00,06:00:00,cz_arcos,1
cz_t_copala_0600,06:03:00,06:03:00,cz_gilpreciado,2
cz_t_copala_0600,06:07:00,06:07:00,cz_cristorey,3
cz_t_copala_0600,06:10:00,06:10:00,cz_lopezmateos,4
cz_t_copala_0600,06:14:00,06:14:00,cz_chorritos,5
cz_t_copala_0600,06:17:00,06:17:00,cz_alamo,6
cz_t_copala_0600,06:21:00,06:21:00,cz_santalucia,7
cz_t_copala_0600,06:24:00,06:24:00,cz_lirios,8
cz_t_copala_0600,06:28:00,06:28:00,cz_valle,9
cz_t_copala_0600,06:31:00,06:31:00,cz_manitoba,10
cz_t_copala_0600,06:35:00,06:35:00,cz_albaterra,11
cz_t_copala_0600,06:38:00,06:38:00,cz_mirador,12
cz_t_copala_0600,06:40:00,06:40:00,cz_copala,13
cz_t_arcos_0630,06:30:00,06:30:00,cz_copala,1
cz_t_arcos_0630,06:33:00,06:33:00,cz_mirador,2
cz_t_arcos_0630,06:37:00,06:37:00,cz_albaterra,3
cz_t_arcos_0630,06:40:00,06:40:00,cz_manitoba,4
cz_t_arcos_0630,06:44:00,06:44:00,cz_valle,5
cz_t_arcos_0630,06:47:00,06:47:00,cz_lirios,6
cz_t_arcos_0630,06:51:00,06:51:00,cz_santalucia,7
cz_t_arcos_0630,06:54:00,06:54:00,cz_alamo,8
cz_t_arcos_0630,06:58:00,06:58:00,cz_chorritos,9
cz_t_arcos_0630,07:01:00,07:01:00,cz_lopezmateos,10
cz_t_arcos_0630,07:05:00,07:05:00,cz_cristorey,11
cz_t_arcos_0630,07:08:00,07:08:00,cz_gilpreciado,12
cz_t_arcos_0630,07:10:00,07:10:00,cz_arcos,13
