trip_id,arrival_time,departure_time,stop_id,stop_sequence
L1_EB,05:00:00,05:00:00,M1_OBS,1
L1_EB,05:02:00,05:02:00,M1_TAC,2
L1_EB,05:04:00,05:04:00,M1_JUA,3
L1_EB,05:06:00,05:06:00,M1_CHA,4
L1_EB,05:08:00,05:08:00,M1_SEV,5
L1_EB,05:10:00,05:10:00,M1_INS,6
L1_EB,05:12:00,05:12:00,M1_CUA,7
L1_EB,05:14:00,05:14:00,M1_BAL,8
L1_EB,05:16:00,05:16:00,M1_SAG,9
L1_EB,05:18:00,05:18:00,M1_ISA,10
L1_EB,05:20:00,05:20:00,M1_PIN,11
L1_EB,05:22:00,05:22:00,M1_MER,12
L1_EB,05:24:00,05:24:00,M1_CAN,13
L1_EB,05:26:00,05:26:00,M1_SLA,14
L1_EB,05:28:00,05:28:00,M1_MOC,15
L1_EB,05:30:00,05:30:00,M1_BLB,16
L1_EB,05:32:00,05:32:00,M1_BPA,17
L1_EB,05:34:00,05:34:00,M1_GOM,18
L1_EB,05:36:00,05:36:00,M1_ZAR,19
L1_EB,05:38:00,05:38:00,M1_PAN,20
L1_WB,05:00:00,05:00:00,M1_PAN,1
L1_WB,05:02:00,05:02:00,M1_ZAR,2
L1_WB,05:04:00,05:04:00,M1_GOM,3
L1_WB,05:06:00,05:06:00,M1_BPA,4
L1_WB,05:08:00,05:08:00,M1_BLB,5
L1_WB,05:10:00,05:10:00,M1_MOC,6
L1_WB,05:12:00,05:12:00,M1_SLA,7
L1_WB,05:14:00,05:14:00,M1_CAN,8
L1_WB,05:16:00,05:16:00,M1_MER,9
L1_WB,05:18:00,05:18:00,M1_PIN,10
L1_WB,05:20:00,05:20:00,M1_ISA,11
L1_WB,05:22:00,05:22:00,M1_SAG,12
L1_WB,05:24:00,05:24:00,M1_BAL,13
L1_WB,05:26:00,05:26:00,M1_CUA,14
L1_WB,05:28:00,05:28:00,M1_INS,15
L1_WB,05:30:00,05:30:00,M1_SEV,16
L1_WB,05:32:00,05:32:00,M1_CHA,17
L1_WB,05:34:00,05:34:00,M1_JUA,18
L1_WB,05:36:00,05:36:00,M1_TAC,19
L1_WB,05:38:00,05:38:00,M1_OBS,20
L2_SB,05:00:00,05:00:00,M2_CCA,1
L2_SB,05:02:00,05:02:00,M2_PAN,2
L2_SB,05:04:00,05:04:00,M2_TAC,3
L2_SB,05:06:00,05:06:00,M2_CUI,4
L2_SB,05:08:00,05:08:00,M2_POP,5
L2_SB,05:10:00,05:10:00,M2_COL,6
L2_SB,05:12:00,05:12:00,M2_NOR,7
L2_SB,05:14:00,05:14:00,M2_SCO,8
L2_SB,05:16:00,05:16:00,M2_REV,9
L2_SB,05:18:00,05:18:00,M2_HID,10
L2_SB,05:20:00,05:20:00,M2_BEL,11
L2_SB,05:22:00,05:22:00,M2_ALL,12
L2_SB,05:24:00,05:24:00,M2_ZOC,13
L2_SB,05:26:00,05:26:00,M2_PIN,14
L2_SB,05:28:00,05:28:00,M2_SAN,15
L2_SB,05:30:00,05:30:00,M2_CHA,16
L2_SB,05:32:00,05:32:00,M2_VIA,17
L2_SB,05:34:00,05:34:00,M2_XOL,18
L2_SB,05:36:00,05:36:00,M2_VIL,19
L2_SB,05:38:00,05:38:00,M2_NAT,20
L2_SB,05:40:00,05:40:00,M2_POR,21
L2_SB,05:42:00,05:42:00,M2_ERM,22
L2_SB,05:44:00,05:44:00,M2_GEN,23
L2_SB,05:46:00,05:46:00,M2_TAS,24
L2_NB,05:00:00,05:00:00,M2_TAS,1
L2_NB,05:02:00,05:02:00,M2_GEN,2
L2_NB,05:04:00,05:04:00,M2_ERM,3
L2_NB,05:06:00,05:06:00,M2_POR,4
L2_NB,05:08:00,05:08:00,M2_NAT,5
L2_NB,05:10:00,05:10:00,M2_VIL,6
L2_NB,05:12:00,05:12:00,M2_XOL,7
L2_NB,05:14:00,05:14:00,M2_VIA,8
L2_NB,05:16:00,05:16:00,M2_CHA,9
L2_NB,05:18:00,05:18:00,M2_SAN,10
L2_NB,05:20:00,05:20:00,M2_PIN,11
L2_NB,05:22:00,05:22:00,M2_ZOC,12
L2_NB,05:24:00,05:24:00,M2_ALL,13
L2_NB,05:26:00,05:26:00,M2_BEL,14
L2_NB,05:28:00,05:28:00,M2_HID,15
L2_NB,05:30:00,05:30:00,M2_REV,16
L2_NB,05:32:00,05:32:00,M2_SCO,17
L2_NB,05:34:00,05:34:00,M2_NOR,18
L2_NB,05:36:00,05:36:00,M2_COL,19
L2_NB,05:38:00,05:38:00,M2_POP,20
L2_NB,05:40:00,05:40:00,M2_CUI,21
L2_NB,05:42:00,05:42:00,M2_TAC,22
L2_NB,05:44:00,05:44:00,M2_PAN,23
L2_NB,05:46:00,05:46:00,M2_CCA,24
L3_SB,05:00:00,05:00:00,M3_IND,1
L3_SB,05:02:00,05:02:00,M3_D18,2
L3_SB,05:04:00,05:04:00,M3_POT,3
L3_SB,05:06:00,05:06:00,M3_RAZ,4
L3_SB,05:08:00,05:08:00,M3_TLA,5
L3_SB,05:10:00,05:10:00,M3_GUE,6
L3_SB,05:12:00,05:12:00,M3_HID,7
L3_SB,05:14:00,05:14:00,M3_JUA,8
L3_SB,05:16:00,05:16:00,M3_BAL,9
L3_SB,05:18:00,05:18:00,M3_NIN,10
L3_SB,05:20:00,05:20:00,M3_HGE,11
L3_SB,05:22:00,05:22:00,M3_CME,12
L3_SB,05:24:00,05:24:00,M3_ETI,13
L3_SB,05:26:00,05:26:00,M3_EUG,14
L3_SB,05:28:00,05:28:00,M3_DIV,15
L3_SB,05:30:00,05:30:00,M3_ZAP,16
