stop_id,stop_name,stop_lat,stop_lon
A01,Padre Mier - Zuazua (Terminal),25.669,-100.3095
A02,Av. Ignacio Zaragoza - Corregidora,25.6672,-100.3078
A03,San Luis Potosi - 5 de Febrero,25.6648,-100.3072
A04,Libertad - Nuevo Leon,25.6618,-100.306
A05,Libertad - Baja California,25.6602,-100.3048
A06,Libertad - Michoacan,25.6588,-100.3036
A07,Hilario Martinez - Tepeyac,25.6572,-100.3022
A08,Hilario Martinez - Lago de Patzcuaro,25.6558,-100.301
A09,Hilario Martinez - Laguna de Tamiahua,25.6544,-100.2998
A10,Hilario Martinez - Bartolome de las Casas,25.653,-100.2986
A11,Av. Alfredo Garza Rios - Cristobal Perez,25.6512,-100.2972
A12,Santos Cantu Salinas - San Agustin,25.6496,-100.296
A13,Santos Cantu Salinas - Rio Nazas,25.648,-100.2948
A14,Rio Nazas - Pipila,25.6462,-100.2942
A15,Rio Nazas - Guadalupe Victoria,25.6444,-100.2938
A16,Rio Nazas - Paseo Maria Guadalupe,25.6426,-100.2934
A17,Rio Nazas - Paseo Virginia,25.6408,-100.293
A18,Av. Lazaro Cardenas - Paseo Llavale,25.639,-100.2926
A19,Av. Lazaro Cardenas - Walmart Valle Oriente,25.6372,-100.2938
A20,Av. Lazaro Cardenas - Prol. Rio Nazas,25.6356,-100.2952
A21,Av. Lazaro Cardenas - Veredas,25.634,-100.2966
A22,Av. Lazaro Cardenas - Paseo del Acueducto,25.6324,-100.298
A23,Av. Lazaro Cardenas - Alfonso Reyes,25.6308,-100.2994
A24,Av. Lazaro Cardenas - Camino al Mirador,25.6292,-100.3006
A25,Av. Lazaro Cardenas - Plan de Milpa Alta,25.6276,-100.3016
A26,Av. Lazaro Cardenas - Cerro del Obispado,25.626,-100.3026
A27,Av. Lazaro Cardenas - Cerro del Mercado,25.6244,-100.3036
A28,Av. Lazaro Cardenas - Paseo del Lago,25.6228,-100.3044
A29,Av. Lazaro Cardenas - Paseo de Granada,25.6212,-100.3052
A30,Av. Lazaro Cardenas - Montecarlo,25.6196,-100.306
A31,Av. Lazaro Cardenas - Reims,25.618,-100.3068
A32,Av. Lazaro Cardenas - Zurich,25.6164,-100.3076
A33,Av. Lazaro Cardenas - UANL Mederos,25.6148,-100.3084
A34,Av. Eugenio Garza Sada - Gral. Aaron Saenz,25.612,-100.307
A35,Av. Eugenio Garza Sada - Pablo Quiroga,25.6096,-100.3056
A36,Av. Eugenio Garza Sada - Paseo de los Misterios,25.6072,-100.3042
A37,Av. Eugenio Garza Sada - Salto del Agua,25.6048,-100.3028
A38,Av. Eugenio Garza Sada - Paseo de San Francisco,25.6024,-100.3014
A39,Carretera Nacional - Templo de Jesucristo,25.599,-100.2988
A40,Carretera Nacional - HEB Valle Alto,25.5952,-100.296
A41,Carretera Nacional - La Estanzuela,25.591,-100.293
A42,Carretera Nacional - Las Estancias,25.5866,-100.29
A43,Carretera Nacional - Plaza Pueblo Serena,25.582,-100.2872
A44,Av. La Rioja - Fondea,25.5786,-100.2846
A45,Av. La Rioja - Lardero,25.576,-100.2824
A46,Av. La Rioja - Av. Cervera del Rio (Terminal),25.5738,-100.2802
A47,Carretera Nacional - Av. Cervera del Rio,25.5766,-100.283
A48,Carretera Nacional - Av. La Rioja,25.58,-100.2858
A49,Carretera Nacional - Soriana La Estanzuela,25.5842,-100.2888
A50,Carretera Nacional - Hospital Christus Muguerza,25.5886,-100.2916
A51,Av. Eugenio Garza Sada - Lago Erie,25.5928,-100.2946
A52,Av. Eugenio Garza Sada - Lago Catemaco,25.5966,-100.2972
A53,Av. Eugenio Garza Sada - Av. del Cortijo,25.6,-100.2996
A54,Av. Eugenio Garza Sada - Cam. de los Alamos,25.603,-100.3018
A55,Av. Eugenio Garza Sada - Paseo de las Fuentes,25.606,-100.3038
A56,Av. Lazaro Cardenas - UANL Mederos,25.615,-100.3082
A57,Av. Lazaro Cardenas - Santa Rosalia,25.6166,-100.3074
A58,Av. Lazaro Cardenas - Puerto Guaymas,25.6182,-100.3066
A59,Av. Lazaro Cardenas - Puerto Mexico,25.6198,-100.3058
A60,Av. Lazaro Cardenas - Puerto San Lucas,25.6214,-100.305
A61,Av. Lazaro Cardenas - Blvd. Acapulco,25.623,-100.3042
A62,Av. Lazaro Cardenas - Puerto de Alvarado,25.6246,-100.3034
A63,Av. Lazaro Cardenas - DIF CREE,25.6262,-100.3024
A64,Av. Lazaro Cardenas - Paseo del Marques,25.6278,-100.3014
A65,Av. Lazaro Cardenas - Marques de Huajuco,25.6294,-100.3004
A66,Av. Lazaro Cardenas - Sendero Sur,25.631,-100.2992
A67,Av. Lazaro Cardenas - Soriana Las Torres,25.6326,-100.2978
A68,Av. Lazaro Cardenas - Home Depot Las Torres,25.6342,-100.2964
A69,Av. Lazaro Cardenas - Av. Alfonso Reyes,25.6358,-100.295
A70,Av. Lazaro Cardenas - Argentina,25.6374,-100.2936
A71,Av. Lazaro Cardenas - Paseo del Acueducto,25.6388,-100.2928
A72,Av. Lazaro Cardenas - Valle del Mirador,25.6406,-100.2932
A73,Av. Lazaro Cardenas - Rio Nazas,25.6424,-100.2936
A74,Rio Nazas - Alfombrilla,25.6442,-100.294
A75,Rio Nazas - Guadalupe Victoria,25.646,-100.2944
A76,Rio Nazas - Pipila,25.6478,-100.2946
A77,Rio Nazas - Santos Cantu Salinas,25.6494,-100.2958
A78,Santos Cantu Salinas - Diana Artemisa,25.651,-100.297
A79,Santos Cantu Salinas - Bartolome de las Casas,25.6528,-100.2984
A80,Hilario Martinez - Juana de Arco,25.6546,-100.2998
A81,Sinaloa - Laguna de Tamiahua,25.6564,-100.3012
A82,Sinaloa - Lago de Patzcuaro,25.6582,-100.3026
A83,Sinaloa - Castelar (Juan Pablo II),25.66,-100.304
A84,Sinaloa - 2 de Abril,25.662,-100.3052
A85,2 de Abril - Durango,25.664,-100.3062
