trip_id,arrival_time,departure_time,stop_id,stop_sequence
yellow_out_0800,08:00:00,08:00:00,abuja_metro,1
yellow_out_0800,08:05:00,08:05:00,stadium,2
yellow_out_0800,08:10:00,08:10:00,kukwaba_i,3
yellow_out_0800,08:15:00,08:15:00,kukwaba_ii,4
yellow_out_0800,08:20:00,08:20:00,wupa,5
yellow_out_0800,08:26:00,08:27:00,idu,6
yellow_out_0800,08:34:00,08:34:00,bassanjiwa,7
yellow_out_0800,08:40:00,08:40:00,airport,8
yellow_out_1000,10:00:00,10:00:00,abuja_metro,1
yellow_out_1000,10:05:00,10:05:00,stadium,2
yellow_out_1000,10:10:00,10:10:00,kukwaba_i,3
yellow_out_1000,10:15:00,10:15:00,kukwaba_ii,4
yellow_out_1000,10:20:00,10:20:00,wupa,5
yellow_out_1000,10:26:00,10:27:00,idu,6
yellow_out_1000,10:34:00,10:34:00,bassanjiwa,7
yellow_out_1000,10:40:00,10:40:00,airport,8
yellow_out_1530,15:30:00,15:30:00,abuja_metro,1
yellow_out_1530,15:35:00,15:35:00,stadium,2
yellow_out_1530,15:40:00,15:40:00,kukwaba_i,3
yellow_out_1530,15:45:00,15:45:00,kukwaba_ii,4
yellow_out_1530,15:50:00,15:50:00,wupa,5
yellow_out_1530,15:56:00,15:57:00,idu,6
yellow_out_1530,16:04:00,16:04:00,bassanjiwa,7
yellow_out_1530,16:10:00,16:10:00,airport,8
yellow_out_1730,17:30:00,17:30:00,abuja_metro,1
yellow_out_1730,17:35:00,17:35:00,stadium,2
yellow_out_1730,17:40:00,17:40:00,kukwaba_i,3
yellow_out_1730,17:45:00,17:45:00,kukwaba_ii,4
yellow_out_1730,17:50:00,17:50:00,wupa,5
yellow_out_1730,17:56:00,17:57:00,idu,6
yellow_out_1730,18:04:00,18:04:00,bassanjiwa,7
yellow_out_1730,18:10:00,18:10:00,airport,8
yellow_in_0800,08:00:00,08:00:00,airport,1
yellow_in_0800,08:06:00,08:06:00,bassanjiwa,2
yellow_in_0800,08:13:00,08:14:00,idu,3
yellow_in_0800,08:20:00,08:20:00,wupa,4
yellow_in_0800,08:25:00,08:25:00,kukwaba_ii,5
yellow_in_0800,08:30:00,08:30:00,kukwaba_i,6
yellow_in_0800,08:35:00,08:35:00,stadium,7
yellow_in_0800,08:40:00,08:40:00,abuja_metro,8
yellow_in_1000,10:00:00,10:00:00,airport,1
yellow_in_1000,10:06:00,10:06:00,bassanjiwa,2
yellow_in_1000,10:13:00,10:14:00,idu,3
yellow_in_1000,10:20:00,10:20:00,wupa,4
yellow_in_1000,10:25:00,10:25:00,kukwaba_ii,5
yellow_in_1000,10:30:00,10:30:00,kukwaba_i,6
yellow_in_1000,10:35:00,10:35:00,stadium,7
yellow_in_1000,10:40:00,10:40:00,abuja_metro,8
yellow_in_1530,15:30:00,15:30:00,airport,1
yellow_in_1530,15:36:00,15:36:00,bassanjiwa,2
yellow_in_1530,15:43:00,15:44:00,idu,3
yellow_in_1530,15:50:00,15:50:00,wupa,4
yellow_in_1530,15:55:00,15:55:00,kukwaba_ii,5
yellow_in_1530,16:00:00,16:00:00,kukwaba_i,6
yellow_in_1530,16:05:00,16:05:00,stadium,7
yellow_in_1530,16:10:00,16:10:00,abuja_metro,8
yellow_in_1730,17:30:00,17:30:00,airport,1
yellow_in_1730,17:36:00,17:36:00,bassanjiwa,2
yellow_in_1730,17:43:00,17:44:00,idu,3
yellow_in_1730,17:50:00,17:50:00,wupa,4
yellow_in_1730,17:55:00,17:55:00,kukwaba_ii,5
yellow_in_1730,18:00:00,18:00:00,kukwaba_i,6
yellow_in_1730,18:05:00,18:05:00,stadium,7
yellow_in_1730,18:10:00,18:10:00,abuja_metro,8
blue_out_0800,08:00:00,08:00:00,idu,1
blue_out_0800,08:09:00,08:09:00,gwagwa,2
blue_out_0800,08:15:00,08:15:00,deidei,3
blue_out_0800,08:22:00,08:22:00,kagini,4
blue_out_0800,08:30:00,08:30:00,gbazango,5
blue_out_1000,10:00:00,10:00:00,idu,1
blue_out_1000,10:09:00,10:09:00,gwagwa,2
blue_out_1000,10:15:00,10:15:00,deidei,3
blue_out_1000,10:22:00,10:22:00,kagini,4
blue_out_1000,10:30:00,10:30:00,gbazango,5
blue_out_1530,15:30:00,15:30:00,idu,1
blue_out_1530,15:39:00,15:39:00,gwagwa,2
blue_out_1530,15:45:00,15:45:00,deidei,3
blue_out_1530,15:52:00,15:52:00,kagini,4
blue_out_1530,16:00:00,16:00:00,gbazango,5
blue_out_1730,17:30:00,17:30:00,idu,1
blue_out_1730,17:39:00,17:39:00,gwagwa,2
blue_out_1730,17:45:00,17:45:00,deidei,3
blue_out_1730,17:52:00,17:52:00,kagini,4
blue_out_1730,18:00:00,18:00:00,gbazango,5
blue_in_0800,08:00:00,08:00:00,gbazango,1
blue_in_0800,08:08:00,08:08:00,kagini,2
blue_in_0800,08:15:00,08:15:00,deidei,3
blue_in_0800,08:21:00,08:21:00,gwagwa,4
blue_in_0800,08:30:00,08:30:00,idu,5
blue_in_1000,10:00:00,10:00:00,gbazango,1
blue_in_1000,10:08:00,10:08:00,kagini,2
blue_in_1000,10:15:00,10:15:00,deidei,3
blue_in_1000,10:21:00,10:21:00,gwagwa,4
blue_in_1000,10:30:00,10:30:00,idu,5
blue_in_1530,15:30:00,15:30:00,gbazango,1
blue_in_1530,15:38:00,15:38:00,kagini,2
blue_in_1530,15:45:00,15:45:00,deidei,3
blue_in_1530,15:51:00,15:51:00,gwagwa,4
blue_in_1530,16:00:00,16:00:00,idu,5
blue_in_1730,17:30:00,17:30:00,gbazango,1
blue_in_1730,17:38:00,17:38:00,kagini,2
blue_in_1730,17:45:00,17:45:00,deidei,3
blue_in_1730,17:51:00,17:51:00,gwagwa,4
blue_in_1730,18:00:00,18:00:00,idu,5
