stop_id,stop_name,stop_lat,stop_lon
S001,Area 1,9.0288,7.4899
S002,Area 3,9.0325,7.487
S003,Apo Bridge,9.01,7.4835
S004,Police Barracks,9.005,7.482
S005,Apo Round About,8.9975,7.4805
S006,Abbatoir,9.011,7.49
S007,C.B.N. Junction,9.018,7.495
S008,Power House,9.023,7.5
S009,Water Board,9.03,7.508
S010,A.Y.A.,9.041,7.523
S011,A.A. Rano,9.045,7.525
S012,Aguiyi Ironsi Cantonment,9.052,7.52
S013,State House Clinic,9.056,7.51
S014,Gowon Barracks,9.062,7.505
S015,Lungi Barracks,9.07,7.5
S016,PW,9.078,7.498
S017,Maitama/Mpape Junction,9.095,7.5
S018,Tipper Garage,9.09,7.47
S019,Ministers Hill,9.088,7.478
S020,Nicon Junction,9.085,7.472
S021,Bannex Plaza,9.083,7.47
S022,Mabushi Junction,9.082,7.47
S023,Berger,9.075,7.478
S024,Wuye Junction,9.068,7.472
S025,Stadium (Under Bridge),9.056,7.483
S026,National Hospital (Under Bridge),9.049,7.479
S027,FRSC (Wuye),9.067,7.47
S028,Bannex Junction,9.083,7.47
S029,Nicon junction,9.085,7.472
S030,Minister's Hill,9.088,7.478
S031,Mpape/Maitama Junction,9.095,7.5
S032,Niger Barracks,9.064,7.503
S033,Deeper Life Junction,9.025,7.503
S034,Old CBN Junction,9.018,7.495
S035,Apo,8.9985,7.479
S036,Area 3 Junction,9.0325,7.487
S037,Wuse,9.0706,7.4675
S038,Finance/Wuye,9.066,7.469
S039,Karmojiji,9.01,7.44
S040,Kucugoro,8.995,7.42
S041,Cika,8.985,7.405
S042,Aleta,8.98,7.395
S043,Lugbe (F.H.A.),8.9909,7.3551
S044,Lugbe (Police Sign Board),8.985,7.345
S045,New Lugbe,8.98,7.34
S046,Ako,8.97,7.33
S047,Gosa 1,8.96,7.32
S048,Gosa 2,8.956,7.316
S049,Gosa 3,8.952,7.312
S050,Kuje,8.8822,7.2203
S051,Sauka,8.93,7.28
S052,Airport Junction,9.0067,7.2631
S053,Ido,8.96,7.2
S054,UniAbuja Permanent Site,8.99,7.18
S055,Giri,8.97,7.15
S056,University Staff Quarters,8.96,7.13
S057,Gwanko,8.955,7.11
S058,S.D.P.,8.952,7.095
S059,N.E.P.A.,8.951,7.085
S060,Gwagwalada,8.9508,7.0767
S061,Bwari,9.2797,7.3803
S062,Kogo 1,9.26,7.39
S063,Kogo 2,9.256,7.392
S064,Camp,9.24,7.4
S065,Pambara,9.23,7.405
S066,Peyi,9.22,7.41
S067,Ushafa,9.2,7.41
S068,Usman Dam,9.19,7.405
S069,Dutse Bokuma,9.17,7.4
S070,Police Sign Board,9.16,7.395
S071,Dutse Primary School,9.155,7.39
S072,Sokale,9.15,7.385
S073,Power Line,9.145,7.38
S074,Dutse Alhaji,9.14,7.375
S075,Dutse Express,9.135,7.37
S076,Public Institute,9.13,7.365
S077,Galadima,9.11,7.4
S078,Science Technical,9.105,7.405
S079,Gwarimpa,9.107,7.41
S080,Setraco,9.105,7.42
S081,Oando,9.103,7.43
S082,Jahi,9.098,7.44
S083,Katampe,9.1,7.46
S084,Tipper Garage Before Corner,9.092,7.468
S085,NICON Junction,9.085,7.472
S086,Banex,9.083,7.47
S087,Mabushi,9.082,7.47
S088,Berger before U Turn,9.0755,7.4785
S089,Berger Bus Stop,9.0748,7.4778
S090,Zuba,9.0964,7.2128
S091,DeiDei,9.115,7.29
S092,Arab Junction,9.12,7.3
S093,N.Y.S.C.,9.13,7.31
S094,Kubwa Gate 2,9.145,7.315
S095,Kubwa Gate 1 (F.H.),9.15,7.32
S096,Dutse Junction,9.13,7.36
S097,Nicon,9.085,7.472
S098,Kubwa,9.1538,7.322
S099,Public Service Institute,9.13,7.365
