trip_id,arrival_time,departure_time,stop_id,stop_sequence
R_IKORODU_TBS_WKDY_d0_0,06:00:00,06:00:00,ik_ikorodu,0
R_IKORODU_TBS_WKDY_d0_0,06:03:00,06:03:00,ik_benson,1
R_IKORODU_TBS_WKDY_d0_0,06:06:00,06:06:00,ik_sabo,2
R_IKORODU_TBS_WKDY_d0_0,06:12:00,06:12:00,ik_majidun,3
R_IKORODU_TBS_WKDY_d0_0,06:20:00,06:20:00,ik_owode,4
R_IKORODU_TBS_WKDY_d0_0,06:24:00,06:24:00,ik_mile12,5
R_IKORODU_TBS_WKDY_d0_0,06:29:00,06:29:00,ik_ketu,6
R_IKORODU_TBS_WKDY_d0_0,06:32:00,06:32:00,ik_ojota,7
R_IKORODU_TBS_WKDY_d0_0,06:37:00,06:37:00,ik_maryland,8
R_IKORODU_TBS_WKDY_d0_0,06:41:00,06:41:00,ik_anthony,9
R_IKORODU_TBS_WKDY_d0_0,06:44:00,06:44:00,ik_obanikoro,10
R_IKORODU_TBS_WKDY_d0_0,06:46:00,06:46:00,ik_palmgrove,11
R_IKORODU_TBS_WKDY_d0_0,06:49:00,06:49:00,ik_onipanu,12
R_IKORODU_TBS_WKDY_d0_0,06:52:00,06:52:00,ik_fadeyi,13
R_IKORODU_TBS_WKDY_d0_0,06:56:00,06:56:00,ik_yaba,14
R_IKORODU_TBS_WKDY_d0_0,07:00:00,07:00:00,ik_stadium,15
R_IKORODU_TBS_WKDY_d0_0,07:04:00,07:04:00,ik_costain,16
R_IKORODU_TBS_WKDY_d0_0,07:12:00,07:12:00,ik_cms,17
R_IKORODU_TBS_WKDY_d0_0,07:15:00,07:15:00,ik_tbs,18
R_IKORODU_TBS_WKDY_d1_0,06:00:00,06:00:00,ik_tbs,0
R_IKORODU_TBS_WKDY_d1_0,06:03:00,06:03:00,ik_cms,1
R_IKORODU_TBS_WKDY_d1_0,06:11:00,06:11:00,ik_costain,2
R_IKORODU_TBS_WKDY_d1_0,06:15:00,06:15:00,ik_stadium,3
R_IKORODU_TBS_WKDY_d1_0,06:19:00,06:19:00,ik_yaba,4
R_IKORODU_TBS_WKDY_d1_0,06:23:00,06:23:00,ik_fadeyi,5
R_IKORODU_TBS_WKDY_d1_0,06:26:00,06:26:00,ik_onipanu,6
R_IKORODU_TBS_WKDY_d1_0,06:29:00,06:29:00,ik_palmgrove,7
R_IKORODU_TBS_WKDY_d1_0,06:31:00,06:31:00,ik_obanikoro,8
R_IKORODU_TBS_WKDY_d1_0,06:34:00,06:34:00,ik_anthony,9
R_IKORODU_TBS_WKDY_d1_0,06:38:00,06:38:00,ik_maryland,10
R_IKORODU_TBS_WKDY_d1_0,06:43:00,06:43:00,ik_ojota,11
R_IKORODU_TBS_WKDY_d1_0,06:46:00,06:46:00,ik_ketu,12
R_IKORODU_TBS_WKDY_d1_0,06:51:00,06:51:00,ik_mile12,13
R_IKORODU_TBS_WKDY_d1_0,06:55:00,06:55:00,ik_owode,14
R_IKORODU_TBS_WKDY_d1_0,07:03:00,07:03:00,ik_majidun,15
R_IKORODU_TBS_WKDY_d1_0,07:09:00,07:09:00,ik_sabo,16
R_IKORODU_TBS_WKDY_d1_0,07:12:00,07:12:00,ik_benson,17
R_IKORODU_TBS_WKDY_d1_0,07:15:00,07:15:00,ik_ikorodu,18
R_IKORODU_TBS_SAT_d0_0,06:00:00,06:00:00,ik_ikorodu,0
R_IKORODU_TBS_SAT_d0_0,06:03:00,06:03:00,ik_benson,1
R_IKORODU_TBS_SAT_d0_0,06:06:00,06:06:00,ik_sabo,2
R_IKORODU_TBS_SAT_d0_0,06:12:00,06:12:00,ik_majidun,3
R_IKORODU_TBS_SAT_d0_0,06:20:00,06:20:00,ik_owode,4
R_IKORODU_TBS_SAT_d0_0,06:24:00,06:24:00,ik_mile12,5
R_IKORODU_TBS_SAT_d0_0,06:29:00,06:29:00,ik_ketu,6
R_IKORODU_TBS_SAT_d0_0,06:32:00,06:32:00,ik_ojota,7
R_IKORODU_TBS_SAT_d0_0,06:37:00,06:37:00,ik_maryland,8
R_IKORODU_TBS_SAT_d0_0,06:41:00,06:41:00,ik_anthony,9
R_IKORODU_TBS_SAT_d0_0,06:44:00,06:44:00,ik_obanikoro,10
R_IKORODU_TBS_SAT_d0_0,06:46:00,06:46:00,ik_palmgrove,11
R_IKORODU_TBS_SAT_d0_0,06:49:00,06:49:00,ik_onipanu,12
R_IKORODU_TBS_SAT_d0_0,06:52:00,06:52:00,ik_fadeyi,13
R_IKORODU_TBS_SAT_d0_0,06:56:00,06:56:00,ik_yaba,14
R_IKORODU_TBS_SAT_d0_0,07:00:00,07:00:00,ik_stadium,15
R_IKORODU_TBS_SAT_d0_0,07:04:00,07:04:00,ik_costain,16
R_IKORODU_TBS_SAT_d0_0,07:12:00,07:12:00,ik_cms,17
R_IKORODU_TBS_SAT_d0_0,07:15:00,07:15:00,ik_tbs,18
R_IKORODU_TBS_SAT_d1_0,06:00:00,06:00:00,ik_tbs,0
R_IKORODU_TBS_SAT_d1_0,06:03:00,06:03:00,ik_cms,1
R_IKORODU_TBS_SAT_d1_0,06:11:00,06:11:00,ik_costain,2
R_IKORODU_TBS_SAT_d1_0,06:15:00,06:15:00,ik_stadium,3
R_IKORODU_TBS_SAT_d1_0,06:19:00,06:19:00,ik_yaba,4
R_IKORODU_TBS_SAT_d1_0,06:23:00,06:23:00,ik_fadeyi,5
R_IKORODU_TBS_SAT_d1_0,06:26:00,06:26:00,ik_onipanu,6
R_IKORODU_TBS_SAT_d1_0,06:29:00,06:29:00,ik_palmgrove,7
R_IKORODU_TBS_SAT_d1_0,06:31:00,06:31:00,ik_obanikoro,8
R_IKORODU_TBS_SAT_d1_0,06:34:00,06:34:00,ik_anthony,9
R_IKORODU_TBS_SAT_d1_0,06:38:00,06:38:00,ik_maryland,10
R_IKORODU_TBS_SAT_d1_0,06:43:00,06:43:00,ik_ojota,11
R_IKORODU_TBS_SAT_d1_0,06:46:00,06:46:00,ik_ketu,12
R_IKORODU_TBS_SAT_d1_0,06:51:00,06:51:00,ik_mile12,13
R_IKORODU_TBS_SAT_d1_0,06:55:00,06:55:00,ik_owode,14
R_IKORODU_TBS_SAT_d1_0,07:03:00,07:03:00,ik_majidun,15
R_IKORODU_TBS_SAT_d1_0,07:09:00,07:09:00,ik_sabo,16
R_IKORODU_TBS_SAT_d1_0,07:12:00,07:12:00,ik_benson,17
R_IKORODU_TBS_SAT_d1_0,07:15:00,07:15:00,ik_ikorodu,18
R_IKORODU_TBS_SUN_d0_0,07:00:00,07:00:00,ik_ikorodu,0
R_IKORODU_TBS_SUN_d0_0,07:03:00,07:03:00,ik_benson,1
R_IKORODU_TBS_SUN_d0_0,07:06:00,07:06:00,ik_sabo,2
R_IKORODU_TBS_SUN_d0_0,07:12:00,07:12:00,ik_majidun,3
R_IKORODU_TBS_SUN_d0_0,07:20:00,07:20:00,ik_owode,4
R_IKORODU_TBS_SUN_d0_0,07:24:00,07:24:00,ik_mile12,5
R_IKORODU_TBS_SUN_d0_0,07:29:00,07:29:00,ik_ketu,6
R_IKORODU_TBS_SUN_d0_0,07:32:00,07:32:00,ik_ojota,7
R_IKORODU_TBS_SUN_d0_0,07:37:00,07:37:00,ik_maryland,8
R_IKORODU_TBS_SUN_d0_0,07:41:00,07:41:00,ik_anthony,9
R_IKORODU_TBS_SUN_d0_0,07:44:00,07:44:00,ik_obanikoro,10
R_IKORODU_TBS_SUN_d0_0,07:46:00,07:46:00,ik_palmgrove,11
R_IKORODU_TBS_SUN_d0_0,07:49:00,07:49:00,ik_onipanu,12
R_IKORODU_TBS_SUN_d0_0,07:52:00,07:52:00,ik_fadeyi,13
R_IKORODU_TBS_SUN_d0_0,07:56:00,07:56:00,ik_yaba,14
R_IKORODU_TBS_SUN_d0_0,08:00:00,08:00:00,ik_stadium,15
R_IKORODU_TBS_SUN_d0_0,08:04:00,08:04:00,ik_costain,16
R_IKORODU_TBS_SUN_d0_0,08:12:00,08:12:00,ik_cms,17
R_IKORODU_TBS_SUN_d0_0,08:15:00,08:15:00,ik_tbs,18
R_IKORODU_TBS_SUN_d1_0,07:00:00,07:00:00,ik_tbs,0
R_IKORODU_TBS_SUN_d1_0,07:03:00,07:03:00,ik_cms,1
R_IKORODU_TBS_SUN_d1_0,07:11:00,07:11:00,ik_costain,2
R_IKORODU_TBS_SUN_d1_0,07:15:00,07:15:00,ik_stadium,3
R_IKORODU_TBS_SUN_d1_0,07:19:00,07:19:00,ik_yaba,4
R_IKORODU_TBS_SUN_d1_0,07:23:00,07:23:00,ik_fadeyi,5
R_IKORODU_TBS_SUN_d1_0,07:26:00,07:26:00,ik_onipanu,6
R_IKORODU_TBS_SUN_d1_0,07:29:00,07:29:00,ik_palmgrove,7
R_IKORODU_TBS_SUN_d1_0,07:31:00,07:31:00,ik_obanikoro,8
R_IKORODU_TBS_SUN_d1_0,07:34:00,07:34:00,ik_anthony,9
R_IKORODU_TBS_SUN_d1_0,07:38:00,07:38:00,ik_maryland,10
R_IKORODU_TBS_SUN_d1_0,07:43:00,07:43:00,ik_ojota,11
R_IKORODU_TBS_SUN_d1_0,07:46:00,07:46:00,ik_ketu,12
R_IKORODU_TBS_SUN_d1_0,07:51:00,07:51:00,ik_mile12,13
R_IKORODU_TBS_SUN_d1_0,07:55:00,07:55:00,ik_owode,14
R_IKORODU_TBS_SUN_d1_0,08:03:00,08:03:00,ik_majidun,15
R_IKORODU_TBS_SUN_d1_0,08:09:00,08:09:00,ik_sabo,16
R_IKORODU_TBS_SUN_d1_0,08:12:00,08:12:00,ik_benson,17
R_IKORODU_TBS_SUN_d1_0,08:15:00,08:15:00,ik_ikorodu,18
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:00:00,06:00:00,os_oshodi,0
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:03:00,06:03:00,os_bolade,1
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:15:00,06:15:00,os_iyanaipaja,2
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:20:00,06:20:00,os_egbeda,3
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:28:00,06:28:00,os_ikotun,4
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:33:00,06:33:00,os_idimu,5
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:38:00,06:38:00,os_egbe,6
R_OSHODI_ABULEEGBA_WKDY_d0_0,06:48:00,06:48:00,os_abuleegba,7
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:00:00,06:00:00,os_abuleegba,0
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:10:00,06:10:00,os_egbe,1
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:15:00,06:15:00,os_idimu,2
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:20:00,06:20:00,os_ikotun,3
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:28:00,06:28:00,os_egbeda,4
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:33:00,06:33:00,os_iyanaipaja,5
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:45:00,06:45:00,os_bolade,6
R_OSHODI_ABULEEGBA_WKDY_d1_0,06:48:00,06:48:00,os_oshodi,7
R_OSHODI_ABULEEGBA_SAT_d0_0,06:00:00,06:00:00,os_oshodi,0
R_OSHODI_ABULEEGBA_SAT_d0_0,06:03:00,06:03:00,os_bolade,1
R_OSHODI_ABULEEGBA_SAT_d0_0,06:15:00,06:15:00,os_iyanaipaja,2
R_OSHODI_ABULEEGBA_SAT_d0_0,06:20:00,06:20:00,os_egbeda,3
R_OSHODI_ABULEEGBA_SAT_d0_0,06:28:00,06:28:00,os_ikotun,4
R_OSHODI_ABULEEGBA_SAT_d0_0,06:33:00,06:33:00,os_idimu,5
R_OSHODI_ABULEEGBA_SAT_d0_0,06:38:00,06:38:00,os_egbe,6
R_OSHODI_ABULEEGBA_SAT_d0_0,06:48:00,06:48:00,os_abuleegba,7
R_OSHODI_ABULEEGBA_SAT_d1_0,06:00:00,06:00:00,os_abuleegba,0
R_OSHODI_ABULEEGBA_SAT_d1_0,06:10:00,06:10:00,os_egbe,1
R_OSHODI_ABULEEGBA_SAT_d1_0,06:15:00,06:15:00,os_idimu,2
R_OSHODI_ABULEEGBA_SAT_d1_0,06:20:00,06:20:00,os_ikotun,3
R_OSHODI_ABULEEGBA_SAT_d1_0,06:28:00,06:28:00,os_egbeda,4
R_OSHODI_ABULEEGBA_SAT_d1_0,06:33:00,06:33:00,os_iyanaipaja,5
R_OSHODI_ABULEEGBA_SAT_d1_0,06:45:00,06:45:00,os_bolade,6
R_OSHODI_ABULEEGBA_SAT_d1_0,06:48:00,06:48:00,os_oshodi,7
R_OSHODI_ABULEEGBA_SUN_d0_0,07:00:00,07:00:00,os_oshodi,0
R_OSHODI_ABULEEGBA_SUN_d0_0,07:03:00,07:03:00,os_bolade,1
R_OSHODI_ABULEEGBA_SUN_d0_0,07:15:00,07:15:00,os_iyanaipaja,2
R_OSHODI_ABULEEGBA_SUN_d0_0,07:20:00,07:20:00,os_egbeda,3
R_OSHODI_ABULEEGBA_SUN_d0_0,07:28:00,07:28:00,os_ikotun,4
R_OSHODI_ABULEEGBA_SUN_d0_0,07:33:00,07:33:00,os_idimu,5
R_OSHODI_ABULEEGBA_SUN_d0_0,07:38:00,07:38:00,os_egbe,6
R_OSHODI_ABULEEGBA_SUN_d0_0,07:48:00,07:48:00,os_abuleegba,7
