stop_id,stop_name,stop_lat,stop_lon
balaju,Balaju,27.7309464,85.2980817
gongabu,Gongabu,27.7428978,85.3201753
ngchowk,Narayan Gopal Chowk,27.7400234,85.3370704
chabahil,Chabahil,27.7171756,85.346661
gaushala,Gaushala,27.7092549,85.34642
tinkune,Tinkune,27.6852122,85.3486465
koteshwor,Koteshwor,27.6755462,85.3383181
satdobato,Satdobato,27.6589535,85.3232417
ekantakuna,Ekantakuna,27.6666354,85.3083104
balkhu,Balkhu,27.6859579,85.2952622
kalanki,Kalanki,27.6956114,85.2796064
kalimati,Kalimati,27.7009137,85.2926558
godam,Godam,27.6627986,85.2540968
thankot,Thankot Checkpost,27.6902884,85.2155817
bhaktapur,Bhaktapur,27.6711133,85.4261675
banepa,Banepa,27.6155523,85.5264243
dhulikhel,Dhulikhel,27.6043216,85.582276
sinamangal,Sinamangal,27.6991844,85.3504227
maharajgunj,Maharajgunj,27.7282131,85.3245512
swayambhu,Swayambhu,27.7158058,85.2909591
