stop_id,stop_name,stop_lat,stop_lon
s_lagankhel,Lagankhel,27.6674,85.324
s_jawalakhel,Jawalakhel,27.673,85.312
s_pulchowk,Pulchowk,27.679,85.316
s_kupondole,Kupondole,27.685,85.315
s_thapathali,Thapathali,27.692,85.317
s_tripureshwor,Tripureshwor,27.695,85.312
s_nac,NAC,27.701,85.314
s_jamal,Jamal,27.708,85.318
s_lazimpat,Lazimpat,27.722,85.323
s_panipokhari,Panipokhari,27.729,85.326
s_teaching_hospital,Teaching Hospital,27.736,85.33
s_narayan_gopal_chowk,Narayan Gopal Chowk,27.74,85.332
s_samakhusi,Samakhusi,27.737,85.313
s_gongabu,Gongabu,27.736,85.311
s_new_bus_park,New Bus Park,27.7355,85.31
s_imadole_police_chowki,Imadole Police Chowki,27.665,85.345
s_krishna_mandir,Krishna Mandir,27.672,85.34
s_ratomakai_chowk,Ratomakai Chowk,27.668,85.338
s_kist_hospital,Kist Hospital,27.662,85.333
s_gwarko,Gwarko,27.662,85.33
s_bnb_hospital,BNB Hospital,27.659,85.327
s_satdobato,Satdobato,27.658,85.325
s_narayansthan,Narayansthan,27.757,85.362
s_sallaghari_budhanilkantha,Sallaghari (Budhanilkantha),27.748,85.356
s_gangalal_hospital,Gangalal Hospital,27.744,85.34
s_golfutar,Golfutar,27.753,85.354
s_hattigauda,Hattigauda,27.75,85.36
s_chapali_gaun,Chapali Gaun,27.762,85.366
s_ratna_park,Ratna Park,27.704,85.315
s_purano_buspark,Purano Buspark,27.705,85.313
s_shahid_gate,Shahid Gate,27.699,85.314
s_maitighar,Maitighar,27.693,85.321
s_babar_mahal,Babar Mahal,27.696,85.327
s_baneshwor,Baneshwor,27.691,85.339
s_shantinagar,Shantinagar,27.696,85.343
s_tinkune,Tinkune,27.687,85.351
s_gairegaun,Gairegaun,27.691,85.356
s_sinamangal,Sinamangal,27.697,85.356
s_tribhuvan_international_airport,Tribhuvan International Airport,27.698,85.359
s_koteshwor,Koteshwor,27.678,85.349
s_jadibuti,Jadibuti,27.68,85.355
s_lokanthali,Lokanthali,27.676,85.364
s_gatthaghar,Gatthaghar,27.674,85.372
s_madhyapur_thimi,Madhyapur Thimi,27.681,85.385
s_srijananagar,Srijananagar,27.679,85.39
s_sallaghari_bhaktapur,Sallaghari (Bhaktapur),27.676,85.4
s_suryabinayak,Suryabinayak,27.664,85.428
s_jagati,Jagati,27.672,85.435
s_nalinchowk,Nalinchowk,27.669,85.442
s_fun_valley,Fun Valley,27.665,85.455
s_palase,Palase,27.66,85.465
s_sanga,Sanga,27.656,85.478
s_swayambhunath,Swayambhunath,27.715,85.29
s_sitapaila,Sitapaila,27.712,85.279
s_bafal,Bafal,27.705,85.281
s_kalanki,Kalanki,27.6935,85.281
s_kalimati,Kalimati,27.696,85.298
s_teku,Teku,27.694,85.306
s_hattiban_kharibot,Hattiban Kharibot,27.628,85.315
s_hattiban,Hattiban,27.635,85.317
s_khumaltar,Khumaltar,27.652,85.323
s_bungamati,Bungamati,27.618,85.302
s_chyasikot,Chyasikot,27.628,85.305
s_sainbu,Sainbu,27.648,85.305
s_bhaisepati,Bhaisepati,27.652,85.308
s_nakkhu,Nakkhu,27.656,85.317
s_ekantakuna_chowk,Ekantakuna Chowk,27.662,85.308
s_thankot,Thankot,27.687,85.205
s_malekhu,Malekhu,27.783,84.862
s_mugling,Mugling,27.856,84.562
s_pokhara,Pokhara,28.2096,83.9856
s_kushma,Kushma,28.22,83.69
s_baglung,Baglung,28.271,83.59
s_kathmandu_gongabu_new_bus_park,Kathmandu (Gongabu New Bus Park),27.7355,85.31
