route_id,service_id,trip_id,trip_headsign
ringroad,daily,ringroad_out,Satdobato
ringroad,daily,ringroad_in,New Buspark
ngc_mediciti,daily,ngc_mediciti_out,Mediciti Hospital
ngc_mediciti,daily,ngc_mediciti_in,Narayan Gopal Chowk
buspark_gaushala,daily,buspark_gaushala_out,Gaushala
buspark_gaushala,daily,buspark_gaushala_in,New Bus Park
koteshwor_sallaghari,daily,koteshwor_sallaghari_out,Sallaghari
koteshwor_sallaghari,daily,koteshwor_sallaghari_in,Koteshwor
dungeadda_attarkhel,daily,dungeadda_attarkhel_out,Attarkhel
dungeadda_attarkhel,daily,dungeadda_attarkhel_in,Dunge Adda
