trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_7,05:00:00,05:00:00,368,1
trip_7,05:02:00,05:02:00,270,2
trip_7,05:04:00,05:04:00,112,3
trip_7,05:06:00,05:06:00,340,4
trip_7,05:08:00,05:08:00,583,5
trip_7,05:10:00,05:10:00,298,6
trip_7,05:12:00,05:12:00,645,7
trip_7,05:14:00,05:14:00,31,8
trip_7,05:16:00,05:16:00,543,9
trip_7,05:18:00,05:18:00,173,10
trip_7,05:20:00,05:20:00,109,11
trip_7,05:22:00,05:22:00,76,12
trip_7,05:24:00,05:24:00,729,13
trip_7,05:26:00,05:26:00,34,14
trip_7,05:28:00,05:28:00,1035,15
trip_7,05:30:00,05:30:00,71,16
trip_7,05:32:00,05:32:00,110,17
trip_7,05:34:00,05:34:00,979,18
trip_7,05:36:00,05:36:00,156,19
trip_7,05:38:00,05:38:00,693,20
trip_7,05:40:00,05:40:00,626,21
trip_7,05:42:00,05:42:00,709,22
trip_7,05:44:00,05:44:00,688,23
trip_7,05:46:00,05:46:00,194,24
trip_7,05:48:00,05:48:00,195,25
trip_7,05:50:00,05:50:00,508,26
trip_7,05:52:00,05:52:00,372,27
trip_7,05:54:00,05:54:00,1140,28
trip_7,05:56:00,05:56:00,537,29
trip_7,05:58:00,05:58:00,633,30
trip_7,06:00:00,06:00:00,766,31
trip_7,06:02:00,06:02:00,886,32
trip_7,06:04:00,06:04:00,1012,33
trip_7,06:06:00,06:06:00,1091,34
trip_7,06:08:00,06:08:00,238,35
trip_7,06:10:00,06:10:00,260,36
trip_7,06:12:00,06:12:00,697,37
trip_7,06:14:00,06:14:00,107,38
trip_7,06:16:00,06:16:00,330,39
trip_7,06:18:00,06:18:00,755,40
trip_7,06:20:00,06:20:00,575,41
trip_7,06:22:00,06:22:00,717,42
trip_7,06:24:00,06:24:00,45,43
trip_8,05:00:00,05:00:00,47,1
trip_8,05:02:00,05:02:00,576,2
trip_8,05:04:00,05:04:00,495,3
trip_8,05:06:00,05:06:00,335,4
trip_8,05:08:00,05:08:00,1149,5
trip_8,05:10:00,05:10:00,1146,6
trip_8,05:12:00,05:12:00,698,7
trip_8,05:14:00,05:14:00,261,8
trip_8,05:16:00,05:16:00,239,9
trip_8,05:18:00,05:18:00,1013,10
trip_8,05:20:00,05:20:00,767,11
trip_8,05:22:00,05:22:00,509,12
trip_8,05:24:00,05:24:00,269,13
trip_8,05:26:00,05:26:00,1038,14
trip_8,05:28:00,05:28:00,895,15
trip_8,05:30:00,05:30:00,368,16
trip_8,05:32:00,05:32:00,243,17
trip_8,05:34:00,05:34:00,270,18
trip_8,05:36:00,05:36:00,112,19
trip_8,05:38:00,05:38:00,340,20
trip_8,05:40:00,05:40:00,583,21
trip_8,05:42:00,05:42:00,298,22
trip_8,05:44:00,05:44:00,645,23
trip_8,05:46:00,05:46:00,31,24
trip_8,05:48:00,05:48:00,173,25
trip_8,05:50:00,05:50:00,111,26
trip_8,05:52:00,05:52:00,735,27
trip_8,05:54:00,05:54:00,72,28
trip_8,05:56:00,05:56:00,109,29
trip_8,05:58:00,05:58:00,877,30
trip_8,06:00:00,06:00:00,76,31
trip_8,06:02:00,06:02:00,34,32
trip_8,06:04:00,06:04:00,1035,33
trip_8,06:06:00,06:06:00,71,34
trip_8,06:08:00,06:08:00,110,35
trip_8,06:10:00,06:10:00,979,36
trip_8,06:12:00,06:12:00,980,37
trip_8,06:14:00,06:14:00,156,38
trip_8,06:16:00,06:16:00,692,39
trip_8,06:18:00,06:18:00,625,40
trip_8,06:20:00,06:20:00,709,41
trip_20,04:00:00,04:00:00,446,1
trip_20,04:02:00,04:02:00,685,2
trip_20,04:04:00,04:04:00,143,3
trip_20,04:06:00,04:06:00,849,4
trip_20,04:08:00,04:08:00,94,5
trip_20,04:10:00,04:10:00,153,6
trip_20,04:12:00,04:12:00,54,7
trip_20,04:14:00,04:14:00,728,8
trip_20,04:16:00,04:16:00,1115,9
trip_20,04:18:00,04:18:00,354,10
trip_20,04:20:00,04:20:00,16,11
trip_20,04:22:00,04:22:00,204,12
trip_20,04:24:00,04:24:00,257,13
trip_20,04:26:00,04:26:00,843,14
trip_20,04:28:00,04:28:00,1084,15
trip_20,04:30:00,04:30:00,664,16
trip_20,04:32:00,04:32:00,29,17
trip_20,04:34:00,04:34:00,255,18
trip_73,05:00:00,05:00:00,1149,1
trip_73,05:02:00,05:02:00,1146,2
trip_73,05:04:00,05:04:00,698,3
trip_73,05:06:00,05:06:00,261,4
trip_73,05:08:00,05:08:00,239,5
trip_73,05:10:00,05:10:00,1013,6
trip_73,05:12:00,05:12:00,767,7
trip_73,05:14:00,05:14:00,509,8
trip_73,05:16:00,05:16:00,440,9
trip_73,05:18:00,05:18:00,441,10
trip_78,04:00:00,04:00:00,46,1
trip_78,04:02:00,04:02:00,1050,2
trip_78,04:04:00,04:04:00,632,3
trip_78,04:06:00,04:06:00,272,4
trip_78,04:08:00,04:08:00,41,5
trip_78,04:10:00,04:10:00,572,6
trip_78,04:12:00,04:12:00,207,7
trip_78,04:14:00,04:14:00,969,8
trip_78,04:16:00,04:16:00,904,9
trip_78,04:18:00,04:18:00,406,10
trip_131,04:00:00,04:00:00,685,1
trip_131,04:02:00,04:02:00,143,2
trip_131,04:04:00,04:04:00,691,3
trip_131,04:06:00,04:06:00,94,4
trip_131,04:08:00,04:08:00,153,5
trip_131,04:10:00,04:10:00,54,6
trip_131,04:12:00,04:12:00,728,7
trip_131,04:14:00,04:14:00,531,8
trip_131,04:16:00,04:16:00,986,9
trip_131,04:18:00,04:18:00,816,10
trip_131,04:20:00,04:20:00,606,11
trip_131,04:22:00,04:22:00,91,12
trip_131,04:24:00,04:24:00,995,13
trip_131,04:26:00,04:26:00,431,14
trip_131,04:28:00,04:28:00,1005,15
trip_131,04:30:00,04:30:00,705,16
trip_131,04:32:00,04:32:00,993,17
trip_142,15:00:00,15:00:00,787,1
trip_142,15:02:00,15:02:00,1053,2
trip_142,15:04:00,15:04:00,404,3
trip_142,15:06:00,15:06:00,552,4
trip_142,15:08:00,15:08:00,64,5
trip_142,15:10:00,15:10:00,851,6
trip_142,15:12:00,15:12:00,499,7
trip_142,15:14:00,15:14:00,119,8
trip_142,15:16:00,15:16:00,923,9
trip_142,15:18:00,15:18:00,216,10
trip_142,15:20:00,15:20:00,276,11
trip_142,15:22:00,15:22:00,275,12
trip_142,15:24:00,15:24:00,966,13
trip_142,15:26:00,15:26:00,201,14
trip_142,15:28:00,15:28:00,246,15
trip_142,15:30:00,15:30:00,1079,16
trip_142,15:32:00,15:32:00,280,17
trip_142,15:34:00,15:34:00,1047,18
trip_162,15:00:00,15:00:00,1126,1
trip_162,15:02:00,15:02:00,37,2
trip_162,15:04:00,15:04:00,677,3
trip_162,15:06:00,15:06:00,595,4
trip_162,15:08:00,15:08:00,656,5
trip_162,15:10:00,15:10:00,352,6
trip_162,15:12:00,15:12:00,555,7
trip_162,15:14:00,15:14:00,511,8
trip_162,15:16:00,15:16:00,402,9
trip_162,15:18:00,15:18:00,365,10
trip_162,15:20:00,15:20:00,1134,11
trip_162,15:22:00,15:22:00,350,12
trip_162,15:24:00,15:24:00,776,13
trip_165,00:00:00,00:00:00,293,1
trip_165,00:02:00,00:02:00,870,2
trip_165,00:04:00,00:04:00,823,3
trip_165,00:06:00,00:06:00,874,4
trip_165,00:08:00,00:08:00,871,5
trip_165,00:10:00,00:10:00,294,6
trip_165,00:12:00,00:12:00,869,7
trip_165,00:14:00,00:14:00,868,8
trip_226,04:00:00,04:00:00,668,1
trip_226,04:02:00,04:02:00,1000,2
trip_226,04:04:00,04:04:00,1033,3
trip_226,04:06:00,04:06:00,95,4
trip_226,04:08:00,04:08:00,825,5
trip_226,04:10:00,04:10:00,676,6
trip_226,04:12:00,04:12:00,36,7
trip_226,04:14:00,04:14:00,1121,8
trip_226,04:16:00,04:16:00,1125,9
trip_226,04:18:00,04:18:00,88,10
trip_226,04:20:00,04:20:00,244,11
trip_226,04:22:00,04:22:00,763,12
trip_226,04:24:00,04:24:00,53,13
trip_226,04:26:00,04:26:00,1020,14
trip_226,04:28:00,04:28:00,147,15
trip_226,04:30:00,04:30:00,561,16
trip_226,04:32:00,04:32:00,120,17
trip_226,04:34:00,04:34:00,446,18
trip_227,04:00:00,04:00:00,830,1
trip_227,04:02:00,04:02:00,12,2
trip_227,04:04:00,04:04:00,446,3
trip_227,04:06:00,04:06:00,141,4
trip_227,04:08:00,04:08:00,144,5
trip_227,04:10:00,04:10:00,152,6
trip_227,04:12:00,04:12:00,1130,7
trip_227,04:14:00,04:14:00,1126,8
trip_227,04:16:00,04:16:00,37,9
trip_227,04:18:00,04:18:00,677,10
trip_227,04:20:00,04:20:00,96,11
trip_227,04:22:00,04:22:00,1034,12
trip_227,04:24:00,04:24:00,1001,13
trip_227,04:26:00,04:26:00,669,14
trip_248,04:00:00,04:00:00,830,1
trip_248,04:02:00,04:02:00,12,2
trip_248,04:04:00,04:04:00,446,3
trip_248,04:06:00,04:06:00,141,4
trip_248,04:08:00,04:08:00,144,5
trip_248,04:10:00,04:10:00,152,6
trip_248,04:12:00,04:12:00,1130,7
trip_248,04:14:00,04:14:00,1126,8
trip_248,04:16:00,04:16:00,37,9
trip_248,04:18:00,04:18:00,677,10
trip_248,04:20:00,04:20:00,825,11
trip_248,04:22:00,04:22:00,762,12
trip_248,04:24:00,04:24:00,673,13
trip_248,04:26:00,04:26:00,741,14
trip_248,04:28:00,04:28:00,652,15
trip_248,04:30:00,04:30:00,956,16
trip_248,04:32:00,04:32:00,856,17
trip_260,16:00:00,16:00:00,862,1
trip_260,16:02:00,16:02:00,132,2
trip_260,16:04:00,16:04:00,739,3
trip_260,16:06:00,16:06:00,232,4
trip_260,16:08:00,16:08:00,85,5
trip_260,16:10:00,16:10:00,782,6
trip_260,16:12:00,16:12:00,737,7
trip_260,16:14:00,16:14:00,1007,8
trip_260,16:16:00,16:16:00,1073,9
trip_260,16:18:00,16:18:00,875,10
trip_260,16:20:00,16:20:00,939,11
trip_284,04:00:00,04:00:00,1089,1
trip_284,04:02:00,04:02:00,423,2
trip_284,04:04:00,04:04:00,899,3
trip_284,04:06:00,04:06:00,369,4
trip_284,04:08:00,04:08:00,103,5
trip_284,04:10:00,04:10:00,909,6
trip_284,04:12:00,04:12:00,802,7
trip_289,08:00:00,08:00:00,70,1
trip_289,08:02:00,08:02:00,69,2
trip_289,08:04:00,08:04:00,950,3
trip_325,04:00:00,04:00:00,297,1
trip_325,04:02:00,04:02:00,88,2
trip_325,04:04:00,04:04:00,763,3
trip_325,04:06:00,04:06:00,53,4
trip_325,04:08:00,04:08:00,1020,5
