route_id,service_id,trip_id,trip_headsign
r_06A,daily,t_06A_0,Carbon Market
r_06A,daily,t_06A_1,Guadalupe Church
r_06B,daily,t_06B_0,Carbon Market
r_06B,daily,t_06B_1,Guadalupe Church
r_06H,daily,t_06H_0,SM City Cebu
r_06H,daily,t_06H_1,Guadalupe Church
r_12A,daily,t_12A_0,Carbon Market
r_12A,daily,t_12A_1,Labangon
r_12E,daily,t_12E_0,North Bus Terminal
r_12E,daily,t_12E_1,Labangon
r_12K,daily,t_12K_0,Ayala Center Cebu
r_12K,daily,t_12K_1,Labangon
r_07A,daily,t_07A_0,Carbon Market
r_07A,daily,t_07A_1,Banawa
r_01J,daily,t_01J_0,SM City Cebu
r_01J,daily,t_01J_1,SWU / Sambag
r_01A,daily,t_01A_0,Colon
r_01A,daily,t_01A_1,SWU / Sambag
r_04A,daily,t_04A_0,Carbon Market
r_04A,daily,t_04A_1,Lahug (JY Square)
r_04F,daily,t_04F_0,SM City Cebu
r_04F,daily,t_04F_1,Lahug (JY Square)
r_13B,daily,t_13B_0,Carbon Market
r_13B,daily,t_13B_1,Talamban
r_13D,daily,t_13D_0,SM City Cebu
r_13D,daily,t_13D_1,Talamban
r_03A,daily,t_03A_0,Carbon Market
r_03A,daily,t_03A_1,Mabolo (Panagdait)
r_03D,daily,t_03D_0,Cebu Provincial Capitol
r_03D,daily,t_03D_1,Mabolo (Panagdait)
r_02B,daily,t_02B_0,South Bus Terminal
r_02B,daily,t_02B_1,Pier Area
r_02D,daily,t_02D_0,SM City Cebu
r_02D,daily,t_02D_1,Pier Area
r_09A,daily,t_09A_0,Colon
r_09A,daily,t_09A_1,Basak
r_10C,daily,t_10C_0,Colon
r_10C,daily,t_10C_1,Pardo
r_11A,daily,t_11A_0,Colon
r_11A,daily,t_11A_1,Inayawan
r_21A,daily,t_21A_0,Carbon Market
r_21A,daily,t_21A_1,Mandaue (Ibabao)
r_17B,daily,t_17B_0,Carbon Market
r_17B,daily,t_17B_1,Apas
