trip_id,arrival_time,departure_time,stop_id,stop_sequence
BLUE_out_first,06:15:00,06:15:00,BL01_gulberg,1
BLUE_out_first,06:18:00,06:18:00,BL02_koral,2
BLUE_out_first,06:21:00,06:21:00,BL03_gangal,3
BLUE_out_first,06:24:00,06:24:00,BL04_fazaia,4
BLUE_out_first,06:27:00,06:27:00,BL05_khanna,5
BLUE_out_first,06:29:00,06:29:00,BL06_ziamasjid,6
BLUE_out_first,06:31:00,06:31:00,BL07_kuriroad,7
BLUE_out_first,06:33:00,06:33:00,BL08_iqbaltown,8
BLUE_out_first,06:35:00,06:35:00,BL09_dhokekalakhan,9
BLUE_out_first,06:37:00,06:37:00,BL10_sohan,10
BLUE_out_first,06:40:00,06:40:00,BL11_faizabad,11
BLUE_out_first,06:43:00,06:43:00,BL12_i8,12
BLUE_out_first,06:45:00,06:45:00,BL13_h8,13
BLUE_out_first,06:48:00,06:48:00,shared_g7g8,14
BLUE_out_first,06:50:00,06:50:00,shared_pimsgate,15
BLUE_out_first,06:52:00,06:52:00,BL16_centaurus,16
BLUE_out_first,06:54:00,06:54:00,BL17_tipumarket,17
BLUE_out_first,06:56:00,06:56:00,shared_pims,18
BLUE_out_peak,08:15:00,08:15:00,BL01_gulberg,1
BLUE_out_peak,08:18:00,08:18:00,BL02_koral,2
BLUE_out_peak,08:21:00,08:21:00,BL03_gangal,3
BLUE_out_peak,08:24:00,08:24:00,BL04_fazaia,4
BLUE_out_peak,08:27:00,08:27:00,BL05_khanna,5
BLUE_out_peak,08:29:00,08:29:00,BL06_ziamasjid,6
BLUE_out_peak,08:31:00,08:31:00,BL07_kuriroad,7
BLUE_out_peak,08:33:00,08:33:00,BL08_iqbaltown,8
BLUE_out_peak,08:35:00,08:35:00,BL09_dhokekalakhan,9
BLUE_out_peak,08:37:00,08:37:00,BL10_sohan,10
BLUE_out_peak,08:40:00,08:40:00,BL11_faizabad,11
BLUE_out_peak,08:43:00,08:43:00,BL12_i8,12
BLUE_out_peak,08:45:00,08:45:00,BL13_h8,13
BLUE_out_peak,08:48:00,08:48:00,shared_g7g8,14
BLUE_out_peak,08:50:00,08:50:00,shared_pimsgate,15
BLUE_out_peak,08:52:00,08:52:00,BL16_centaurus,16
BLUE_out_peak,08:54:00,08:54:00,BL17_tipumarket,17
BLUE_out_peak,08:56:00,08:56:00,shared_pims,18
BLUE_out_last,21:39:00,21:39:00,BL01_gulberg,1
BLUE_out_last,21:42:00,21:42:00,BL02_koral,2
BLUE_out_last,21:45:00,21:45:00,BL03_gangal,3
BLUE_out_last,21:48:00,21:48:00,BL04_fazaia,4
BLUE_out_last,21:51:00,21:51:00,BL05_khanna,5
BLUE_out_last,21:53:00,21:53:00,BL06_ziamasjid,6
BLUE_out_last,21:55:00,21:55:00,BL07_kuriroad,7
BLUE_out_last,21:57:00,21:57:00,BL08_iqbaltown,8
BLUE_out_last,21:59:00,21:59:00,BL09_dhokekalakhan,9
BLUE_out_last,22:01:00,22:01:00,BL10_sohan,10
BLUE_out_last,22:04:00,22:04:00,BL11_faizabad,11
BLUE_out_last,22:07:00,22:07:00,BL12_i8,12
BLUE_out_last,22:09:00,22:09:00,BL13_h8,13
BLUE_out_last,22:12:00,22:12:00,shared_g7g8,14
BLUE_out_last,22:14:00,22:14:00,shared_pimsgate,15
BLUE_out_last,22:16:00,22:16:00,BL16_centaurus,16
BLUE_out_last,22:18:00,22:18:00,BL17_tipumarket,17
BLUE_out_last,22:20:00,22:20:00,shared_pims,18
BLUE_in_first,06:15:00,06:15:00,shared_pims,1
BLUE_in_first,06:17:00,06:17:00,BL17_tipumarket,2
BLUE_in_first,06:19:00,06:19:00,BL16_centaurus,3
BLUE_in_first,06:21:00,06:21:00,shared_pimsgate,4
BLUE_in_first,06:23:00,06:23:00,shared_g7g8,5
BLUE_in_first,06:26:00,06:26:00,BL13_h8,6
BLUE_in_first,06:28:00,06:28:00,BL12_i8,7
BLUE_in_first,06:31:00,06:31:00,BL11_faizabad,8
BLUE_in_first,06:34:00,06:34:00,BL10_sohan,9
BLUE_in_first,06:36:00,06:36:00,BL09_dhokekalakhan,10
BLUE_in_first,06:38:00,06:38:00,BL08_iqbaltown,11
BLUE_in_first,06:40:00,06:40:00,BL07_kuriroad,12
BLUE_in_first,06:42:00,06:42:00,BL06_ziamasjid,13
BLUE_in_first,06:44:00,06:44:00,BL05_khanna,14
BLUE_in_first,06:47:00,06:47:00,BL04_fazaia,15
BLUE_in_first,06:50:00,06:50:00,BL03_gangal,16
BLUE_in_first,06:53:00,06:53:00,BL02_koral,17
BLUE_in_first,06:56:00,06:56:00,BL01_gulberg,18
BLUE_in_peak,08:15:00,08:15:00,shared_pims,1
BLUE_in_peak,08:17:00,08:17:00,BL17_tipumarket,2
BLUE_in_peak,08:19:00,08:19:00,BL16_centaurus,3
BLUE_in_peak,08:21:00,08:21:00,shared_pimsgate,4
BLUE_in_peak,08:23:00,08:23:00,shared_g7g8,5
BLUE_in_peak,08:26:00,08:26:00,BL13_h8,6
BLUE_in_peak,08:28:00,08:28:00,BL12_i8,7
BLUE_in_peak,08:31:00,08:31:00,BL11_faizabad,8
BLUE_in_peak,08:34:00,08:34:00,BL10_sohan,9
BLUE_in_peak,08:36:00,08:36:00,BL09_dhokekalakhan,10
BLUE_in_peak,08:38:00,08:38:00,BL08_iqbaltown,11
BLUE_in_peak,08:40:00,08:40:00,BL07_kuriroad,12
BLUE_in_peak,08:42:00,08:42:00,BL06_ziamasjid,13
BLUE_in_peak,08:44:00,08:44:00,BL05_khanna,14
BLUE_in_peak,08:47:00,08:47:00,BL04_fazaia,15
BLUE_in_peak,08:50:00,08:50:00,BL03_gangal,16
BLUE_in_peak,08:53:00,08:53:00,BL02_koral,17
BLUE_in_peak,08:56:00,08:56:00,BL01_gulberg,18
BLUE_in_last,21:39:00,21:39:00,shared_pims,1
BLUE_in_last,21:41:00,21:41:00,BL17_tipumarket,2
BLUE_in_last,21:43:00,21:43:00,BL16_centaurus,3
BLUE_in_last,21:45:00,21:45:00,shared_pimsgate,4
BLUE_in_last,21:47:00,21:47:00,shared_g7g8,5
BLUE_in_last,21:50:00,21:50:00,BL13_h8,6
BLUE_in_last,21:52:00,21:52:00,BL12_i8,7
BLUE_in_last,21:55:00,21:55:00,BL11_faizabad,8
BLUE_in_last,21:58:00,21:58:00,BL10_sohan,9
BLUE_in_last,22:00:00,22:00:00,BL09_dhokekalakhan,10
BLUE_in_last,22:02:00,22:02:00,BL08_iqbaltown,11
BLUE_in_last,22:04:00,22:04:00,BL07_kuriroad,12
BLUE_in_last,22:06:00,22:06:00,BL06_ziamasjid,13
BLUE_in_last,22:08:00,22:08:00,BL05_khanna,14
BLUE_in_last,22:11:00,22:11:00,BL04_fazaia,15
BLUE_in_last,22:14:00,22:14:00,BL03_gangal,16
BLUE_in_last,22:17:00,22:17:00,BL02_koral,17
