trip_id,arrival_time,departure_time,stop_id,stop_sequence
R4_out,07:00:00,07:00:00,S_north_karachi,1
R4_out,07:03:00,07:03:00,S_nagan,2
R4_out,07:06:00,07:06:00,S_shafiq_mor,3
R4_out,07:09:00,07:09:00,S_sorab_goth,4
R4_out,07:12:00,07:12:00,S_ayesha_manzil,5
R4_out,07:15:00,07:15:00,S_lalukhait,6
R4_out,07:18:00,07:18:00,S_teen_hatti,7
R4_out,07:21:00,07:21:00,S_jahangir_road,8
R4_out,07:24:00,07:24:00,S_guru_mandar,9
R4_out,07:27:00,07:27:00,S_numaish,10
R4_out,07:30:00,07:30:00,S_taj_complex,11
R4_out,07:33:00,07:33:00,S_sindh_high_court,12
R4_out,07:36:00,07:36:00,S_tower,13
R4_out,07:39:00,07:39:00,S_jackson_market,14
R4_out,07:42:00,07:42:00,S_kemari,15
R4_in,08:00:00,08:00:00,S_kemari,1
R4_in,08:03:00,08:03:00,S_jackson_market,2
R4_in,08:06:00,08:06:00,S_tower,3
R4_in,08:09:00,08:09:00,S_sindh_high_court,4
R4_in,08:12:00,08:12:00,S_taj_complex,5
R4_in,08:15:00,08:15:00,S_numaish,6
R4_in,08:18:00,08:18:00,S_guru_mandar,7
R4_in,08:21:00,08:21:00,S_jahangir_road,8
R4_in,08:24:00,08:24:00,S_teen_hatti,9
R4_in,08:27:00,08:27:00,S_lalukhait,10
R4_in,08:30:00,08:30:00,S_ayesha_manzil,11
R4_in,08:33:00,08:33:00,S_sorab_goth,12
R4_in,08:36:00,08:36:00,S_shafiq_mor,13
R4_in,08:39:00,08:39:00,S_nagan,14
R4_in,08:42:00,08:42:00,S_north_karachi,15
R8_out,07:00:00,07:00:00,S_yousuf_goth,1
R8_out,07:03:00,07:03:00,S_saeedabad,2
R8_out,07:06:00,07:06:00,S_baldia,3
R8_out,07:09:00,07:09:00,S_ittehad_town,4
R8_out,07:12:00,07:12:00,S_naval_colony,5
R8_out,07:15:00,07:15:00,S_moach_goth,6
R8_out,07:18:00,07:18:00,S_sher_shah,7
R8_out,07:21:00,07:21:00,S_gulbai,8
R8_out,07:24:00,07:24:00,S_agra_taj,9
R8_out,07:27:00,07:27:00,S_dua_restaurant,10
R8_out,07:30:00,07:30:00,S_ici,11
R8_out,07:33:00,07:33:00,S_tower,12
R8_in,08:00:00,08:00:00,S_tower,1
R8_in,08:03:00,08:03:00,S_ici,2
R8_in,08:06:00,08:06:00,S_dua_restaurant,3
R8_in,08:09:00,08:09:00,S_agra_taj,4
R8_in,08:12:00,08:12:00,S_gulbai,5
R8_in,08:15:00,08:15:00,S_sher_shah,6
R8_in,08:18:00,08:18:00,S_moach_goth,7
R8_in,08:21:00,08:21:00,S_naval_colony,8
R8_in,08:24:00,08:24:00,S_ittehad_town,9
R8_in,08:27:00,08:27:00,S_baldia,10
R8_in,08:30:00,08:30:00,S_saeedabad,11
R8_in,08:33:00,08:33:00,S_yousuf_goth,12
R11_out,07:00:00,07:00:00,S_mera_naka,1
R11_out,07:03:00,07:03:00,S_maripur_road,2
R11_out,07:06:00,07:06:00,S_agra_taj_colony,3
R11_out,07:09:00,07:09:00,S_kpt,4
R11_out,07:12:00,07:12:00,S_bahria_complex,5
R11_out,07:15:00,07:15:00,S_pidc,6
R11_out,07:18:00,07:18:00,S_punjabi_chowrangi,7
R11_out,07:21:00,07:21:00,S_gizri,8
R11_out,07:24:00,07:24:00,S_khayaban_shamsheer,9
R11_out,07:27:00,07:27:00,S_abdullah_shah_ghazi,10
R11_out,07:30:00,07:30:00,S_bilawal_chowrangi,11
R11_out,07:33:00,07:33:00,S_ziauddin_hospital,12
R11_in,08:00:00,08:00:00,S_ziauddin_hospital,1
