stop_id,stop_name,stop_lat,stop_lon
S_north_karachi,North Karachi,24.998,67.056
S_nagan,Nagan Chowrangi,24.982,67.062
S_shafiq_mor,Shafiq Mor,24.97,67.07
S_sorab_goth,Sorab Goth,24.965,67.089
S_ayesha_manzil,Ayesha Manzil,24.925,67.056
S_lalukhait,Lalukhait (Liaquatabad),24.91,67.043
S_teen_hatti,Teen Hatti,24.893,67.038
S_jahangir_road,Jahangir Road,24.888,67.036
S_guru_mandar,Guru Mandar,24.878,67.033
S_numaish,Numaish,24.874,67.031
S_taj_complex,Taj Complex,24.862,67.018
S_sindh_high_court,Sindh High Court,24.856,67.008
S_tower,Tower,24.849,66.996
S_jackson_market,Jackson Market,24.842,66.98
S_kemari,Kemari,24.833,66.974
S_yousuf_goth,Yousuf Goth,24.942,66.92
S_saeedabad,Saeedabad,24.93,66.935
S_baldia,Baldia,24.918,66.942
S_ittehad_town,Ittehad Town,24.91,66.945
S_naval_colony,Naval Colony,24.9,66.948
S_moach_goth,Moach Goth,24.895,66.95
S_sher_shah,Sher Shah,24.885,66.97
S_gulbai,Gulbai,24.872,66.976
S_agra_taj,Agra Taj,24.862,66.982
S_dua_restaurant,Dua Restaurant,24.855,66.988
S_ici,ICI (ICI Flyover),24.844,66.993
S_mera_naka,Mera Naka,24.86,66.96
S_maripur_road,Maripur Road,24.865,66.95
S_agra_taj_colony,Agra Taj Colony,24.86,66.98
S_kpt,KPT,24.842,67.005
S_bahria_complex,Bahria Complex,24.846,67.018
S_pidc,PIDC,24.85,67.026
S_punjabi_chowrangi,Punjabi Chowrangi,24.848,67.042
S_gizri,Gizri,24.818,67.057
S_khayaban_shamsheer,Khayaban-e-Shamsheer,24.808,67.05
S_abdullah_shah_ghazi,Abdullah Shah Ghazi Mazar,24.809,67.03
S_bilawal_chowrangi,Bilawal Chowrangi,24.818,67.035
S_ziauddin_hospital,Ziauddin Hospital (Clifton),24.824,67.033
S_memon_goth,Memon Goth,24.879,67.245
S_saudabad,Saudabad,24.893,67.19
S_khokharapar_rcd,Khokharapar RCD Ground,24.888,67.198
S_kala_board,Kala Board,24.884,67.185
S_malir_15,Malir 15,24.895,67.205
S_qaidabad,Qaidabad,24.86,67.2
S_dawood_chowrangi,Dawood Chowrangi,24.845,67.195
S_89_chowrangi,89 Chowrangi,24.838,67.19
S_landhi,Landhi,24.848,67.182
S_korangi,Korangi,24.834,67.14
S_korangi_crossing,Korangi Crossing,24.826,67.148
S_qayyumabad,Qayyumabad,24.834,67.082
S_kala_pull,Kala Pull,24.841,67.068
S_ftc,FTC,24.856,67.056
S_sadar_lucky_star,Sadar Lucky Star,24.856,67.028
S_hawksbay,Hawksbay,24.86,66.85
S_maripur,Maripur,24.865,66.935
S_marine_academy,Pakistan Marine Academy,24.87,66.925
S_maripur_truck_adda,Maripur Truck Adda,24.868,66.945
S_nawaz_sharif_park,Nawaz Sharif Park,25.035,67.105
S_maymar_ext,Maymar Ext,25.03,67.1
S_maymar_mor,Maymar Mor,25.02,67.095
S_ahsanabad,Ahsanabad,25.01,67.09
S_jamali_pull,Jamali Pull,24.995,67.085
S_al_asif,Al-Asif,24.975,67.09
