stop_id,stop_name,stop_lat,stop_lon
MB01,Shahdara,31.614444,74.291278
MB02,Niazi Chowk,31.602036,74.299425
MB03,Timber Market,31.594603,74.302022
MB04,Azadi Chowk,31.586314,74.305211
MB05,Bhati Chowk,31.577272,74.308689
MB06,Katchery,31.572525,74.310515
MB07,Civil Secretariat,31.567251,74.312545
MB08,MAO College,31.560469,74.315154
MB09,Janazgah,31.552181,74.318342
MB10,Qartaba Chowk,31.546906,74.320371
MB11,Shama,31.537864,74.32385
MB12,Ichhra,31.53161,74.326256
MB13,Canal,31.518801,74.331184
MB14,Qaddafi Stadium,31.5133,74.3333
MB15,Kalma Chowk,31.5037,74.3317
MB16,Model Town,31.497928,74.334044
MB17,Naseerabad,31.487208,74.338396
MB18,Ittefaq Hospital,31.479539,74.34151
MB19,Qainchi,31.464697,74.347536
MB20,Ghazi Chowk,31.457275,74.350549
MB21,Chungi Amar Sidhu,31.450431,74.353328
MB22,Kamahan,31.442184,74.354647
MB23,Atari Saroba,31.433186,74.356087
MB24,Nishtar Colony,31.424189,74.357526
MB25,Youhanabad,31.417966,74.358522
MB26,Dulu Khurd,31.408191,74.360025
MB27,Gajjumata,31.398417,74.361528
