trip_id,arrival_time,departure_time,stop_id,stop_sequence
OL_d0,06:15:00,06:15:00,OLS01,1
OL_d0,06:17:00,06:17:00,OLS02,2
OL_d0,06:19:00,06:19:00,OLS03,3
OL_d0,06:21:00,06:21:00,OLS04,4
OL_d0,06:23:00,06:23:00,OLS05,5
OL_d0,06:25:00,06:25:00,OLS06,6
OL_d0,06:27:00,06:27:00,OLS07,7
OL_d0,06:29:00,06:29:00,OLS08,8
OL_d0,06:31:00,06:31:00,OLS09,9
OL_d0,06:33:00,06:33:00,OLS10,10
OL_d0,06:35:00,06:35:00,OLS11,11
OL_d0,06:37:00,06:37:00,OLS12,12
OL_d0,06:39:00,06:39:00,OLS13,13
OL_d0,06:41:00,06:41:00,OLS14,14
OL_d0,06:43:00,06:43:00,OLS15,15
OL_d0,06:45:00,06:45:00,OLS16,16
OL_d0,06:47:00,06:47:00,OLS17,17
OL_d0,06:49:00,06:49:00,OLS18,18
OL_d0,06:51:00,06:51:00,OLS19,19
OL_d0,06:53:00,06:53:00,OLS20,20
OL_d0,06:55:00,06:55:00,OLS21,21
OL_d0,06:57:00,06:57:00,OLS22,22
OL_d0,06:59:00,06:59:00,OLS23,23
OL_d0,07:01:00,07:01:00,OLS24,24
OL_d0,07:03:00,07:03:00,OLS25,25
OL_d0,07:05:00,07:05:00,OLS26,26
OL_d1,06:15:00,06:15:00,OLS26,1
OL_d1,06:17:00,06:17:00,OLS25,2
OL_d1,06:19:00,06:19:00,OLS24,3
OL_d1,06:21:00,06:21:00,OLS23,4
OL_d1,06:23:00,06:23:00,OLS22,5
OL_d1,06:25:00,06:25:00,OLS21,6
OL_d1,06:27:00,06:27:00,OLS20,7
OL_d1,06:29:00,06:29:00,OLS19,8
OL_d1,06:31:00,06:31:00,OLS18,9
OL_d1,06:33:00,06:33:00,OLS17,10
OL_d1,06:35:00,06:35:00,OLS16,11
OL_d1,06:37:00,06:37:00,OLS15,12
OL_d1,06:39:00,06:39:00,OLS14,13
OL_d1,06:41:00,06:41:00,OLS13,14
OL_d1,06:43:00,06:43:00,OLS12,15
OL_d1,06:45:00,06:45:00,OLS11,16
OL_d1,06:47:00,06:47:00,OLS10,17
OL_d1,06:49:00,06:49:00,OLS09,18
OL_d1,06:51:00,06:51:00,OLS08,19
OL_d1,06:53:00,06:53:00,OLS07,20
OL_d1,06:55:00,06:55:00,OLS06,21
OL_d1,06:57:00,06:57:00,OLS05,22
OL_d1,06:59:00,06:59:00,OLS04,23
OL_d1,07:01:00,07:01:00,OLS03,24
OL_d1,07:03:00,07:03:00,OLS02,25
OL_d1,07:05:00,07:05:00,OLS01,26
MB_d0,06:00:00,06:00:00,MBS01,1
MB_d0,06:02:00,06:02:00,MBS02,2
MB_d0,06:04:00,06:04:00,MBS03,3
MB_d0,06:06:00,06:06:00,MBS04,4
MB_d0,06:08:00,06:08:00,MBS05,5
MB_d0,06:10:00,06:10:00,MBS06,6
MB_d0,06:12:00,06:12:00,MBS07,7
MB_d0,06:14:00,06:14:00,MBS08,8
MB_d0,06:16:00,06:16:00,MBS09,9
MB_d0,06:18:00,06:18:00,MBS10,10
MB_d0,06:20:00,06:20:00,MBS11,11
MB_d0,06:22:00,06:22:00,MBS12,12
MB_d0,06:24:00,06:24:00,MBS13,13
MB_d0,06:26:00,06:26:00,MBS14,14
MB_d0,06:28:00,06:28:00,MBS15,15
MB_d0,06:30:00,06:30:00,MBS16,16
MB_d0,06:32:00,06:32:00,MBS17,17
MB_d0,06:34:00,06:34:00,MBS18,18
MB_d0,06:36:00,06:36:00,MBS19,19
MB_d0,06:38:00,06:38:00,MBS20,20
MB_d0,06:40:00,06:40:00,MBS21,21
MB_d0,06:42:00,06:42:00,MBS22,22
MB_d0,06:44:00,06:44:00,MBS23,23
MB_d0,06:46:00,06:46:00,MBS24,24
MB_d0,06:48:00,06:48:00,MBS25,25
MB_d0,06:50:00,06:50:00,MBS26,26
MB_d0,06:52:00,06:52:00,MBS27,27
MB_d1,06:00:00,06:00:00,MBS27,1
MB_d1,06:02:00,06:02:00,MBS26,2
MB_d1,06:04:00,06:04:00,MBS25,3
MB_d1,06:06:00,06:06:00,MBS24,4
MB_d1,06:08:00,06:08:00,MBS23,5
MB_d1,06:10:00,06:10:00,MBS22,6
MB_d1,06:12:00,06:12:00,MBS21,7
MB_d1,06:14:00,06:14:00,MBS20,8
MB_d1,06:16:00,06:16:00,MBS19,9
MB_d1,06:18:00,06:18:00,MBS18,10
MB_d1,06:20:00,06:20:00,MBS17,11
MB_d1,06:22:00,06:22:00,MBS16,12
MB_d1,06:24:00,06:24:00,MBS15,13
MB_d1,06:26:00,06:26:00,MBS14,14
MB_d1,06:28:00,06:28:00,MBS13,15
MB_d1,06:30:00,06:30:00,MBS12,16
MB_d1,06:32:00,06:32:00,MBS11,17
MB_d1,06:34:00,06:34:00,MBS10,18
MB_d1,06:36:00,06:36:00,MBS09,19
MB_d1,06:38:00,06:38:00,MBS08,20
MB_d1,06:40:00,06:40:00,MBS07,21
MB_d1,06:42:00,06:42:00,MBS06,22
MB_d1,06:44:00,06:44:00,MBS05,23
MB_d1,06:46:00,06:46:00,MBS04,24
MB_d1,06:48:00,06:48:00,MBS03,25
MB_d1,06:50:00,06:50:00,MBS02,26
MB_d1,06:52:00,06:52:00,MBS01,27
