stop_id,stop_name,stop_lat,stop_lon
gobierno,Oficinas de Gobierno / Palacio Lopez (Puerto),-25.27764,-57.63757
republica_colon,Av. Republica y Cristobal Colon,-25.2839,-57.634
haedo_herrera,Eduardo V. Haedo y Dr. L. A. de Herrera,-25.2868,-57.627
pettirossi_centro,Av. Silvio Pettirossi (Centro),-25.289,-57.615
eusebio_ayala_1,Av. Dr. Eusebio Ayala (Villa Morra),-25.295,-57.588
eusebio_ayala_2,Av. Dr. Eusebio Ayala (Fernando de la Mora),-25.31,-57.555
ruta2_estigarribia,Ruta PY02 / Mariscal Estigarribia (San Lorenzo),-25.328,-57.525
agronomo,Av. del Agronomo (San Lorenzo),-25.335,-57.515
azara_jmc,Azara y Julia Miranda Cueto (San Lorenzo),-25.339,-57.509
talleres_mopc,Talleres del MOPC (San Lorenzo),-25.342,-57.506
saturio_rios,Saturio Rios (San Lorenzo),-25.334,-57.518
mcal_lopez_slo,Av. Mariscal Lopez (San Lorenzo),-25.32,-57.535
mcal_lopez_fdm,Av. Mariscal Lopez (Fernando de la Mora),-25.305,-57.565
mcal_lopez_villamorra,Av. Mariscal Lopez (Villa Morra),-25.295,-57.588
peru,Calle Peru (Asuncion),-25.291,-57.616
cerro_cora,Cerro Cora y Peru (Asuncion),-25.29,-57.62
colon_oliva,Cristobal Colon y Oliva (Centro),-25.2845,-57.635
rep_argentina,Av. Republica Argentina,-25.298,-57.585
eulogio_estigarribia,Av. Dr. Eulogio Estigarribia,-25.293,-57.575
san_martin,Av. Gral. Jose de San Martin,-25.285,-57.568
aviadores_chaco,Av. Aviadores del Chaco,-25.27,-57.555
pettirossi_luque,Av. Aviador Silvio Pettirossi (Luque),-25.255,-57.535
aeropuerto,Rotonda Aeropuerto Internacional Silvio Pettirossi (Luque),-25.245,-57.523
hernandarias,Hernandarias (Asuncion),-25.285,-57.632
stella_maris,Av. Nuestra Senora de Stella Maris,-25.282,-57.636
