route_id,route_short_name,route_long_name,route_type
r1,2,Asunción - Eusebio Ayala — 20 De Julio S.R.L.,3
r2,2,Asunción - Atyra — Atyra Transporte Y Turismo S.R.L.,3
r3,2,Asunción - Cabañas — Cabañas Empresa De Transporte Y Turismo S.A.,3
r4,1,Asunción - Pirayu — Empresa De Transp. Mario Decoud E Hijos S.R.L.,3
r5,2,Asunción - Pirayu — Empresa De Transp. Mario Decoud E Hijos S.R.L.,3
r6,3,Asunción - Emboscada — Empresa De Transporte 28 De Agosto S.R.L.,3
r7,1,Asunción - Gral. Bernardino Caballero — Empresa De Transporte Ciudad De Paraguari S.A.,3
r8,1,Asunción - Paraguari — Empresa De Transporte Ciudad De Paraguari S.A.,3
r9,1,Asunción - Sapucai — Empresa De Transporte Ciudad De Paraguari S.A.,3
r10,2,Asunción - Altos — Empresa De Transporte Cordillera De Los Altos S.R.L.,3
r11,2,Asunción - Pirayu — Empresa De Transporte Gral.Jose E.Diaz S.R.L.,3
r12,2,Asunción - Arroyos Y Esteros — Empresa De Transporte Padre Fidel Maiz S.R.L,3
r13,3,Asunción - Arroyos Y Esteros — Empresa De Transporte Padre Fidel Maiz S.R.L,3
r14,3,Asunción - Primero De Marzo — Empresa De Transporte Padre Fidel Maiz S.R.L,3
r15,2,Asunción - Piribebuy — Empresa Piribebuy S.A. De Trasp.Com. Y De Servicios,3
r16,2,Asunción - Atyra — Empresa San Francisco S.R.L.,3
r17,2,Asunción - Tobati — Empresa Villa Serrana S.R.L.,3
r18,"2,11",Caacupe - San Antonio — Empresa Villa Serrana S.R.L.,3
r19,2,"Caacupe - San Antonio — La Caacupeña S.A. De Transporte,Com. E Ind.",3
r20,1,Asunción - Carapegua — La Carapegueña S.R.L. De Transporte,3
r21,2,Asunción - Valenzuela — La Valenzolana S.A.,3
r22,1,Asunción - Yaguarón — San Buenaventura S.R.L.,3
r23,2,Asunción - Santa Elena — Transporte Y Turismo Santa Elena S.R.L.,3
