trip_id,arrival_time,departure_time,stop_id,stop_sequence
t_D1_0,06:00:00,06:00:00,s_1,1
t_D1_0,06:03:00,06:03:00,s_2,2
t_D1_0,06:06:00,06:06:00,s_3,3
t_D1_0,06:09:00,06:09:00,s_4,4
t_D1_0,06:12:00,06:12:00,s_5,5
t_D1_0,06:15:00,06:15:00,s_6,6
t_D1_0,06:18:00,06:18:00,s_7,7
t_D1_0,06:21:00,06:21:00,s_8,8
t_D1_0,06:24:00,06:24:00,s_9,9
t_D1_0,06:27:00,06:27:00,s_10,10
t_D1_0,06:30:00,06:30:00,s_11,11
t_D1_0,06:33:00,06:33:00,s_12,12
t_D1_0,06:36:00,06:36:00,s_13,13
t_D1_0,06:39:00,06:39:00,s_14,14
t_D1_0,06:42:00,06:42:00,s_15,15
t_D1_0,06:45:00,06:45:00,s_16,16
t_D1_0,06:48:00,06:48:00,s_17,17
t_D1_0,06:51:00,06:51:00,s_18,18
t_D1_0,06:54:00,06:54:00,s_19,19
t_D1_0,06:57:00,06:57:00,s_20,20
t_D1_0,07:00:00,07:00:00,s_21,21
t_D1_0,07:03:00,07:03:00,s_22,22
t_D1_0,07:06:00,07:06:00,s_23,23
t_D1_0,07:09:00,07:09:00,s_24,24
t_D1_0,07:12:00,07:12:00,s_25,25
t_D1_0,07:15:00,07:15:00,s_26,26
t_D1_0,07:18:00,07:18:00,s_27,27
t_D1_0,07:21:00,07:21:00,s_28,28
t_D1_1,06:00:00,06:00:00,s_28,1
t_D1_1,06:03:00,06:03:00,s_27,2
t_D1_1,06:06:00,06:06:00,s_26,3
t_D1_1,06:09:00,06:09:00,s_25,4
t_D1_1,06:12:00,06:12:00,s_24,5
t_D1_1,06:15:00,06:15:00,s_23,6
t_D1_1,06:18:00,06:18:00,s_22,7
t_D1_1,06:21:00,06:21:00,s_21,8
t_D1_1,06:24:00,06:24:00,s_20,9
t_D1_1,06:27:00,06:27:00,s_19,10
t_D1_1,06:30:00,06:30:00,s_18,11
t_D1_1,06:33:00,06:33:00,s_17,12
t_D1_1,06:36:00,06:36:00,s_16,13
t_D1_1,06:39:00,06:39:00,s_15,14
t_D1_1,06:42:00,06:42:00,s_14,15
t_D1_1,06:45:00,06:45:00,s_13,16
t_D1_1,06:48:00,06:48:00,s_12,17
t_D1_1,06:51:00,06:51:00,s_11,18
t_D1_1,06:54:00,06:54:00,s_10,19
t_D1_1,06:57:00,06:57:00,s_9,20
t_D1_1,07:00:00,07:00:00,s_8,21
t_D1_1,07:03:00,07:03:00,s_7,22
t_D1_1,07:06:00,07:06:00,s_6,23
t_D1_1,07:09:00,07:09:00,s_5,24
t_D1_1,07:12:00,07:12:00,s_4,25
t_D1_1,07:15:00,07:15:00,s_3,26
t_D1_1,07:18:00,07:18:00,s_2,27
t_D1_1,07:21:00,07:21:00,s_1,28
t_D2_0,06:00:00,06:00:00,s_29,1
t_D2_0,06:03:00,06:03:00,s_30,2
t_D2_0,06:06:00,06:06:00,s_31,3
t_D2_0,06:09:00,06:09:00,s_32,4
t_D2_0,06:12:00,06:12:00,s_33,5
t_D2_0,06:15:00,06:15:00,s_34,6
t_D2_0,06:18:00,06:18:00,s_35,7
t_D2_0,06:21:00,06:21:00,s_36,8
t_D2_0,06:24:00,06:24:00,s_37,9
t_D2_0,06:27:00,06:27:00,s_38,10
t_D2_0,06:30:00,06:30:00,s_39,11
t_D2_0,06:33:00,06:33:00,s_40,12
t_D2_0,06:36:00,06:36:00,s_41,13
t_D2_0,06:39:00,06:39:00,s_15,14
t_D2_0,06:42:00,06:42:00,s_42,15
t_D2_0,06:45:00,06:45:00,s_43,16
t_D2_0,06:48:00,06:48:00,s_44,17
t_D2_0,06:51:00,06:51:00,s_45,18
t_D2_0,06:54:00,06:54:00,s_46,19
t_D2_0,06:57:00,06:57:00,s_47,20
t_D2_0,07:00:00,07:00:00,s_48,21
t_D2_0,07:03:00,07:03:00,s_49,22
t_D2_0,07:06:00,07:06:00,s_50,23
t_D2_0,07:09:00,07:09:00,s_51,24
t_D2_0,07:12:00,07:12:00,s_52,25
t_D2_0,07:15:00,07:15:00,s_53,26
t_D2_0,07:18:00,07:18:00,s_54,27
t_D2_0,07:21:00,07:21:00,s_55,28
t_D2_0,07:24:00,07:24:00,s_56,29
t_D2_0,07:27:00,07:27:00,s_57,30
t_D2_0,07:30:00,07:30:00,s_58,31
t_D2_0,07:33:00,07:33:00,s_59,32
t_D2_0,07:36:00,07:36:00,s_60,33
t_D2_0,07:39:00,07:39:00,s_61,34
t_D2_0,07:42:00,07:42:00,s_62,35
t_D2_0,07:45:00,07:45:00,s_63,36
t_D2_0,07:48:00,07:48:00,s_64,37
t_D2_0,07:51:00,07:51:00,s_65,38
t_D2_0,07:54:00,07:54:00,s_66,39
t_D2_1,06:00:00,06:00:00,s_66,1
t_D2_1,06:03:00,06:03:00,s_65,2
t_D2_1,06:06:00,06:06:00,s_64,3
t_D2_1,06:09:00,06:09:00,s_63,4
t_D2_1,06:12:00,06:12:00,s_62,5
t_D2_1,06:15:00,06:15:00,s_61,6
t_D2_1,06:18:00,06:18:00,s_60,7
t_D2_1,06:21:00,06:21:00,s_59,8
t_D2_1,06:24:00,06:24:00,s_58,9
t_D2_1,06:27:00,06:27:00,s_57,10
t_D2_1,06:30:00,06:30:00,s_56,11
t_D2_1,06:33:00,06:33:00,s_55,12
t_D2_1,06:36:00,06:36:00,s_54,13
t_D2_1,06:39:00,06:39:00,s_53,14
t_D2_1,06:42:00,06:42:00,s_52,15
t_D2_1,06:45:00,06:45:00,s_51,16
t_D2_1,06:48:00,06:48:00,s_50,17
t_D2_1,06:51:00,06:51:00,s_49,18
t_D2_1,06:54:00,06:54:00,s_48,19
t_D2_1,06:57:00,06:57:00,s_47,20
t_D2_1,07:00:00,07:00:00,s_46,21
t_D2_1,07:03:00,07:03:00,s_45,22
t_D2_1,07:06:00,07:06:00,s_44,23
t_D2_1,07:09:00,07:09:00,s_43,24
t_D2_1,07:12:00,07:12:00,s_42,25
t_D2_1,07:15:00,07:15:00,s_15,26
t_D2_1,07:18:00,07:18:00,s_41,27
t_D2_1,07:21:00,07:21:00,s_40,28
t_D2_1,07:24:00,07:24:00,s_39,29
t_D2_1,07:27:00,07:27:00,s_38,30
t_D2_1,07:30:00,07:30:00,s_37,31
t_D2_1,07:33:00,07:33:00,s_36,32
t_D2_1,07:36:00,07:36:00,s_35,33
t_D2_1,07:39:00,07:39:00,s_34,34
t_D2_1,07:42:00,07:42:00,s_33,35
t_D2_1,07:45:00,07:45:00,s_32,36
t_D2_1,07:48:00,07:48:00,s_31,37
t_D2_1,07:51:00,07:51:00,s_30,38
t_D2_1,07:54:00,07:54:00,s_29,39
t_D3_0,06:00:00,06:00:00,s_67,1
t_D3_0,06:03:00,06:03:00,s_68,2
t_D3_0,06:06:00,06:06:00,s_69,3
t_D3_0,06:09:00,06:09:00,s_70,4
t_D3_0,06:12:00,06:12:00,s_71,5
t_D3_0,06:15:00,06:15:00,s_72,6
t_D3_0,06:18:00,06:18:00,s_73,7
t_D3_0,06:21:00,06:21:00,s_74,8
t_D3_0,06:24:00,06:24:00,s_75,9
t_D3_0,06:27:00,06:27:00,s_76,10
t_D3_0,06:30:00,06:30:00,s_77,11
t_D3_0,06:33:00,06:33:00,s_78,12
t_D3_0,06:36:00,06:36:00,s_79,13
t_D3_0,06:39:00,06:39:00,s_13,14
t_D3_0,06:42:00,06:42:00,s_80,15
t_D3_0,06:45:00,06:45:00,s_43,16
t_D3_0,06:48:00,06:48:00,s_81,17
t_D3_0,06:51:00,06:51:00,s_82,18
t_D3_0,06:54:00,06:54:00,s_83,19
t_D3_0,06:57:00,06:57:00,s_84,20
t_D3_0,07:00:00,07:00:00,s_85,21
t_D3_0,07:03:00,07:03:00,s_86,22
t_D3_0,07:06:00,07:06:00,s_87,23
t_D3_0,07:09:00,07:09:00,s_88,24
t_D3_0,07:12:00,07:12:00,s_89,25
t_D3_0,07:15:00,07:15:00,s_90,26
t_D3_0,07:18:00,07:18:00,s_91,27
t_D3_0,07:21:00,07:21:00,s_92,28
t_D3_0,07:24:00,07:24:00,s_93,29
t_D3_0,07:27:00,07:27:00,s_94,30
t_D3_0,07:30:00,07:30:00,s_95,31
t_D3_0,07:33:00,07:33:00,s_96,32
t_D3_0,07:36:00,07:36:00,s_97,33
t_D3_0,07:39:00,07:39:00,s_98,34
t_D3_0,07:42:00,07:42:00,s_99,35
t_D3_0,07:45:00,07:45:00,s_100,36
t_D3_0,07:48:00,07:48:00,s_101,37
t_D3_0,07:51:00,07:51:00,s_102,38
t_D3_0,07:54:00,07:54:00,s_103,39
t_D3_0,07:57:00,07:57:00,s_104,40
t_D3_1,06:00:00,06:00:00,s_104,1
t_D3_1,06:03:00,06:03:00,s_103,2
t_D3_1,06:06:00,06:06:00,s_102,3
t_D3_1,06:09:00,06:09:00,s_101,4
t_D3_1,06:12:00,06:12:00,s_100,5
t_D3_1,06:15:00,06:15:00,s_99,6
t_D3_1,06:18:00,06:18:00,s_98,7
t_D3_1,06:21:00,06:21:00,s_97,8
t_D3_1,06:24:00,06:24:00,s_96,9
t_D3_1,06:27:00,06:27:00,s_95,10
t_D3_1,06:30:00,06:30:00,s_94,11
t_D3_1,06:33:00,06:33:00,s_93,12
t_D3_1,06:36:00,06:36:00,s_92,13
t_D3_1,06:39:00,06:39:00,s_91,14
t_D3_1,06:42:00,06:42:00,s_90,15
t_D3_1,06:45:00,06:45:00,s_89,16
t_D3_1,06:48:00,06:48:00,s_88,17
t_D3_1,06:51:00,06:51:00,s_87,18
t_D3_1,06:54:00,06:54:00,s_86,19
t_D3_1,06:57:00,06:57:00,s_85,20
t_D3_1,07:00:00,07:00:00,s_84,21
t_D3_1,07:03:00,07:03:00,s_83,22
t_D3_1,07:06:00,07:06:00,s_82,23
t_D3_1,07:09:00,07:09:00,s_81,24
t_D3_1,07:12:00,07:12:00,s_43,25
t_D3_1,07:15:00,07:15:00,s_80,26
t_D3_1,07:18:00,07:18:00,s_13,27
t_D3_1,07:21:00,07:21:00,s_79,28
t_D3_1,07:24:00,07:24:00,s_78,29
t_D3_1,07:27:00,07:27:00,s_77,30
t_D3_1,07:30:00,07:30:00,s_76,31
t_D3_1,07:33:00,07:33:00,s_75,32
t_D3_1,07:36:00,07:36:00,s_74,33
t_D3_1,07:39:00,07:39:00,s_73,34
t_D3_1,07:42:00,07:42:00,s_72,35
t_D3_1,07:45:00,07:45:00,s_71,36
t_D3_1,07:48:00,07:48:00,s_70,37
t_D3_1,07:51:00,07:51:00,s_69,38
t_D3_1,07:54:00,07:54:00,s_68,39
t_D3_1,07:57:00,07:57:00,s_67,40
t_D4_0,06:00:00,06:00:00,s_105,1
t_D4_0,06:03:00,06:03:00,s_106,2
t_D4_0,06:06:00,06:06:00,s_107,3
t_D4_0,06:09:00,06:09:00,s_108,4
t_D4_0,06:12:00,06:12:00,s_109,5
t_D4_0,06:15:00,06:15:00,s_110,6
t_D4_0,06:18:00,06:18:00,s_111,7
t_D4_0,06:21:00,06:21:00,s_112,8
t_D4_0,06:24:00,06:24:00,s_113,9
t_D4_0,06:27:00,06:27:00,s_114,10
t_D4_0,06:30:00,06:30:00,s_46,11
t_D4_0,06:33:00,06:33:00,s_45,12
t_D4_0,06:36:00,06:36:00,s_44,13
t_D4_0,06:39:00,06:39:00,s_43,14
t_D4_0,06:42:00,06:42:00,s_42,15
t_D4_0,06:45:00,06:45:00,s_115,16
t_D4_0,06:48:00,06:48:00,s_16,17
t_D4_0,06:51:00,06:51:00,s_17,18
t_D4_0,06:54:00,06:54:00,s_18,19
t_D4_0,06:57:00,06:57:00,s_116,20
t_D4_0,07:00:00,07:00:00,s_117,21
t_D4_0,07:03:00,07:03:00,s_118,22
t_D4_0,07:06:00,07:06:00,s_119,23
t_D4_0,07:09:00,07:09:00,s_120,24
t_D4_0,07:12:00,07:12:00,s_121,25
t_D4_0,07:15:00,07:15:00,s_122,26
t_D4_0,07:18:00,07:18:00,s_123,27
t_D4_0,07:21:00,07:21:00,s_124,28
t_D4_0,07:24:00,07:24:00,s_125,29
t_D4_0,07:27:00,07:27:00,s_126,30
t_D4_0,07:30:00,07:30:00,s_127,31
t_D4_0,07:33:00,07:33:00,s_128,32
t_D4_0,07:36:00,07:36:00,s_129,33
t_D4_0,07:39:00,07:39:00,s_130,34
t_D4_0,07:42:00,07:42:00,s_131,35
t_D4_0,07:45:00,07:45:00,s_132,36
t_D4_0,07:48:00,07:48:00,s_133,37
t_D4_0,07:51:00,07:51:00,s_134,38
t_D4_0,07:54:00,07:54:00,s_135,39
t_D4_1,06:00:00,06:00:00,s_135,1
t_D4_1,06:03:00,06:03:00,s_134,2
t_D4_1,06:06:00,06:06:00,s_133,3
t_D4_1,06:09:00,06:09:00,s_132,4
t_D4_1,06:12:00,06:12:00,s_131,5
t_D4_1,06:15:00,06:15:00,s_130,6
t_D4_1,06:18:00,06:18:00,s_129,7
t_D4_1,06:21:00,06:21:00,s_128,8
t_D4_1,06:24:00,06:24:00,s_127,9
t_D4_1,06:27:00,06:27:00,s_126,10
t_D4_1,06:30:00,06:30:00,s_125,11
t_D4_1,06:33:00,06:33:00,s_124,12
t_D4_1,06:36:00,06:36:00,s_123,13
t_D4_1,06:39:00,06:39:00,s_122,14
t_D4_1,06:42:00,06:42:00,s_121,15
t_D4_1,06:45:00,06:45:00,s_120,16
t_D4_1,06:48:00,06:48:00,s_119,17
t_D4_1,06:51:00,06:51:00,s_118,18
t_D4_1,06:54:00,06:54:00,s_117,19
t_D4_1,06:57:00,06:57:00,s_116,20
t_D4_1,07:00:00,07:00:00,s_18,21
t_D4_1,07:03:00,07:03:00,s_17,22
t_D4_1,07:06:00,07:06:00,s_16,23
t_D4_1,07:09:00,07:09:00,s_115,24
t_D4_1,07:12:00,07:12:00,s_42,25
t_D4_1,07:15:00,07:15:00,s_43,26
t_D4_1,07:18:00,07:18:00,s_44,27
t_D4_1,07:21:00,07:21:00,s_45,28
t_D4_1,07:24:00,07:24:00,s_46,29
t_D4_1,07:27:00,07:27:00,s_114,30
t_D4_1,07:30:00,07:30:00,s_113,31
t_D4_1,07:33:00,07:33:00,s_112,32
t_D4_1,07:36:00,07:36:00,s_111,33
t_D4_1,07:39:00,07:39:00,s_110,34
t_D4_1,07:42:00,07:42:00,s_109,35
t_D4_1,07:45:00,07:45:00,s_108,36
t_D4_1,07:48:00,07:48:00,s_107,37
t_D4_1,07:51:00,07:51:00,s_106,38
