stop_id,stop_name,stop_lat,stop_lon
m1_zayeltsovskaya,Заельцовская / Zayeltsovskaya,55.059333,82.912872
m1_gagarinskaya,Гагаринская / Gagarinskaya,55.050556,82.914722
m1_krasny_prospekt,Красный проспект / Krasny Prospekt,55.041111,82.9175
m1_ploshchad_lenina,Площадь Ленина / Ploshchad Lenina,55.03,82.920556
m1_oktyabrskaya,Октябрьская / Oktyabrskaya,55.018889,82.939167
m1_rechnoy_vokzal,Речной вокзал / Rechnoy Vokzal,55.009333,82.940194
m1_sportivnaya,Спортивная / Sportivnaya,54.997,82.9205
m1_studencheskaya,Студенческая / Studencheskaya,54.988889,82.90625
m1_ploshchad_marksa,Площадь Маркса / Ploshchad Marksa,54.983056,82.893333
m2_garina,Площадь Гарина-Михайловского / Ploshchad Garina-Mikhaylovskogo,55.035833,82.9
m2_sibirskaya,Сибирская / Sibirskaya,55.042222,82.920897
m2_pokryshkina,Маршала Покрышкина / Marshala Pokryshkina,55.043556,82.934908
m2_berezovaya,Берёзовая роща / Beryozovaya Roshcha,55.043333,82.953056
m2_zolotaya_niva,Золотая нива / Zolotaya Niva,55.037617,82.976636
tram13_pisareva,Улица Писарева / Pisareva Ulitsa,55.048,82.933
tram13_gusinobrodskoe,Гусинобродское шоссе / Gusinobrodskoye Shosse,55.032,82.976
