stop_id,stop_name,stop_lat,stop_lon
zayeltsovskaya,Заельцовская (Zayeltsovskaya),55.059333,82.912872
gagarinskaya,Гагаринская (Gagarinskaya),55.051389,82.914722
krasny_prospekt,Красный проспект (Krasny Prospekt),55.041111,82.9175
ploshchad_lenina,Площадь Ленина (Ploshchad Lenina),55.03,82.920556
oktyabrskaya,Октябрьская (Oktyabrskaya),55.0269,82.9364
rechnoy_vokzal,Речной вокзал (Rechnoy Vokzal),55.009333,82.940194
sportivnaya,Спортивная (Sportivnaya),54.9989,82.9145
studencheskaya,Студенческая (Studencheskaya),54.9931,82.9075
ploshchad_marksa,Площадь Маркса (Ploshchad Marksa),54.983056,82.893333
garina_mikhaylovskogo,Площадь Гарина-Михайловского (Ploshchad Garina-Mikhaylovskogo),55.035833,82.9
sibirskaya,Сибирская (Sibirskaya),55.0411,82.9185
marshala_pokryshkina,Маршала Покрышкина (Marshala Pokryshkina),55.0417,82.933
beryozovaya_roshcha,Берёзовая роща (Beryozovaya Roshcha),55.043333,82.951667
zolotaya_niva,Золотая Нива (Zolotaya Niva),55.0377,82.9769
