trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_FIN_OUT,07:10:00,07:10:00,fin,1
T_FIN_OUT,07:16:00,07:16:00,lanskaya,2
T_FIN_OUT,07:20:00,07:20:00,udelnaya,3
T_FIN_OUT,07:23:00,07:23:00,ozerki,4
T_FIN_OUT,07:26:00,07:26:00,shuvalovo,5
T_FIN_OUT,07:31:00,07:31:00,pargolovo,6
T_FIN_OUT,07:36:00,07:36:00,levashovo,7
T_FIN_OUT,07:41:00,07:41:00,pesochnaya,8
T_FIN_OUT,07:45:00,07:45:00,dibuny,9
T_FIN_OUT,07:51:00,07:51:00,beloostrov,10
T_FIN_OUT,08:07:00,08:08:00,zelenogorsk,11
T_FIN_OUT,08:18:00,08:18:00,roshchino,12
T_FIN_OUT,08:40:00,08:40:00,kirillovskoye,13
T_FIN_OUT,09:05:00,09:05:00,vyborg,14
T_FIN_IN,17:20:00,17:20:00,vyborg,1
T_FIN_IN,17:45:00,17:45:00,kirillovskoye,2
T_FIN_IN,18:07:00,18:07:00,roshchino,3
T_FIN_IN,18:17:00,18:18:00,zelenogorsk,4
T_FIN_IN,18:34:00,18:34:00,beloostrov,5
T_FIN_IN,18:40:00,18:40:00,dibuny,6
T_FIN_IN,18:44:00,18:44:00,pesochnaya,7
T_FIN_IN,18:49:00,18:49:00,levashovo,8
T_FIN_IN,18:54:00,18:54:00,pargolovo,9
T_FIN_IN,18:59:00,18:59:00,shuvalovo,10
T_FIN_IN,19:02:00,19:02:00,ozerki,11
T_FIN_IN,19:05:00,19:05:00,udelnaya,12
T_FIN_IN,19:09:00,19:09:00,lanskaya,13
T_FIN_IN,19:15:00,19:15:00,fin,14
T_BAL_OUT,07:25:00,07:25:00,bal,1
T_BAL_OUT,07:37:00,07:37:00,ligovo,2
T_BAL_OUT,07:47:00,07:47:00,strelna,3
T_BAL_OUT,07:54:00,07:54:00,novy_peterhof,4
T_BAL_OUT,07:58:00,07:58:00,stary_peterhof,5
T_BAL_OUT,08:06:00,08:06:00,oranienbaum,6
T_BAL_IN,17:30:00,17:30:00,oranienbaum,1
T_BAL_IN,17:38:00,17:38:00,stary_peterhof,2
T_BAL_IN,17:42:00,17:42:00,novy_peterhof,3
T_BAL_IN,17:49:00,17:49:00,strelna,4
T_BAL_IN,17:59:00,17:59:00,ligovo,5
T_BAL_IN,18:11:00,18:11:00,bal,6
T_VIT_OUT,07:40:00,07:40:00,vit,1
T_VIT_OUT,07:44:00,07:44:00,borovaya,2
T_VIT_OUT,07:47:00,07:47:00,vozdukh_park,3
T_VIT_OUT,07:51:00,07:51:00,prosp_slavy,4
T_VIT_OUT,07:55:00,07:55:00,kupchino,5
T_VIT_OUT,08:00:00,08:00:00,shushary,6
T_VIT_OUT,08:08:00,08:08:00,detskoselskaya,7
T_VIT_OUT,08:11:00,08:11:00,tsarskoe_selo,8
T_VIT_OUT,08:16:00,08:16:00,pavlovsk,9
T_VIT_IN,18:00:00,18:00:00,pavlovsk,1
T_VIT_IN,18:05:00,18:05:00,tsarskoe_selo,2
T_VIT_IN,18:08:00,18:08:00,detskoselskaya,3
T_VIT_IN,18:16:00,18:16:00,shushary,4
T_VIT_IN,18:21:00,18:21:00,kupchino,5
T_VIT_IN,18:25:00,18:25:00,prosp_slavy,6
T_VIT_IN,18:29:00,18:29:00,vozdukh_park,7
T_VIT_IN,18:32:00,18:32:00,borovaya,8
T_VIT_IN,18:37:00,18:37:00,vit,9
T_MOS_OUT,07:15:00,07:15:00,mos,1
T_MOS_OUT,07:20:00,07:20:00,navalochnaya,2
T_MOS_OUT,07:23:00,07:23:00,farforovskaya,3
T_MOS_OUT,07:26:00,07:26:00,sortirovochnaya,4
T_MOS_OUT,07:30:00,07:30:00,obukhovo,5
T_MOS_OUT,07:36:00,07:36:00,slavyanka,6
T_MOS_OUT,07:40:00,07:40:00,metallostroy,7
T_MOS_OUT,07:44:00,07:44:00,izhorsky_zavod,8
T_MOS_OUT,07:48:00,07:48:00,kolpino,9
T_MOS_OUT,07:55:00,07:55:00,popovka,10
T_MOS_OUT,08:03:00,08:03:00,sablino,11
T_MOS_OUT,08:12:00,08:12:00,tosno,12
T_MOS_IN,18:10:00,18:10:00,tosno,1
T_MOS_IN,18:19:00,18:19:00,sablino,2
T_MOS_IN,18:27:00,18:27:00,popovka,3
T_MOS_IN,18:34:00,18:34:00,kolpino,4
T_MOS_IN,18:38:00,18:38:00,izhorsky_zavod,5
T_MOS_IN,18:42:00,18:42:00,metallostroy,6
T_MOS_IN,18:46:00,18:46:00,slavyanka,7
T_MOS_IN,18:52:00,18:52:00,obukhovo,8
T_MOS_IN,18:56:00,18:56:00,sortirovochnaya,9
T_MOS_IN,18:59:00,18:59:00,farforovskaya,10
T_MOS_IN,19:02:00,19:02:00,navalochnaya,11
T_MOS_IN,19:08:00,19:08:00,mos,12
