stop_id,stop_name,stop_lat,stop_lon
gatchina_varshavsky,"Gatchina, Varshavsky vokzal",59.5537,30.1329
chkalova,ul. Chkalova,59.5637,30.1198
pr_25okt,pr. 25 Oktyabrya,59.572,30.128
pushkinskoe_sh,Pushkinskoe shosse,59.586,30.158
vaya,Vaya,59.605,30.215
maloe_verevo,Maloe Verevo,59.625,30.26
zaytsevo,Zaytsevo,59.662,30.29
doni,Doni,59.695,30.305
pulkovskoe_sh,Pulkovskoe shosse,59.802,30.308
platf_aeroport,Platforma Aeroport,59.833,30.32
pl_pobedy,Ploshchad Pobedy,59.8425,30.322
m_moskovskaya,Stantsiya metro Moskovskaya,59.85219,30.3222
ul_tipanova,ul. Tipanova (yuzhny proezd),59.856,30.338
leninsky_pr,Leninsky prospekt,59.85,30.312
varshavskaya_ul,Varshavskaya ulitsa,59.871,30.314
ul_kostyushko,ul. Kostyushko,59.86,30.306
tosno_vokzal,"Tosno, vokzal",59.5449,30.8817
tosno_sovetskaya,"Tosno, Sovetskaya ulitsa",59.547,30.872
tosno_shkola1,Shkola No.1,59.552,30.865
ulyanovka_drsu,Ulyanovka DRSU,59.632,30.77
yam_izhora,Yam-Izhora,59.687,30.578
mosk_slavyanka,Moskovskaya Slavyanka,59.748,30.46
lensovetovsky,poselok Lensovetovsky,59.79,30.42
lenta_22km,TK Lenta (22 km Moskovskogo sh.),59.805,30.39
m_kupchino,Stantsiya metro Kupchino,59.82972,30.37528
m_zvyozdnaya,Stantsiya metro Zvyozdnaya,59.83323,30.34949
m_pr_prosvesch,Stantsiya metro Prospekt Prosveshcheniya,60.05144,30.33249
pargolovo,Pargolovo (Vyborgskoe sh.),60.077,30.286
sertolovo,Sertolovo (Vyborgskoe sh.),60.1444,30.1938
41km_vyborg,41 km Vyborgskogo shosse,60.175,30.15
