stop_id,stop_name,stop_lat,stop_lon
S001,Эльмаш,56.876,60.635
S002,Донская,56.874286,60.631429
S003,Энтузиастов,56.872571,60.627857
S004,Краснофлотцев,56.870857,60.624286
S005,Фронтовых Бригад,56.869143,60.620714
S006,Турбинный завод,56.867429,60.617143
S007,Электриков,56.865714,60.613571
S008,Педуниверситет,56.864,60.61
S009,Калининская,56.8626,60.6086
S010,Техучилище,56.8612,60.6072
S011,1-й км,56.8598,60.6058
S012,Пионерская,56.8584,60.6044
S013,Челюскинцев,56.857,60.603
S014,Протезно-ортопедическое предприятие,56.8525,60.60575
S015,Шевченко,56.848,60.6085
S016,Шарташская,56.8435,60.61125
S017,Гостиница Исеть,56.839,60.614
S018,Оперный театр,56.8398,60.612
S019,Театр Музкомедии,56.838915,60.60456
S020,Площадь 1905 года,56.83803,60.59712
S021,Сакко и Ванцетти,56.839265,60.59056
S022,Дворец Молодёжи,56.8405,60.584
S023,ВИЗ-Бульвар,56.841333,60.580667
S024,Крылова,56.842167,60.577333
S025,Кирова,56.843,60.574
S026,ВИЗ,56.844,60.567
S027,Метро Ботаническая,56.79778,60.63083
S028,Бульвар Малахова,56.800585,60.626248
S029,Улица Юлиуса Фучика,56.80339,60.621665
S030,Улица Южная,56.806195,60.617082
S031,Автовокзал,56.809,60.6125
S032,Улица Фрунзе,56.8176,60.606
S033,Улица Большакова,56.820533,60.606133
S034,Академия при Президенте России,56.823467,60.606267
S035,Цирк,56.8264,60.6064
S036,Улица Белинского,56.8292,60.609
S037,Дом Художника,56.83176,60.614
S038,Дом Кино,56.83432,60.619
S039,Киностудия,56.83688,60.624
S040,Улица Бажова,56.83944,60.629
S041,Восточная улица,56.842,60.634
S042,УрФУ,56.844,60.653
S043,Первомайская улица,56.839267,60.6509
S044,Улица Блюхера,56.834533,60.6488
S045,Шарташ,56.8298,60.6467
S046,40 лет ВЛКСМ,56.83359,60.69426
S047,Сиреневый бульвар,56.832393,60.689507
S048,Улица Новгородцевой,56.831197,60.684753
S049,Каменные палатки,56.83,60.68
S050,Комсомольская улица,56.833,60.672
S051,Профессорская,56.836,60.664
S052,Гагарина,56.839,60.656
S053,Улица Челюскинцев,56.857,60.603
S054,Метро Уралмаш,56.88767,60.61416
S055,Улица Кузнецова,56.888146,60.612566
S056,Концертный зал Лаврова,56.888621,60.610971
S057,Улица Ильича,56.889097,60.609377
S058,Улица Индустрии,56.889573,60.607783
S059,Улица Победы,56.890049,60.606189
S060,Бакинских комиссаров,56.890524,60.604594
S061,Улица Машиностроителей,56.891,60.603
