route_id,route_short_name,route_long_name,route_type
trol_25,25,Ботаническая — Академическая,11
trol_26,26,Крауля — Коммунистическая,11
trol_27,27,Онуфриева — Ж/д вокзал,11
trol_28,28,УНЦ — ЦПКиО,11
trol_29,29,Калининская — Коммунистическая,11
trol_30,30,Ильича — Площадь 1-й пятилетки (кольцо),11
trol_31,31,Химмаш — Ж/д Вокзал,11
trol_32,32,Коммунистическая — Академическая,11
trol_33,33,Коммунистическая — Педуниверситет,11
trol_34,34,Станция метро «Динамо» — Горбольница №7,11
trol_35,35,Ботаническая — Крауля,11
trol_36,36,Химмаш — Академическая,11
trol_37,37,Улица Посадская — Уралобувь,11
trol_38,38,Коммунистическая — Площадь 1-й Пятилетки,11
