trip_id,arrival_time,departure_time,stop_id,stop_sequence
E_out_1,05:00:00,05:00:00,tunis_barcelone,1
E_out_1,05:02:20,05:02:20,saida_manoubia,2
E_out_1,05:04:40,05:04:40,ennajah,3
E_out_1,05:07:00,05:07:00,ettayaran,4
E_out_1,05:09:20,05:09:20,ezzouhour2,5
E_out_1,05:11:40,05:11:40,el_hrairia,6
E_out_1,05:14:00,05:14:00,bougatfa,7
E_in_1,05:20:00,05:20:00,bougatfa,1
E_in_1,05:22:20,05:22:20,el_hrairia,2
E_in_1,05:24:40,05:24:40,ezzouhour2,3
E_in_1,05:27:00,05:27:00,ettayaran,4
E_in_1,05:29:20,05:29:20,ennajah,5
E_in_1,05:31:40,05:31:40,saida_manoubia,6
E_in_1,05:34:00,05:34:00,tunis_barcelone,7
D_out_1,05:00:00,05:00:00,tunis_barcelone,1
D_out_1,05:01:52,05:01:52,saida_manoubia,2
D_out_1,05:03:44,05:03:44,mallassine,3
D_out_1,05:05:36,05:05:36,el_raoudha,4
D_out_1,05:07:28,05:07:28,bardo,5
D_out_1,05:09:20,05:09:20,bortal,6
D_out_1,05:11:12,05:11:12,manouba,7
D_out_1,05:13:04,05:13:04,el_bortoukal,8
D_out_1,05:14:56,05:14:56,gobaa,9
D_in_1,05:18:00,05:18:00,gobaa,1
D_in_1,05:19:52,05:19:52,el_bortoukal,2
D_in_1,05:21:44,05:21:44,manouba,3
D_in_1,05:23:36,05:23:36,bortal,4
D_in_1,05:25:28,05:25:28,bardo,5
D_in_1,05:27:20,05:27:20,el_raoudha,6
D_in_1,05:29:12,05:29:12,mallassine,7
D_in_1,05:31:04,05:31:04,saida_manoubia,8
D_in_1,05:32:56,05:32:56,tunis_barcelone,9
