stop_id,stop_name,stop_lat,stop_lon
tunis_barcelone,Barcelone (Tunis),36.794791,10.180499
saida_manoubia,Saida Manoubia,36.786915,10.165711
ennajah,Ennajah,36.793188,10.154805
ettayaran,Ettayaran,36.792003,10.138441
ezzouhour2,Ezzouhour 2,36.792003,10.127812
el_hrairia,El Hrairia,36.792003,10.115803
bougatfa,Bougatfa (Sidi Hassine),36.792003,10.102397
mallassine,Mallassine,36.796497,10.155653
el_raoudha,El Raoudha,36.801801,10.147692
bardo,Bardo,36.80733,10.135577
bortal,Bortal,36.811955,10.115802
manouba,Manouba,36.816164,10.101137
el_bortoukal,El Bortoukal,36.818472,10.08577
gobaa,Gobaa,36.820019,10.075053
